date,mdlz_shares,hrl_shares,ko_shares,wmt_shares,sjm_shares,pg_shares,bg_shares,syy_shares,cpb_shares,dltr_shares,pm_shares,adm_shares,gis_shares,kdp_shares,casy_shares,pep_shares,kmb_shares,tgt_shares,hsy_shares,cl_shares,chd_shares,clx_shares,stz_shares,kr_shares,mnst_shares,cag_shares,dg_shares,bf_b_shares,mo_shares,cost_shares,kvue_shares,tap_shares,el_shares,khc_shares,tsn_shares,mkc_shares
2025-11-21,11045319,2940016,13670728,15491692,1076193,8267336,1412707,4816845,1984917,1957896,5493954,4846805,5393781,13703547,,4832111,3346918,4583520,1494099,8153128,2457469,1233818,1440274,6136000,7190464,4832525,2220026,1776399,10384892,1565254,19359097,1708696,2480103,8596679,2882676,2552611
2025-11-24,11013617,2931579,13631491,15447230,1073102,8243609,1408648,4803018,1979219,1952275,5478191,4832890,5378304,13664222,,4818240,3337315,4570364,1489809,8129731,2450418,1230276,1436138,6118389,7169828,4818654,2213657,1771306,10355082,1560766,19303536,1703790,2472986,8572006,2874404,2545285
2025-11-25,11074139,2947686,13706398,15532112,1079003,8288906,1416397,4829415,1990097,1963006,5508284,4859455,5407851,13739297,,4844721,3355648,4595480,1497999,8174398,2463879,1237038,1444034,6152010,7209224,4845135,2225816,1781029,10411992,1569334,19409607,1713156,2486573,8619109,2890196,2559271
2025-11-26,11085667,2950754,13720666,15548280,1080127,8297534,1417873,4834443,1992169,1965050,5514016,4864515,5413479,13753597,,4849765,3359140,4600264,1499559,8182906,2466443,1238326,1445538,6158414,7216728,4850179,2228132,1782881,10422832,1570966,19429811,1714940,2489161,8628081,2893204,2561935
2025-11-28,11215357,2985269,13881181,15730170,1092772,8394599,1434478,4891008,2015479,1988045,5578501,4921440,5476794,13914472,,4906510,3398425,4654084,1517109,8278621,2495288,1252816,1462458,6230459,7301148,4906924,2254187,1803716,10544782,1589326,19657106,1735010,2518276,8729016,2927044,2591905
2025-12-01,11244177,2992939,13916851,15770590,1095582,8416169,1438168,4903578,2020659,1993155,5592831,4934090,5490864,13950222,,4919120,3407155,4666044,1521009,8299891,2501698,1256036,1466218,6246469,7319908,4919534,2259977,1808346,10571882,1593406,19707616,1739470,2524746,8751446,2934564,2598565
2025-12-02,10984707,2923909,13595731,15406720,1070292,8221949,1404958,4790448,1974039,1947165,5463771,4820240,5364144,13628382,,4805630,3328495,4558404,1485909,8108371,2444008,1227056,1432378,6102379,7150978,4806044,2207867,1766586,10327982,1556596,19252936,1699330,2466516,8549486,2866884,2538625
2025-12-03,10964512,2918533,13570741,15378398,1068325,8206836,1402375,4781642,1970413,1943588,5453726,4811378,5354281,13603329,,4796796,3322377,4550025,1483179,8093468,2439514,1224802,1429746,6091165,7137832,4797210,2203807,1763338,10308998,1553733,19217544,1696208,2461980,8533771,2861613,2533956
2025-12-04,11022212,2933893,13642141,15459318,1073945,8250016,1409755,4806802,1980773,1953808,5482426,4836698,5382461,13674909,,4822036,3339857,4573965,1490979,8136048,2452354,1231242,1437266,6123205,7175392,4822450,2215407,1772618,10363238,1561913,19318664,1705128,2474940,8578671,2876673,2547296
2025-12-05,11082797,2950021,13717111,15544284,1079846,8295355,1417504,4833220,1991651,1964539,5512561,4863284,5412050,13750068,,4848538,3358211,4599102,1499169,8180757,2465836,1238004,1445162,6156847,7214830,4848952,2227587,1782362,10420190,1570502,19424840,1714494,2488548,8625816,2892486,2561303
2025-12-08,10924122,2907781,13520761,15321754,1064391,8176610,1397209,4764030,1963161,1936434,5433636,4793654,5334555,13553223,,4779128,3310141,4533267,1477719,8063662,2430526,1220294,1424482,6068737,7111540,4779542,2195687,1756842,10271030,1548007,19146760,1689964,2452908,8502341,2851071,2524618
2025-12-09,10958766,2916997,13563637,15370342,1067763,8202542,1401637,4779138,1969389,1942578,5450868,4808858,5351475,13596207,,4794284,3320641,4547643,1482411,8089234,2438230,1224158,1428994,6087985,7134088,4794698,2202647,1762410,10303598,1552915,19207480,1695328,2460684,8529305,2860107,2532622
2025-12-10,10958766,2916997,13563637,15370342,1067763,8202542,1401637,4779138,1969389,1942578,5450868,4808858,5351475,13596207,,4794284,3320641,4547643,1482411,8089234,2438230,1224158,1428994,6087985,7134088,4794698,2202647,1762410,10303598,1552915,19207480,1695328,2460684,8529305,2860107,2532622
2025-12-11,11039123,2938375,13663067,15483008,1075602,8262711,1411934,4814161,1983809,1956804,5490867,4844082,5390753,13695869,,4829418,3345035,4580962,1493264,8148562,2456093,1233137,1439481,6132569,7186447,4829829,2218780,1775392,10379080,1564366,19348247,1707743,2478716,8591874,2881065,2551186
2025-12-12,11220845,2986735,13888003,15737890,1093334,8398739,1435184,4893397,2016483,1989044,5581263,4923814,5479475,13921363,,4908902,3400091,4656354,1517878,8282730,2496517,1253411,1463165,6233505,7304743,4909313,2255298,1804594,10549952,1590096,19666803,1735829,2519512,8733296,2928495,2593160
2025-12-15,11223776,2987515,13891631,15742001,1093620,8400933,1435559,4894675,2017010,1989564,5582721,4925100,5480906,13925000,,4910184,3400979,4657570,1518275,8284894,2497169,1253738,1463547,6235133,7306651,4910595,2255887,1805065,10552708,1590511,19671941,1736282,2520170,8735577,2929260,2593837
2025-12-16,11282416,3003115,13964211,15824241,1099340,8444833,1443059,4920255,2027550,1999964,5611881,4950840,5509546,13997760,,4935844,3418739,4681910,1526215,8328174,2510209,1260298,1471187,6267713,7344831,4936255,2267667,1814505,10607848,1598811,19774721,1745362,2533330,8781217,2944560,2607397
2025-12-17,11182728,2976595,13840825,15684433,1089616,8370203,1430309,4876769,2009632,1982284,5562309,4907082,5460858,13874068,,4892222,3388547,4640532,1512717,8254598,2488041,1249146,1458199,6212327,7279925,4892633,2247641,1798457,10514110,1584701,19599995,1729926,2510958,8703629,2918550,2584345
2025-12-18,10927644,2908735,13525102,15326689,1064734,8179238,1397684,4765496,1963783,1937044,5435463,4795113,5336274,13557562,,4780601,3311291,4534653,1478178,8066330,2431317,1220610,1424965,6070604,7113842,4781012,2196398,1757393,10274251,1548596,19152902,1690428,2453712,8505095,2851995,2525359
2025-12-19,10904188,2902495,13496070,15293793,1062446,8161678,1394684,4755264,1959567,1932884,5423799,4784817,5324818,13528458,,4770337,3304187,4524917,1475002,8049018,2426101,1217986,1421909,6057572,7098570,4770748,2191686,1753617,10252195,1545276,19111790,1686796,2448448,8486839,2845875,2519935
2025-12-22,12021346,2893000,13061468,14794310,1058789,7883663,1343315,4752494,1950010,1882573,5251779,4769440,5293895,13483316,,4613103,3293539,4509721,1470525,7999823,2383166,1210595,1399094,6050643,7078418,4747428,2184437,1747641,11038165,1495205,19013452,1680259,2439981,8458032,2809106,2513290
2025-12-23,12138022,2921080,13188224,14937878,1069049,7960163,1356347,4798610,1968946,1900861,5302755,4815736,5345267,13614176,,4657887,3325507,4553497,1484781,8077475,2406278,1222331,1412666,6109359,7147106,4793508,2205641,1764597,11145301,1509713,19197988,1696567,2463669,8540112,2836358,2537698
2025-12-24,12215806,2939800,13272728,15033590,1075889,8011163,1365035,4829354,1981570,1913053,5336739,4846600,5379515,13701416,,4687743,3346819,4582681,1494285,8129243,2421686,1230155,1421714,6148503,7192898,4824228,2219777,1775901,11216725,1519385,19321012,1707439,2479461,8594832,2854526,2553970
2025-12-26,12235252,2944480,13293854,15057518,1077599,8023913,1367207,4837040,1984726,1916101,5345235,4854316,5388077,13723226,,4695207,3352147,4589977,1496661,8142185,2425538,1232111,1423976,6158289,7204346,4831908,2223311,1778727,11234581,1521803,19351768,1710157,2483409,8608512,2859068,2558038
2025-12-29,12105612,2913280,13153014,14897998,1066199,7938913,1352727,4785800,1963686,1895781,5288595,4802876,5330997,13577826,,4645447,3316627,4541337,1480821,8055905,2399858,1219071,1408896,6093049,7128026,4780708,2199751,1759887,11115541,1505683,19146728,1692037,2457089,8517312,2828788,2530918
2025-12-30,12108857,2914061,13156540,14901992,1066485,7941041,1353090,4787083,1964212,1896289,5290013,4804163,5332426,13581466,,4646692,3317516,4542554,1481218,8058064,2400501,1219398,1409274,6094682,7129937,4781990,2200341,1760359,11118521,1506087,19151861,1692491,2457748,8519595,2829546,2531596
2025-12-31,12238657,2945301,13297580,15061752,1077925,8026161,1367610,4838403,1985252,1916609,5346733,4855683,5389586,13727066,,4696492,3353076,4591234,1497098,8144464,2426221,1232478,1424394,6160002,7206377,4833270,2223941,1779239,11237721,1522247,19357181,1710651,2484108,8610915,2859866,2558716
2026-01-02,12189982,2933586,13244690,15001842,1073635,7994241,1362165,4819158,1977362,1908989,5325463,4836363,5368151,13672466,,4677817,3339741,4572979,1491143,8112064,2416576,1227573,1418724,6135507,7177712,4814040,2215091,1772159,11193021,1516187,19280186,1703841,2474223,8576670,2848496,2548546
2026-01-06,12095772,2910890,13142331,14885911,1065341,7932453,1351638,4781922,1962079,1894210,5284294,4798964,5326681,13566801,,4641683,3313931,4537657,1479630,8049395,2397900,1218090,1407762,6088074,7122264,4776815,2197981,1758471,11106525,1504471,19131177,1690675,2455112,8510387,2826485,2528855
2026-01-07,12095772,2910890,13142331,14885911,1065341,7932453,1351638,4781922,1962079,1894210,5284294,4798964,5326681,13566801,,4641683,3313931,4537657,1479630,8049395,2397900,1218090,1407762,6088074,7122264,4776815,2197981,1758471,11106525,1504471,19131177,1690675,2455112,8510387,2826485,2528855
2026-01-08,12030812,2895250,13071751,14805951,1059621,7889853,1344378,4756242,1951539,1884030,5255914,4773184,5298081,13493941,,4616763,3296131,4513277,1471690,8006155,2385020,1211550,1400202,6055374,7084004,4751155,2186181,1749031,11046865,1496391,19028417,1681595,2441932,8464687,2811305,2515275
2026-01-09,12049346,2899730,13091865,14828746,1061265,7902006,1346441,4763542,1954554,1886973,5264001,4780543,5306236,13514709,,4623859,3301208,4520203,1473963,8018454,2388730,1213414,1402344,6064722,7094917,4758479,2189537,1751714,11063883,1498674,19057730,1684187,2445660,8477709,2815633,2519143
2026-01-12,12072082,2905204,13116568,14856732,1063267,7916916,1348982,4772530,1958243,1890536,5273934,4789566,5316253,13540210,,4632588,3307438,4528736,1476742,8033588,2393238,1215703,1404990,6076167,7108308,4767460,2193667,1755018,11084764,1501502,19093696,1687365,2450273,8493711,2820946,2523896
2026-01-13,12578926,3027196,13667248,15480576,1107883,8249352,1405610,4972834,2040455,1969940,5495298,4990650,5539489,14108674,,4827120,3446278,4718900,1538674,8370860,2493702,1266715,1463958,6331227,7406736,4967608,2285707,1828650,11550112,1564526,19895380,1758189,2553077,8850327,2939350,2629820
2026-01-14,12900577,3104614,14016718,15876477,1136197,8460321,1441547,5100049,2092628,2020331,5635878,5118261,5681158,14469430,,4950573,3534388,4839581,1577977,8584898,2557458,1299088,1501380,6493092,7596123,5094625,2344117,1875378,11845528,1604522,20404141,1803135,2618417,9076641,3014491,2697041
2026-01-15,12793360,3078808,13900228,15744510,1126759,8389998,1429568,5057644,2075237,2003534,5589018,5075724,5633935,14349178,,4909422,3505018,4799354,1564876,8513552,2536206,1288297,1488906,6439137,7532994,5052286,2324647,1859802,11747056,1591190,20234554,1788153,2596637,9001203,2989444,2674634
2026-01-16,12864838,3096012,13977888,15832488,1133051,8436880,1437554,5085914,2086831,2014732,5620258,5104082,5665417,14429346,,4936856,3524598,4826172,1573610,8561116,2550374,1295491,1497222,6475107,7575080,5080512,2337627,1870186,11812704,1600078,20347612,1798141,2611157,9051495,3006142,2689572
2026-01-20,12904715,3105579,14021240,15881423,1136602,8462961,1442023,5101703,2093305,2020927,5637689,5119907,5682920,14474101,,4952102,3535556,4841087,1578596,8587673,2558302,1299552,1501894,6495248,7598576,5096277,2344968,1876064,11849298,1605063,20410616,1803744,2619277,9079532,3015510,2697973
2026-01-21,12726020,3062569,13827090,15661478,1120872,8345756,1422058,5031028,2064320,1992932,5559644,5049012,5604215,14273681,,4883517,3486606,4774042,1556761,8468763,2522882,1281567,1481104,6405323,7493361,5025712,2312518,1850104,11685233,1582843,20127971,1778774,2583032,8953802,2973765,2660628
2026-01-22,12644795,3043019,13738840,15561503,1113722,8292481,1412983,4998903,2051145,1980207,5524169,5016787,5568440,14182581,,4852342,3464356,4743567,1546836,8414713,2506782,1273392,1471654,6364448,7445536,4993637,2297768,1838304,11610658,1572743,19999496,1767424,2566557,8896652,2954790,2643653
2026-01-23,12625295,3038327,13717654,15537503,1112006,8279695,1410805,4991193,2047983,1977153,5515649,5009053,5559854,14160711,,4844860,3459016,4736253,1544448,8401735,2502918,1271430,1469386,6354632,7434052,4985933,2294222,1835472,11592754,1570319,19968650,1764700,2562597,8882930,2950236,2639579
2026-01-26,12713045,3059441,13812991,15645503,1119728,8337232,1420606,5025888,2062212,1990896,5553989,5043856,5598491,14259126,,4878529,3483046,4769166,1555194,8460136,2520306,1280259,1479592,6398804,7485730,5020601,2310179,1848216,11673322,1581227,20107457,1776958,2580417,8944679,2970729,2657912
2026-01-27,12491909,3006197,13572747,15373367,1100280,8192188,1395922,4938440,2026376,1956284,5457361,4956136,5501115,14011130,,4793665,3422458,4686206,1528130,8312984,2476446,1258023,1453888,6287488,7355510,4933289,2269991,1816052,11470274,1553755,19757733,1746018,2535537,8789095,2919049,2611672
2026-01-28,12534185,3016376,13618676,15425393,1103998,8219917,1400641,4955158,2033227,1962901,5475834,4972906,5519731,14058541,,4809889,3434041,4702066,1533304,8341116,2484831,1262274,1458802,6308769,7380405,4949981,2277674,1822201,11509092,1559007,19824592,1751933,2544117,8818839,2928929,2620512
2026-01-29,12472397,3001499,13551530,15349355,1098564,8179390,1393744,4930724,2023195,1953230,5448835,4948396,5492523,13989229,,4786177,3417112,4678886,1525742,8300000,2472576,1256042,1451601,6277666,7344020,4925585,2266445,1813214,11452358,1551312,19726856,1743288,2531577,8775367,2914489,2607592
2026-01-30,12560228,3022640,13646948,15457436,1106286,8236981,1403545,4965446,2037451,1966973,5487202,4983226,5531187,14087725,,4819873,3441169,4711826,1536488,8358428,2489991,1264898,1461834,6321865,7395725,4960253,2282402,1825985,11532980,1562247,19865744,1755573,2549397,8837143,2935009,2625952
2026-02-02,12423602,2989754,13498520,15289310,1094274,8147395,1388299,4911434,2015275,1945595,5427520,4929004,5471043,13934509,,4767457,3403747,4660586,1519772,8267498,2462901,1251122,1445916,6253111,7315295,4906283,2257580,1806119,11407526,1545237,19649654,1736463,2521677,8741005,2903089,2597392
2026-02-03,12475650,3002282,13555080,15353374,1098866,8181539,1394123,4932010,2023723,1953739,5450256,4949660,5493971,13992893,,4787425,3418003,4680106,1526140,8302138,2473221,1256370,1451980,6279303,7345951,4926843,2267036,1813687,11455318,1551717,19731990,1743743,2532237,8777629,2915249,2608272
2026-02-04,12543963,3018725,13629315,15437458,1104893,8226353,1401767,4959016,2034811,1964428,5480097,4976771,5524064,14069522,,4813633,3436714,4705726,1534498,8347603,2486766,1263258,1459939,6313680,7386187,4953828,2279447,1823620,11518045,1560222,19840056,1753298,2546097,8825698,2931209,2622552
2026-02-05,12498421,3007763,13579825,15381402,1100875,8196477,1396671,4941012,2027419,1957302,5460203,4958697,5504002,14018436,,4796161,3424240,4688646,1528926,8317293,2477736,1258666,1454633,6290762,7359363,4935838,2271173,1816998,11476227,1554552,19768012,1746928,2536857,8793652,2920569,2613032
2026-02-06,12114567,2915369,13162695,14908930,1067009,7944665,1353719,4789264,1965115,1897240,5292525,4806359,5334908,13587854,,4648897,3319102,4544686,1481962,8061823,2401626,1219962,1409911,6097596,7133275,4784208,2201435,1761184,11123761,1506762,19160784,1693238,2458977,8523550,2830889,2532792
2026-02-09,12163362,2927114,13215720,14968990,1071314,7976675,1359179,4808554,1973035,1904875,5313840,4825724,5356403,13642589,,4667617,3332467,4562986,1487932,8094298,2411301,1224882,1415596,6122151,7162015,4803483,2210300,1768279,11168566,1512837,19237974,1700063,2468877,8557885,2842289,2542992
2026-02-10,12280470,2955302,13342980,15113134,1081646,8053499,1372283,4854850,1992043,1923199,5364996,4872200,5407991,13773953,,4712545,3364543,4606906,1502260,8172238,2434521,1236690,1429240,6181083,7230991,4849743,2231576,1785307,11276098,1527417,19423230,1716443,2492637,8640289,2869649,2567472
2026-02-11,12225169,2941991,13282885,15045066,1076767,8017221,1366095,4832988,1983067,1914546,5340839,4850253,5383630,13711920,,4691329,3349396,4586166,1495494,8135433,2423556,1231114,1422797,6153254,7198419,4827898,2221529,1777266,11225319,1520532,19335748,1708708,2481417,8601376,2856729,2555912
2026-02-12,12670830,3049262,13767180,15593614,1116086,8309442,1415963,5009170,2055403,1984279,5535516,5027120,5579951,14211833,,4862305,3471463,4753306,1550020,8432038,2511921,1276050,1474720,6377523,7460911,5003943,2302496,1842067,11634538,1576017,20040613,1771043,2571837,8914969,2960849,2649072
2026-02-13,12537375,3017159,13622163,15429368,1104319,8221907,1401039,4956403,2033755,1963369,5477214,4974189,5521198,14062142,,4811096,3434891,4703245,1533702,8343232,2485476,1262602,1459181,6310365,7382314,4951258,2278265,1822674,11511989,1559412,19829545,1752388,2544736,8821079,2929648,2621151
2026-02-17,12612240,3035168,13703514,15521506,1110920,8271012,1409411,4986004,2045899,1975099,5509920,5003882,5554157,14146115,,4839823,3455407,4731328,1542856,8393050,2500311,1270146,1467898,6348039,7426405,4980813,2291858,1833553,11580736,1568727,19947949,1762853,2559939,8873749,2947151,2636814
2026-02-18,12643491,3042715,13737416,15559940,1113596,8291647,1412834,4998428,2050931,1980018,5523563,5016268,5567883,14181110,,4851856,3463987,4743089,1546642,8413838,2506514,1273247,1471493,6363770,7444761,4993116,2297503,1838088,11609436,1572573,19997453,1767232,2566254,8895740,2954470,2643361
2026-02-19,12747715,3067803,13850664,15688196,1122780,8359999,1424482,5039644,2067827,1996338,5569099,5057612,5613771,14298006,,4891856,3492531,4782193,1559378,8483182,2527186,1283743,1483621,6416218,7506137,5034268,2316447,1853224,11705148,1585533,20162285,1781792,2587406,8969084,2978822,2665153
2026-02-20,12767257,3072507,13871898,15712244,1124502,8372815,1426666,5047372,2070995,1999398,5577637,5065364,5622375,14319924,,4899356,3497883,4789525,1561766,8496184,2531062,1285711,1485895,6426052,7517645,5041984,2319999,1856062,11723094,1587963,20193191,1784522,2591372,8982836,2983388,2669239
2026-02-23,12773771,3074075,13878976,15720260,1125076,8377087,1427394,5049948,2072051,2000418,5580483,5067948,5625243,14327230,,4901856,3499667,4791969,1562562,8500518,2532354,1286367,1486653,6429330,7521481,5044556,2321183,1857008,11729076,1588773,20203493,1785432,2592694,8987420,2984910,2670601
2026-02-24,12835654,3088971,13946217,15796412,1130529,8417671,1434310,5074420,2082083,2010108,5607520,5092496,5652489,14396637,,4925606,3516615,4815187,1570124,8541691,2544628,1292599,1493854,6460471,7557923,5068990,2332431,1865995,11785905,1596468,20301362,1794077,2605253,9030949,2999369,2683540
2026-02-25,12724916,3062315,13825891,15660140,1120771,8345047,1421934,5030628,2064131,1992768,5559138,5048568,5603733,14272435,,4883106,3486287,4773639,1556592,8468013,2522664,1281447,1480968,6404745,7492711,5025266,2312303,1849913,11684211,1582698,20126228,1778607,2582779,8953055,2973495,2660386
2026-02-26,12532753,3016059,13617090,15423668,1103838,8219023,1400458,4954636,2032979,1962678,5475181,4972340,5519127,14056908,,4809356,3433659,4701541,1533110,8340160,2484550,1262095,1458607,6308044,7379549,4949392,2277375,1822006,11507742,1558803,19822319,1751762,2543780,8817886,2928596,2620207
2026-02-27,12679318,3051339,13776345,15604028,1116753,8315143,1416838,5012596,2056739,1985628,5539216,5030480,5583657,14221293,,4865606,3473799,4756531,1551020,8437675,2513620,1276855,1475662,6381799,7465859,5007262,2304015,1843291,11642337,1577028,20054114,1772237,2573525,8920981,2962841,2650852
2026-03-02,12571837,3025467,13659558,15471764,1107282,8244655,1404826,4970092,2039315,1968798,5492257,4987844,5536335,14100744,,4824356,3444363,4716205,1537886,8366164,2492302,1266031,1463155,6327712,7402565,4964824,2284479,1827682,11543634,1563663,19884131,1757222,2551712,8845378,2937728,2628379
2026-03-03,12591379,3030171,13680792,15495818,1109004,8257471,1407010,4977820,2042483,1971858,5500795,4995596,5544939,14122662,,4831856,3449715,4723537,1540274,8379172,2496178,1267999,1465429,6337546,7414073,4972540,2288031,1830526,11561580,1566093,19915043,1759952,2555678,8859130,2942294,2632465
2026-03-04,12829140,3087403,13939139,15788475,1129955,8413399,1433582,5071844,2081027,2009088,5604674,5089912,5649621,14389331,,4923106,3514831,4812743,1569328,8537436,2543336,1291943,1493096,6457193,7554087,5066418,2331247,1865128,11779923,1595658,20291139,1793167,2603931,9026446,2997847,2682178
2026-03-05,12790056,3077995,13896671,15740367,1126511,8387767,1429214,5056388,2074691,2002968,5587598,5074408,5632413,14345495,,4908106,3504127,4798079,1564552,8511420,2535584,1288007,1488548,6437525,7531071,5050986,2324143,1859440,11744031,1590798,20229315,1787707,2595999,8998942,2988715,2674006
2026-03-06,12748423,3067953,13851413,15689029,1122828,8360460,1424556,5039886,2067975,1996454,5569399,5057913,5614113,14298810,,4892115,3492759,4782444,1559508,8483628,2527297,1283814,1483709,6416606,7506534,5034572,2316559,1853310,11705759,1585631,20163377,1781916,2587557,8969538,2978995,2665294
2026-03-09,12530003,3015358,13614099,15420225,1103599,8217214,1400168,4953523,2032532,1962217,5473991,4971215,5517901,14053791,,4808298,3432928,4700503,1532775,8338238,2484015,1261838,1458316,6306659,7377894,4948276,2276895,1821552,11505161,1558429,19817858,1751364,2543203,8815840,2927941,2619600
2026-03-10,12719083,3060888,13819593,15652921,1120245,8341218,1421280,5028285,2063214,1991855,5556583,5046267,5601189,14265897,,4880856,3484722,4771437,1555917,8464098,2521483,1280862,1480298,6401837,7489254,5022980,2311231,1849044,11678813,1581977,20116964,1777812,2581599,8948892,2972137,2659156
2026-03-11,12767983,3072663,13872738,15713101,1124550,8373288,1426740,5047620,2071149,1999520,5577943,5065677,5622729,14320752,,4899621,3498117,4789782,1561902,8496648,2531173,1285782,1485983,6426452,7518054,5042300,2320111,1856154,11723723,1588067,20194319,1784652,2591529,8983302,2983567,2669386
2026-03-12,12781023,3075803,13886906,15729149,1125698,8381840,1428196,5052776,2073265,2001564,5583639,5070853,5628473,14335380,,4904625,3501689,4794674,1563498,8505328,2533757,1287094,1487499,6433016,7525734,5047452,2322479,1858050,11735699,1589691,20214947,1786476,2594177,8992478,2986615,2672114
2026-03-13,12784283,3076588,13890448,15733161,1125985,8383978,1428560,5054065,2073794,2002075,5585063,5072147,5629909,14339037,,4905876,3502582,4795897,1563897,8507498,2534403,1287422,1487878,6434657,7527654,5048740,2323071,1858524,11738693,1590097,20220104,1786932,2594839,8994772,2987377,2672796
2026-03-16,12471131,3001228,13550224,15347817,1098433,8178634,1393616,4930225,2023010,1953019,5448263,4947923,5492053,13987773,,4785684,3416758,4678393,1525593,8299082,2472291,1255934,1451398,6277025,7343238,4925092,2266143,1813020,11451173,1551121,19724840,1743156,2531287,8774452,2914225,2607324
2026-03-17,12663589,3047543,13759320,15584643,1115366,8304835,1415092,5006335,2054221,1983168,5532338,5024269,5576777,14203595,,4859552,3469504,4750609,1549134,8427171,2510464,1275286,1473818,6373903,7456577,5001084,2301130,1840986,11627878,1575075,20029221,1770060,2570345,8909857,2959183,2647562
2026-03-18,12598349,3031843,13688440,15504363,1109626,8262055,1407812,4980535,2043641,1972948,5503838,4998389,5548057,14130435,,4834512,3451624,4726129,1541154,8383751,2497524,1268726,1466218,6341063,7418157,4975324,2289270,1831506,11567978,1566955,19926041,1760940,2557105,8863957,2943943,2633922
2026-03-19,12813641,3083653,13922344,15769287,1128568,8403229,1431836,5065675,2078555,2006674,5597888,5083793,5642833,14371929,,4917144,3510628,4806913,1567488,8527037,2540226,1290374,1491298,6449435,7544943,5060332,2328408,1862790,11765648,1593751,20266535,1791036,2600797,9015427,2994235,2678934
2026-03-20,12903365,3054208,13062133,14790072,1117714,7841166,1417946,5017173,2061257,1937265,5252168,5034277,5589634,14232130,,4611008,3477187,4743496,1552209,7971614,2479593,1266615,1471293,6099148,7471517,5011196,2305909,1787901,10767765,1497669,20071678,1773599,2589768,8928477,2954906,2656434
2026-03-23,12903365,3054208,13062133,14790072,1117714,7841166,1417946,5017173,2061257,1937265,5252168,5034277,5589634,14232130,,4611008,3477187,4743496,1552209,7971614,2479593,1266615,1471293,6099148,7471517,5011196,2305909,1787901,10767765,1497669,20071678,1773599,2589768,8928477,2954906,2656434
2026-03-24,13002632,3077698,13162618,14903839,1126298,7901486,1428850,5055772,2077120,1952171,5292565,5072992,5632641,14341605,,4646475,3503925,4779978,1564157,8032949,2498675,1276359,1482603,6146070,7528995,5049737,2323657,1801676,10850589,1509182,20226103,1787229,2609691,8997138,2977642,2676879
2026-03-25,13002632,3077698,13162618,14903839,1126298,7901486,1428850,5055772,2077120,1952171,5292565,5072992,5632641,14341605,,4646475,3503925,4779978,1564157,8032949,2498675,1276359,1482603,6146070,7528995,5049737,2323657,1801676,10850589,1509182,20226103,1787229,2609691,8997138,2977642,2676879
2026-03-26,12930707,3060667,13089790,14821393,1120061,7857764,1420954,5027800,2065633,1941377,5263291,5044936,5601477,14262267,,4620771,3484542,4753539,1555505,7988513,2484857,1269303,1474392,6112071,7487352,5021807,2310805,1791701,10790550,1500824,20114215,1777338,2595243,8947368,2961178,2662074
2026-03-27,12893032,3051746,13051642,14778207,1116794,7834862,1416818,5013148,2059616,1935723,5247957,5030240,5585153,14220709,,4607307,3474389,4739690,1550973,7965237,2477619,1265607,1470091,6094262,7465539,5007177,2304073,1786476,10759101,1496446,20055607,1772157,2587675,8921298,2952554,2654319
2026-03-30,12889606,3050935,13048174,14774280,1116497,7832780,1416442,5011816,2059069,1935209,5246562,5028903,5583669,14216930,,4606083,3473466,4738430,1550561,7963120,2476961,1265271,1469700,6092643,7463555,5005846,2303461,1786001,10756242,1496048,20050277,1771686,2586987,8918927,2951769,2653614
2026-03-31,12887366,3050464,13045885,14771691,1116304,7831346,1416153,5010901,2058726,1934899,5245650,5028048,5582697,14214416,,4605292,3472794,4737562,1550276,7961661,2476454,1265064,1469397,6091593,7462246,5005019,2303035,1787707,10754365,1495735,20046617,1771383,2586582,8917301,2951206,2653200
2026-04-01,12729678,3013158,12886265,14590957,1102642,7735528,1398811,4949583,2033518,1911209,5181480,4966546,5514387,14040490,,4548942,3430290,4679602,1531324,7864233,2446140,1249608,1451411,6017073,7370936,4943793,2274837,1765857,10622805,1477427,19801345,1749717,2554934,8808189,2915096,2620724
2026-04-02,12729678,3013158,12886265,14590957,1102642,7735528,1398811,4949583,2033518,1911209,5181480,4966546,5514387,14040490,,4548942,3430290,4679602,1531324,7864233,2446140,1249608,1451411,6017073,7370936,4943793,2274837,1765857,10622805,1477427,19801345,1749717,2554934,8808189,2915096,2620724
2026-04-06,12071502,2857446,12220024,13836588,1045618,7335592,1326427,4693647,1928302,1812329,4913640,4709841,5229267,13314538,,4313742,3252882,4437682,1452220,7457577,2319612,1185095,1376339,5706032,6989816,4688241,2157141,1674656,10073684,1401011,18777600,1659285,2422838,8352765,2764376,2485172
2026-04-07,11937810,2825817,12084694,13683318,1034035,7254355,1311724,4641660,1906930,1792244,4859235,4657659,5171352,13167079,,4265967,3216846,4388542,1436152,7374975,2293911,1171952,1361090,5642852,6912401,4636332,2133234,1656092,9962105,1385489,18569613,1640916,2396006,8260257,2733761,2457638
2026-04-08,11844974,2803728,11990670,13576884,1026013,7197907,1301607,4605594,1892206,1778394,4821359,4621357,5131140,13064685,179905,4232792,3191897,4354365,1424881,7317684,2276146,1162740,1350546,5598875,6858663,4600191,2116754,1643109,9884499,1374754,18425147,1628105,2377367,8196027,2712499,2438596
