date,amcr_shares,ecl_shares,lyb_shares,alb_shares,shw_shares,ip_shares,sw_shares,fcx_shares,vmc_shares,dow_shares,dd_shares,pkg_shares,mos_shares,mlm_shares,cf_shares,stld_shares,avy_shares,ball_shares,iff_shares,lin_shares,ctva_shares,ppg_shares,nue_shares,crh_shares,apd_shares,nem_shares
2026-01-22,3518139,947349,1962262,896912,856771,4023863,3979267,5336401,789533,5416356,3192758,681053,2418770,375847,1188605,1046055,589028,2042191,1951545,1735352,3599215,1710035,1425813,2490965,989860,4055492
2026-01-23,3592739,967449,2003862,915912,874921,4109213,4063667,5449551,806283,5531206,3260458,695503,2470070,383797,1213805,1068255,601528,2085491,1992945,1772152,3675515,1746285,1456063,2543765,1010860,4141492
2026-01-26,3616611,973881,2017174,921992,880729,4136525,4090675,5485759,811643,5567958,3282122,700127,2486486,386341,1221869,1075359,605528,2099347,2006193,1783928,3699931,1757885,1465743,2560661,1017580,4169012
2026-01-27,3622579,975489,2020502,923512,882181,4143353,4097427,5494811,812983,5577146,3287538,701283,2490590,386977,1223885,1077135,606528,2102811,2009505,1786872,3706035,1760785,1468163,2564885,1019260,4175892
2026-01-28,3655403,984333,2038806,931872,890167,4180907,4134563,5544597,820353,5627680,3317326,707641,2513162,390475,1234973,1086903,612028,2121863,2027721,1803064,3739607,1776735,1481473,2588117,1028500,4213732
2026-01-29,3650927,983127,2036310,930732,889078,4175786,4129499,5537808,819348,5620789,3313264,706774,2510084,389998,1233461,1085571,611278,2119265,2025237,1800856,3735029,1774560,1479658,2584949,1027240,4208572
2026-01-30,3701655,996795,2064598,943652,901420,4233824,4186891,5614750,830738,5698887,3359300,716600,2544968,395404,1250597,1100667,619778,2148709,2053389,1825880,3786913,1799210,1500228,2620853,1041520,4267052
2026-02-02,3692703,994383,2059606,941372,899242,4223582,4176763,5601172,828728,5685105,3351176,714866,2538812,394450,1247573,1098003,618278,2143513,2048421,1821464,3777757,1794860,1496598,2614517,1039000,4256732
2026-02-03,3752383,1010463,2092886,956572,913762,4291862,4244283,5691692,842128,5776985,3405336,726426,2579852,400810,1267733,1115763,628278,2178153,2081541,1850904,3838797,1823860,1520798,2656757,1055800,4325532
2026-02-04,3834443,1032573,2138646,977472,933727,4385692,4337123,5816157,860553,5903320,3479806,742321,2636282,409555,1295453,1140183,642028,2225783,2127081,1891384,3922727,1863735,1554073,2714837,1078900,4420132
2026-02-05,3850855,1036995,2147798,981652,937720,4404458,4355691,5841050,864238,5928587,3494700,745500,2647568,411304,1300997,1145067,644778,2235309,2136189,1899480,3939513,1871710,1560728,2726453,1083520,4439052
2026-02-06,3847871,1036191,2146134,980892,936994,4401046,4352315,5836524,863568,5923993,3491992,744922,2645516,410986,1299989,1144179,644278,2233577,2134533,1898008,3936461,1870260,1559518,2724341,1082680,4435612
2026-02-09,3803111,1024131,2121174,969492,926104,4349866,4301675,5768634,853518,5855083,3451372,736252,2614736,406216,1284869,1130859,636778,2207597,2109693,1875928,3890681,1848510,1541368,2692661,1070080,4384012
2026-02-10,3825491,1030161,2133654,975192,931549,4375456,4326995,5802579,858543,5889538,3471682,740587,2630126,408601,1292429,1137519,640528,2220587,2122113,1886968,3913571,1859385,1550443,2708501,1076380,4409812
2026-02-11,3812063,1026543,2126166,971772,928282,4360102,4311803,5782212,855528,5868865,3459496,737986,2620892,407170,1287893,1133523,638278,2212793,2114661,1880344,3899837,1852860,1544998,2698997,1072600,4394332
2026-02-12,3901583,1050663,2176086,994572,950062,4462462,4413083,5917992,875628,6006685,3540736,755326,2682452,416710,1318133,1160163,653278,2264753,2164341,1924504,3991397,1896360,1581298,2762357,1097800,4497532
2026-02-13,3883679,1045839,2166102,990012,945706,4441990,4392827,5890836,871608,5979121,3524488,751858,2670140,414802,1312085,1154835,650278,2254361,2154405,1915672,3973085,1887660,1574038,2749685,1092760,4476892
2026-02-17,3915011,1054281,2183574,997992,953329,4477816,4428275,5938359,878643,6027358,3552922,757927,2691686,418141,1322669,1164159,655528,2272547,2171793,1931128,4005131,1902885,1586743,2771861,1101580,4513012
2026-02-18,3986627,1073577,2223510,1016232,970753,4559752,4509299,6046983,894723,6137614,3617914,771799,2740934,425773,1346861,1185471,667528,2314115,2211537,1966456,4078379,1937685,1615783,2822549,1121740,4595572
2026-02-19,3998578,1076711,2230234,1019399,973774,4573301,4522615,6065131,897348,6156000,3628699,774022,2749116,427166,1350889,1188879,669478,2321077,2218033,1972288,4090668,1943560,1620518,2831048,1125000,4609319
2026-02-20,4035903,1086761,2251034,1028924,982849,4615976,4564815,6121731,905723,6213450,3662574,781247,2774766,431141,1363489,1199979,675728,2342727,2238733,1990688,4128843,1961685,1635643,2857473,1135500,4652344
2026-02-23,4077707,1098017,2274330,1039592,993013,4663772,4612079,6185123,915103,6277794,3700514,789339,2803494,435593,1377601,1212411,682728,2366975,2261917,2011296,4171599,1981985,1652583,2887069,1147260,4700532
2026-02-24,4142013,1115341,2310216,1055994,1008741,4737466,4684975,6282711,929533,6376810,3758924,801777,2847686,442471,1399369,1231559,693428,2404389,2297593,2043048,4237433,2013277,1678693,2932663,1165380,4774714
2026-02-25,4161422,1120567,2321045,1060947,1013473,4759670,4706932,6312156,933888,6406697,3776539,805534,2861037,444551,1405921,1237331,696678,2415660,2308357,2052629,4257297,2022715,1686558,2946404,1170840,4797087
2026-02-26,4149478,1117351,2314381,1057899,1010561,4746006,4693420,6294036,931208,6388305,3765699,803222,2852821,443271,1401889,1233779,694678,2408724,2301733,2046733,4245073,2016907,1681718,2937948,1167480,4783319
2026-02-27,4044898,1089211,2256071,1031229,985081,4626376,4575120,6135416,907758,6227305,3670779,782992,2780931,432071,1366539,1202699,677178,2348034,2243703,1995143,4138113,1966087,1639368,2863888,1138080,4662779
2026-03-02,4062432,1093913,2265834,1035720,989325,4646475,4594910,6162042,911683,6254405,3686795,786371,2793028,433991,1372494,1207883,680128,2358171,2253522,2003810,4156021,1974573,1646423,2876326,1142980,4682921
2026-03-03,4063926,1094315,2266667,1036101,989689,4648184,4596600,6164308,912018,6256705,3688151,786660,2794055,434151,1372999,1208327,680378,2359038,2254351,2004547,4157550,1975299,1647029,2877384,1143400,4684643
2026-03-04,4075886,1097539,2273339,1039149,992601,4661864,4610128,6182452,914706,6275121,3699007,788972,2802279,435431,1377039,1211887,682378,2365982,2260983,2010451,4169790,1981115,1651877,2885856,1146768,4698435
2026-03-05,4098311,1103584,2285849,1044864,998061,4687514,4635493,6216472,919746,6309651,3719362,793307,2817699,437831,1384614,1218562,686128,2379002,2273433,2021521,4192740,1992020,1660967,2901741,1153083,4724295
2026-03-06,4063903,1094315,2266667,1036101,989689,4648161,4596577,6164285,912018,6256682,3688151,786637,2794055,434151,1372999,1208327,680378,2359038,2254343,2004547,4157550,1975299,1647029,2877384,1143400,4684643
2026-03-09,4023511,1083434,2244149,1025814,979861,4601964,4550893,6103022,902946,6194501,3651485,778807,2766299,429831,1359364,1196312,673628,2335602,2231933,1984621,4116240,1955670,1630667,2848791,1132033,4638095
2026-03-10,3993591,1075374,2227469,1018194,972581,4567744,4517053,6057642,896226,6148441,3624325,773007,2745719,426631,1349264,1187412,668628,2318242,2215333,1969861,4085620,1941130,1618547,2827611,1123613,4603595
2026-03-11,3950207,1063687,2203283,1007145,962025,4518125,4467985,5991841,886482,6081654,3584943,764597,2715878,421991,1334619,1174507,661378,2293070,2191263,1948459,4041221,1920047,1600973,2796900,1111404,4553570
2026-03-12,3888830,1047164,2169048,991483,947060,4447933,4398572,5898771,872706,5987190,3529265,752707,2673689,415431,1313873,1156262,651087,2257441,2157233,1918201,3978450,1890199,1576086,2753440,1094143,4482845
2026-03-13,3855299,1038135,2150243,982897,938865,4409457,4360633,5847761,865178,5935398,3498731,746337,2650522,411871,1302535,1146327,645414,2237854,2138543,1901627,3944137,1873855,1562425,2729660,1084700,4444170
2026-03-16,3840329,1034105,2141893,979077,935215,4392337,4343703,5825051,861818,5912348,3485141,743437,2640232,410271,1297475,1141877,642904,2229164,2130243,1894247,3928817,1866575,1556355,2719060,1080490,4426910
2026-03-17,3831347,1031687,2136883,976785,933025,4382065,4333545,5811425,859802,5898518,3476987,741697,2634058,409311,1294439,1139207,641398,2223950,2125263,1889819,3919625,1862207,1552713,2712700,1077964,4416554
2026-03-18,3903203,1051031,2176963,995121,950545,4464241,4414857,5920433,875930,6009158,3542219,755617,2683450,416991,1318727,1160567,653446,2265662,2165151,1925291,3993161,1897151,1581849,2763580,1098172,4499402
2026-03-19,3951107,1063927,2203683,1007345,962225,4519025,4469065,5993105,886682,6082918,3585707,764897,2716378,422111,1334919,1174807,661478,2293470,2191743,1948939,4042185,1920447,1601273,2797500,1111644,4554634
2026-03-20,3785615,1053407,2109731,965573,938633,4326277,4280093,5851605,1082570,5878866,3352659,732173,2600578,488295,1277907,1124651,633270,2195662,2098219,1901187,3711021,1838523,1698377,2805672,1050796,4443046
2026-03-23,3785615,1053407,2109731,965573,938633,4326277,4280093,5851605,1082570,5878866,3352659,732173,2600578,488295,1277907,1124651,633270,2195662,2098219,1901187,3711021,1838523,1698377,2805672,1050796,4443046
2026-03-24,3798656,1057034,2117003,968903,941864,4341181,4294844,5871765,1086296,5899125,3364215,734693,2609542,489978,1282308,1128530,635448,2203231,2105446,1907739,3723810,1844859,1704227,2815338,1054414,4458355
2026-03-25,3778370,1051392,2105691,963723,936838,4317997,4271898,5840405,1080500,5867611,3346239,730773,2595598,487360,1275462,1122496,632060,2191457,2094204,1897547,3703916,1835003,1695127,2800302,1048786,4434541
2026-03-26,3682736,1024794,2052363,939303,913144,4208701,4163724,5692565,1053176,5719045,3261495,712293,2529862,475018,1243188,1094050,616088,2135951,2041206,1849499,3610130,1788539,1652227,2729418,1022254,4322275
2026-03-27,3658103,1017943,2038627,933013,907041,4180549,4135861,5654485,1046138,5680778,3239667,707533,2512930,471839,1234875,1086723,611974,2121654,2027555,1837123,3585973,1776571,1641177,2711160,1015420,4293358
2026-03-30,3787064,1053810,2110539,965943,938992,4327933,4281732,5853845,1082984,5881117,3353854,732453,2601574,488482,1278396,1125082,633512,2196503,2099022,1901915,3712442,1839227,1699027,2806746,1051198,4444747
2026-03-31,3816744,1062070,2127099,973443,946372,4361853,4315312,5899645,1091464,5927237,3380114,738253,2621994,492302,1288476,1134002,638452,2213723,2115482,1916835,3741462,1853707,1712327,2828826,1059438,4479667
2026-04-01,3838144,1067992,2139011,978923,951638,4386251,4339458,5932719,1097594,5960351,3399090,742373,2636638,495040,1295622,1140336,642054,2226097,2127324,1927547,3762456,1864063,1721927,2844562,1065346,4504681
2026-04-02,3838144,1067992,2139011,978923,951638,4386251,4339458,5932719,1097594,5960351,3399090,742373,2636638,495040,1295622,1140336,642054,2226097,2127324,1927547,3762456,1864063,1721927,2844562,1065346,4504681
2026-04-06,3851194,1071619,2146283,982253,954878,4401164,4354209,5952888,1101329,5980619,3410646,744893,2645602,496723,1300023,1144215,644241,2233666,2134560,1934099,3775245,1870399,1727786,2854237,1068964,4519999
2026-04-07,3906294,1086933,2176987,996313,968558,4464130,4416491,6038046,1117099,6066195,3459438,755533,2683450,503829,1318605,1160593,653475,2265624,2165112,1961763,3829243,1897151,1752524,2895087,1084240,4584675
2026-04-08,4001994,1113531,2230315,1020733,992318,4573492,4524665,6185952,1144489,6214827,3544182,774013,2749186,516171,1350879,1189039,669513,2321130,2218176,2009811,3923029,1943615,1795490,2966037,1110772,4697007
2026-04-09,4065794,1131263,2265867,1037013,1008158,4646400,4596781,6284556,1162749,6313915,3600678,786333,2793010,524399,1372395,1208003,680205,2358134,2253552,2041843,3985553,1974591,1824134,3013337,1128460,4771895
