date,ldos_shares,ph_shares,wab_shares,br_shares,dov_shares,tdg_shares,ir_shares,cat_shares,payc_shares,csx_shares,wm_shares,hubb_shares,gww_shares,sna_shares,ge_shares,unp_shares,jci_shares,ftv_shares,expd_shares,nsc_shares,hwm_shares,hon_shares,rol_shares,ndsn_shares,jbht_shares,txt_shares,chrw_shares,pwr_shares,rok_shares,gev_shares,tt_shares,lii_shares,etn_shares,bldr_shares,odfl_shares,lhx_shares,gnrc_shares,rsg_shares,ups_shares,eme_shares,hii_shares,ctas_shares,j_shares,mmm_shares,aos_shares,pcar_shares,lmt_shares,ual_shares,efx_shares,mas_shares,fast_shares,ba_shares,itw_shares,luv_shares,vrsk_shares,otis_shares,uber_shares,xyl_shares,payx_shares,rtx_shares,fdx_shares,swk_shares,vlto_shares,adp_shares,cprt_shares,uri_shares,cmi_shares,alle_shares,emr_shares,ame_shares,fix_shares,iex_shares,dal_shares,gd_shares,axon_shares,noc_shares,pnr_shares,de_shares,carr_shares
2026-02-20,742477,732762,992782,677824,796496,327061,2087806,2717475,282917,10813172,2152199,308613,253974,302031,6125146,3444363,3548809,1844294,778327,1303002,2334756,3686733,1704388,309952,436847,1023240,686044,865867,651965,1575509,1287655,185344,2255390,642100,1068512,1086165,340831,1168375,4291192,259955,227876,1983516,694118,3084733,656193,3049786,1182425,1879928,710751,1206105,6666510,4547108,1533000,3003042,809290,2263047,12065657,1413782,1880880,7785672,1260510,899427,1441838,2348603,5170497,369530,801558,499733,3262335,1336746,204320,434617,3766589,1472241,458226,779060,950228,1459879,4597129
2026-02-23,742268,732556,992503,677634,796272,326969,2087219,2716712,282837,10810134,2151594,308526,253903,301946,6123425,3443395,3547812,1843776,778108,1302636,2334100,3685697,1703909,309865,436724,1022952,685851,865624,651782,1575066,1287293,185292,2254756,641920,1068212,1085860,340735,1168047,4289986,259882,227812,1982959,693923,3083866,656008,3048929,1182093,1879400,710551,1205766,6664637,4545830,1532569,3002198,809063,2262411,12062267,1413385,1880352,7783485,1260156,899174,1441433,2347943,5169044,369426,801333,499593,3261418,1336370,204263,434495,3765531,1471827,458097,778841,949961,1459469,4595837
2026-02-24,739551,729878,988876,675164,793360,325773,2079588,2706780,281797,10770627,2143729,307395,252980,300841,6101052,3430811,3534851,1837042,775261,1297878,2325572,3672229,1697682,308734,435125,1019208,683342,862465,649403,1569307,1282587,184616,2246514,639580,1064312,1081895,339487,1163783,4274308,258933,226980,1975718,691388,3072595,653603,3037788,1177777,1872536,707951,1201359,6640288,4529216,1526966,2991226,806112,2254143,12018184,1408224,1873475,7755041,1255554,895885,1436168,2339363,5150155,368074,798408,497773,3249497,1331482,203522,432909,3751777,1466445,456420,775994,946490,1454139,4579041
2026-02-25,744567,735142,995572,679724,798736,327981,2093676,2726036,283717,10843563,2159549,309483,254684,302881,6144356,3455543,3560679,1849474,780517,1306662,2342516,3698593,1709178,310822,438077,1026120,687974,868817,653795,1580539,1291875,185864,2262730,643900,1071512,1089215,341791,1171655,4305652,260685,228516,1989086,696068,3095103,662343,3058356,1186305,1885208,712751,1209495,6685264,4561688,1537310,3011482,811560,2269407,12104768,1417752,1886171,7810253,1264850,901957,1445888,2355203,5185027,370570,803808,501133,3271505,1340506,204890,435837,3777193,1477181,459516,781250,952898,1464579,4610049
2026-02-26,748538,739056,1000873,683353,802992,329729,2104829,2740552,285237,10901304,2171044,311136,256033,304496,6177074,3473935,3579622,1859316,784678,1313616,2354980,3718277,1718279,312475,440414,1031592,691641,873434,657272,1588956,1298753,186852,2274776,647320,1077212,1095010,343615,1177887,4328566,262072,229732,1999669,699773,3111576,665858,3074639,1192613,1895240,716551,1215936,6720870,4585970,1545499,3027518,815873,2281491,12169197,1425295,1896222,7851825,1271576,906764,1453583,2367743,5212634,372546,808083,503793,3288928,1347650,205973,438155,3797314,1485047,461967,785411,957971,1472369,4634597
2026-02-27,744567,735142,995572,679724,798736,327981,2093676,2726036,283717,10843563,2159549,309483,254684,302881,6144356,3455543,3560679,1849474,780517,1306662,2342516,3698593,1709178,310822,438077,1026120,687974,868817,653795,1580539,1291875,185864,2262730,643900,1071512,1089215,341791,1171655,4305652,260685,228516,1989086,696068,3095103,662343,3058356,1186305,1885208,712751,1209495,6685264,4561688,1537310,3011482,811560,2269407,12104768,1417752,1886171,7810253,1264850,901957,1445888,2355203,5185027,370570,803808,501133,3271505,1340506,204890,435837,3777193,1477181,459516,781250,952898,1464579,4610049
2026-03-02,742059,732670,992224,677432,796048,326877,2086632,2716868,282757,10807095,2152289,308439,253832,301861,6123692,3443927,3548715,1843258,777889,1302270,2334644,3686161,1703430,309778,436601,1022664,685658,865901,651599,1575223,1287531,185240,2255122,641740,1067912,1085555,340639,1167719,4291180,259809,227748,1982390,693728,3084699,660123,3048072,1182321,1878872,710351,1205427,6662776,4546352,1532138,3001354,808836,2261775,12064076,1412988,1879823,7783997,1260602,898921,1441028,2347283,5167591,369322,801108,499453,3260501,1335994,204206,434373,3764485,1472213,457968,778622,949694,1459659,4594545
2026-03-03,741641,732258,991666,677050,795600,326693,2085458,2715340,282597,10801015,2151079,308265,253690,301691,6120248,3441991,3546719,1842220,777451,1301538,2333332,3684087,1702472,309604,436355,1022088,685272,865415,651233,1574337,1286807,185136,2253854,641378,1067312,1084945,340447,1167061,4288766,259663,227620,1981274,693338,3082965,659753,3046358,1181657,1877814,709951,1204749,6659028,4543796,1531276,2999666,808380,2260503,12057292,1412192,1878765,7779619,1259894,898415,1440218,2345963,5164683,369114,800658,499173,3258667,1335242,204092,434129,3762367,1471385,457710,778184,949160,1458839,4591959
2026-03-04,737043,727726,985528,672848,790672,324669,2072544,2698532,280837,10734113,2137769,306351,252128,299821,6082364,3420673,3524763,1830802,772633,1293486,2318878,3661273,1691934,307690,433649,1015752,681026,860069,647207,1564591,1278843,183992,2239906,637396,1060712,1078235,338335,1159823,4262212,258057,226212,1968998,689048,3063891,655683,3027482,1174331,1866176,705551,1197291,6617778,4515658,1521794,2981098,803364,2246511,11982646,1403436,1867127,7731461,1252106,892849,1431308,2331443,5132695,366826,795708,496093,3238493,1326970,202838,431445,3739069,1462277,454872,773366,943286,1449797,4563513
2026-03-05,731400,722164,977995,667691,784624,322185,2056695,2677904,278677,10652006,2121434,304002,250211,297526,6035870,3394510,3497817,1816789,766720,1283604,2301139,3633274,1679001,305341,430328,1007976,675815,853508,642266,1552630,1269069,182588,2222788,632509,1052612,1070000,335743,1150940,4229623,256086,224484,1953932,683783,3040482,650688,3004316,1165340,1851893,700151,1188138,6567153,4481125,1510157,2958310,797208,2229339,11891035,1392690,1852844,7672358,1242548,886018,1420373,2313623,5093437,364018,789633,492313,3213734,1316818,201299,428151,3710476,1451099,451389,767453,936077,1438700,4528602
2026-03-06,727220,718044,972415,663871,780144,320345,2044955,2662624,277077,10591186,2109334,302262,248791,295826,6001430,3375130,3477857,1806409,762340,1276284,2287999,3612534,1669421,303601,427868,1002216,671955,848648,638606,1543770,1261829,181548,2210108,628889,1046612,1063900,333823,1144360,4205483,254626,223204,1942772,679883,3023142,646988,2987156,1158680,1841313,696151,1181358,6529653,4455545,1501537,2941430,792648,2216619,11823175,1384730,1842264,7628578,1235468,880958,1412273,2300423,5064357,361938,785133,489513,3195394,1309298,200159,425711,3689296,1442819,448809,763073,930737,1430480,4502742
2026-03-09,722204,713100,965719,659287,774768,318137,2030867,2644288,275157,10518202,2094814,300174,247087,293786,5960078,3351874,3453905,1793953,757084,1267500,2272231,3587646,1657925,301513,424916,995304,667323,842792,634214,1533138,1253141,180300,2194892,624545,1039388,1056580,331519,1136464,4176515,252874,221668,1929380,675203,3002310,642548,2966564,1150688,1828617,691351,1173222,6484653,4424849,1491193,2921150,787176,2201355,11741743,1375178,1829568,7576018,1226948,874886,1402553,2284559,5029461,359442,779733,486153,3173386,1300274,198791,422783,3663880,1432883,445713,757817,924329,1420616,4471710
2026-03-10,721786,712688,965161,658905,774320,317953,2029693,2642760,274997,10512118,2093604,300000,246945,293616,5956632,3349936,3451909,1792915,756646,1266766,2270917,3585572,1656967,301339,424670,994728,666937,842304,633848,1532252,1252417,180196,2193624,624183,1038786,1055968,331327,1135806,4174101,252728,221540,1928264,674813,3000574,642178,2964848,1150022,1827559,690951,1172544,6480903,4422291,1490331,2919460,786720,2200081,11734955,1374382,1828510,7571638,1226238,874380,1401741,2283237,5026553,359234,779283,485871,3171550,1299522,198677,422539,3661762,1432055,445455,757379,923795,1419794,4469124
2026-03-11,722413,713306,965998,659478,774992,318229,2031454,2645052,275237,10521244,2095419,300261,247158,293871,5961801,3352843,3454903,1794472,757303,1267867,2272888,3588683,1658404,301600,425039,995592,667516,843036,634397,1533581,1253503,180352,2195526,624726,1039689,1056886,331615,1136793,4177722,252947,221732,1929938,675398,3003178,642733,2967422,1151021,1829146,691551,1173561,6486528,4426128,1491624,2921995,787404,2201992,11745137,1375576,1830097,7578208,1227303,875139,1402959,2285220,5030918,359546,779958,486294,3174304,1300650,198848,422905,3664942,1433297,445842,758036,924596,1421027,4473003
2026-03-12,721368,712276,964603,658523,773872,317769,2028519,2641232,274837,10506034,2092394,299826,246803,293446,5953186,3347998,3449913,1791877,756208,1266032,2269603,3583498,1656009,301165,424424,994152,666551,841816,633482,1531366,1251693,180092,2192356,623821,1038184,1055356,331135,1135148,4171687,252582,221412,1927148,674423,2998838,641808,2963132,1149356,1826501,690551,1171866,6477153,4419733,1489469,2917770,786264,2198807,11728167,1373586,1827452,7567258,1225528,873874,1400929,2281915,5023643,359026,778833,485589,3169714,1298770,198563,422295,3659642,1431227,445197,756941,923261,1418972,4466538
2026-03-13,717188,708156,959023,654703,769392,315929,2016779,2625952,273237,10445194,2080294,298086,245383,291746,5918726,3328618,3429953,1781497,751828,1258692,2256463,3562758,1646429,299425,421964,988392,662691,836936,629822,1522506,1244453,179052,2179676,620201,1032164,1049236,329215,1128568,4147547,251122,220132,1915988,670523,2981478,638108,2945972,1142696,1815921,686551,1165086,6439653,4394153,1480849,2900870,781704,2186067,11660287,1365626,1816872,7523458,1218428,868814,1392809,2268695,4994543,356946,774333,482769,3151354,1291250,197423,419855,3638442,1422947,442617,752561,917921,1410752,4440678
2026-03-16,717397,708362,959302,654894,769616,316021,2017366,2626717,273317,10448237,2080900,298173,245454,291831,5920450,3329587,3430952,1782016,752047,1259059,2257120,3563795,1646909,299512,422087,988680,662884,837180,630005,1522949,1244815,179104,2180311,620382,1032465,1049542,329311,1128897,4148754,251195,220196,1916546,670718,2982346,638293,2946830,1143029,1816450,686751,1165425,6441529,4395432,1481280,2901715,781932,2186704,11663682,1366024,1817401,7525649,1218783,869067,1393215,2269356,4995998,357050,774559,482910,3152272,1291626,197481,419977,3639502,1423361,442746,752780,918188,1411163,4441972
2026-03-17,716770,707744,958465,654321,768944,315745,2015602,2624422,273077,10439108,2079082,297912,245241,291576,5915278,3326680,3427955,1780459,751390,1257958,2255149,3560684,1645469,299251,421718,987816,662305,836448,629456,1521620,1243729,178948,2178406,619839,1031562,1048624,329023,1127910,4145130,250976,220004,1914872,670133,2979742,637738,2944256,1142030,1814863,686151,1164408,6435901,4391592,1479987,2899180,781248,2184793,11653497,1364830,1815814,7519076,1217718,868308,1391997,2267373,4991633,356738,773881,482487,3149518,1290498,197307,419611,3636322,1422119,442359,752123,917387,1409930,4438090
2026-03-18,718651,709598,960976,656040,770960,316573,2020894,2631307,273797,10466495,2084536,298695,245880,292341,5930794,3335401,3436946,1785130,753361,1261261,2261062,3570026,1649789,300034,422825,990408,664042,838644,631103,1525607,1246987,179416,2184121,621468,1034271,1051378,329887,1130871,4156002,251633,220580,1919894,671888,2987554,639403,2951978,1145027,1819624,687951,1167459,6452785,4403112,1483866,2906785,783300,2190526,11684052,1368412,1820575,7538795,1220913,870585,1395651,2273322,5004728,357674,775915,483756,3157780,1293882,197829,420709,3645862,1425845,443520,754094,919790,1413629,4449736
