date,eqr_shares,vici_shares,maa_shares,invh_shares,bxp_shares,exr_shares,hst_shares,udr_shares,ess_shares,well_shares,avb_shares,psa_shares,spg_shares,vtr_shares,eqix_shares,cbre_shares,wy_shares,sbac_shares,pld_shares,dlr_shares,amt_shares,csgp_shares,reg_shares,cci_shares,o_shares,cpt_shares,doc_shares,kim_shares,frt_shares,irm_shares,are_shares
2026-03-11,2738150,8456858,925939,4460207,1165567,1679420,5057867,2378385,509365,3895236,1119062,1211143,1852924,3716593,557251,2069165,5700866,843181,5271839,2031981,2657118,3351786,1301800,3445631,5719409,841375,5495950,5355530,620782,2338798,1230055
2026-03-12,2724308,8414108,921259,4437653,1159663,1670924,5032289,2366361,506791,3875544,1113410,1205023,1843564,3697801,554425,2058707,5672030,838915,5245181,2021703,2643690,3334830,1295212,3428207,5690483,837127,5468140,5328440,617650,2326972,1223827
2026-03-13,2726615,8421233,922039,4441412,1160647,1672340,5036552,2368365,507220,3878826,1114352,1206043,1845124,3700933,554896,2060450,5676836,839626,5249624,2023416,2645928,3337656,1296310,3431111,5695304,837835,5472775,5332955,618172,2328943,1224865
2026-03-16,2732005,8437879,923859,4450197,1162943,1675644,5046513,2373048,508221,3886491,1116557,1208430,1848771,3708248,555995,2064524,5688064,841285,5259998,2027413,2651157,3344257,1298872,3437894,5706560,839494,5483597,5343497,619397,2333549,1227287
2026-03-17,2733547,8442639,924381,4452709,1163599,1676590,5049361,2374388,508507,3888683,1117187,1209112,1849815,3710340,556309,2065688,5691274,841759,5262966,2028557,2652653,3346145,1299606,3439834,5709780,839968,5486693,5346513,619747,2334865,1227979
2026-03-18,2809203,8676075,949959,4575895,1195743,1722944,5189011,2440048,522619,3996189,1148057,1242530,1900971,3812946,571695,2122822,5848760,864985,5408496,2084613,2726055,3438755,1335572,3534992,5867658,863194,5638495,5494395,636897,2399447,1261985
2026-03-19,2735863,8449785,925164,4456480,1164583,1678009,5053636,2376398,508939,3891974,1118132,1210135,1851381,3713481,556780,2067437,5696095,842470,5267421,2030273,2654900,3348980,1300707,3442747,5714613,840679,5491340,5351040,620272,2336842,1229020
2026-03-20,2818703,8762645,958404,4623720,1208883,1740089,5243356,2465638,528319,3726534,1160812,1120035,1772081,3893981,524740,2382157,5907215,873490,4964621,1860073,2500240,3474680,1349507,3570307,5190933,847739,5698260,5526540,643712,2425422,1278740
2026-03-23,2818703,8762645,958404,4623720,1208883,1740089,5243356,2465638,528319,3726534,1160812,1120035,1772081,3893981,524740,2382157,5907215,873490,4964621,1860073,2500240,3474680,1349507,3570307,5190933,847739,5698260,5526540,643712,2425422,1278740
2026-03-24,2804933,8720945,954339,4604085,1203753,1731794,5221096,2455168,526069,3709509,1155277,1115000,1764051,3876551,522425,2371047,5882135,869785,4941746,1851668,2489120,3459920,1343777,3554242,5167698,844139,5674065,5499180,640982,2413917,1273310
2026-03-25,2798549,8701105,952171,4593613,1201017,1727850,5209224,2449584,524589,3700669,1152645,1112184,1759635,3866735,521113,2365655,5865459,867309,4930506,1847052,2482856,3450148,1340721,3546154,5154646,842219,5661161,5486668,639526,2408421,1270414
2026-03-26,2853611,8872225,970870,4683934,1224615,1761867,5311620,2497746,534939,3773464,1175346,1134057,1794273,3942773,531394,2412161,5980827,884352,5027451,1883415,2531708,3518044,1367079,3615913,5256007,858779,5772458,5594584,652084,2455824,1295392
2026-03-27,2847227,8852377,968702,4673462,1221879,1757923,5299748,2492162,533739,3765024,1172714,1131521,1790257,3933957,530202,2406769,5967451,882376,5016203,1879199,2526044,3510172,1364023,3607825,5244247,856859,5759554,5582064,650628,2450328,1292496
2026-03-30,2846843,8849729,966534,4662990,1219143,1757379,5287876,2486578,533659,3763184,1172482,1131105,1789541,3932541,529930,2405777,5966575,882300,5013463,1878483,2524980,3509600,1360967,3605637,5242287,854939,5746650,5582244,649172,2449532,1289600
2026-03-31,2882753,8961374,978729,4721895,1234533,1779564,5354701,2517988,540409,3810659,1187287,1145370,1812131,3982176,536635,2436152,6041860,893415,5076733,1902198,2556840,3553880,1378157,3651132,5308437,865739,5819280,5652669,657362,2480447,1305890
2026-04-01,2863577,8901734,972201,4690431,1226301,1767732,5319013,2501212,536809,3785291,1179391,1137738,1800059,3955680,533059,2419928,6001660,887463,5042941,1889526,2539824,3530240,1368965,3626820,5273109,859979,5780496,5615061,652970,2463935,1297178
2026-04-02,2863577,8901734,972201,4690431,1226301,1767732,5319013,2501212,536809,3785291,1179391,1137738,1800059,3955680,533059,2419928,6001660,887463,5042941,1889526,2539824,3530240,1368965,3626820,5273109,859979,5780496,5615061,652970,2463935,1297178
2026-04-06,2865175,8906704,972745,4693053,1226987,1768720,5321987,2502610,537109,3787405,1180049,1138374,1801065,3957888,533357,2421280,6005010,887959,5045757,1890582,2541242,3532212,1369731,3628846,5276053,860459,5783728,5618195,653336,2465311,1297904
2026-04-07,2873971,8934544,977233,4714497,1232559,1774196,5346235,2514006,538709,3799633,1183665,1142006,1806777,3970404,535073,2428884,6023110,890651,5061989,1896494,2549378,3542856,1376063,3640298,5292741,864419,5810092,5634963,656268,2472963,1303756
2026-04-08,2873172,8932059,976961,4713186,1232216,1773702,5344748,2513307,538559,3798576,1183336,1141688,1806274,3969300,534924,2428208,6021435,890403,5060581,1895966,2548669,3541871,1375680,3639285,5291269,864179,5808476,5633396,656085,2472275,1303393
2026-04-09,2850800,8862479,969345,4676478,1222612,1759870,5303112,2493735,534359,3768980,1174124,1132784,1792190,3938388,530752,2409280,5974535,883459,5021157,1881182,2528817,3514291,1364956,3610921,5250053,857459,5763228,5589520,650961,2453011,1293229
2026-04-10,2855594,8877389,970977,4684344,1224670,1762834,5312034,2497929,535259,3775322,1176098,1134692,1795208,3945012,531646,2413336,5984585,884947,5029605,1884350,2533071,3520201,1367254,3616999,5258885,858899,5772924,5598922,652059,2457139,1295407
2026-04-13,2859895,8890219,971793,4688277,1225699,1765456,5316495,2500026,535709,3780445,1177812,1136293,1797757,3950536,532360,2416764,5993909,886279,5036410,1887055,2536523,3523156,1368403,3622143,5266344,859619,5777772,5603623,652608,2460687,1296496
2026-04-14,2859895,8890219,971793,4688277,1225699,1765456,5316495,2500026,535709,3780445,1177812,1136293,1797757,3950536,532360,2416764,5993909,886279,5036410,1887055,2536523,3523156,1368403,3622143,5266344,859619,5777772,5603623,652608,2460687,1296496
