date,aes_shares,vst_shares,ed_shares,awk_shares,pnw_shares,pcg_shares,peg_shares,eix_shares,so_shares,cms_shares,etr_shares,lnt_shares,es_shares,wec_shares,ni_shares,duk_shares,dte_shares,ppl_shares,ceg_shares,fe_shares,exc_shares,aee_shares,d_shares,sre_shares,nee_shares,cnp_shares,aep_shares,xel_shares,evrg_shares,ato_shares,nrg_shares
2026-03-02,11940406,5340350,6051967,3271733,2006894,36853031,8369428,6451882,18462539,5102678,7488211,4310154,6290855,5454306,8001270,13039286,3482240,12403438,5236323,8717382,16939920,4535562,14317831,10943691,34919785,10946781,8974981,9918553,3860061,2691503,3213243
2026-03-03,11952016,5345540,6057857,3274913,2008844,36888881,8377568,6458162,18480499,5107638,7495491,4314344,6296975,5459616,8009050,13051966,3485630,12415498,5241413,8725862,16956400,4539972,14331761,10954331,34953745,10957431,8983711,9928203,3863811,2694123,3216373
2026-03-04,12097846,5410840,6131792,3314783,2033369,37339171,8479778,6536982,18706039,5169878,7587026,4366929,6373855,5526281,8106720,13211301,3528215,12567003,5305268,8832282,17163220,4595287,14506656,11088106,35380300,11091206,9093306,10049378,3911051,2727053,3255668
2026-03-05,12110416,5416340,6138107,3318313,2035494,37377781,8488668,6543762,18725499,5175238,7594841,4371494,6380475,5531966,8115250,13225016,3531880,12580048,5310803,8841462,17181100,4600022,14521711,11099581,35417030,11102681,9102761,10059753,3915011,2729923,3610523
2026-03-06,12076805,5401318,6121062,3309091,2029839,37274026,8465098,6525608,18673509,5160883,7573758,4359372,6362756,5516603,8092717,13188302,3522078,12545132,5296071,8816928,17133402,4587262,14481401,11068761,35318720,11071854,9077502,10031826,3904136,2722354,3600489
2026-03-09,12135914,5427736,6151050,3325309,2039784,37456504,8506561,6557534,18764952,5186128,7610835,4380690,6393917,5543633,8132344,13252868,3539316,12606536,5321979,8860074,17217297,4609702,14552291,11122974,35491610,11126067,9121923,10080939,3923261,2735665,3618135
2026-03-10,12193864,5453686,6180450,3341209,2049534,37635404,8547211,6588834,18854602,5210878,7647185,4401640,6424467,5570133,8171194,13316168,3556216,12666736,5347379,8902374,17299547,4631702,14621791,11176124,35661160,11179217,9165473,10129089,3942011,2748715,3635435
2026-03-11,12233304,5471332,6200442,3352021,2056164,37757158,8574853,6610152,18915598,5227742,7671937,4415886,6445241,5588153,8197612,13359246,3567708,12707706,5364685,8931172,17355511,4646696,14669085,11212266,35776522,11215393,9195121,10161865,3954761,2757623,3647199
2026-03-12,12248384,5478079,6208086,3356155,2058699,37803711,8585422,6618303,18938920,5234190,7681401,4421333,6453184,5595043,8207713,13375717,3572102,12723371,5371302,8942183,17376909,4652429,14687168,11226085,35820631,11229225,9206457,10174397,3959636,2761029,3651697
2026-03-13,12330744,5514928,6249834,3378733,2072544,38057962,8643145,6662820,19066294,5269406,7733089,4451082,6496565,5632673,8262880,13465674,3596100,12808926,5407441,9002320,17493775,4683740,14785929,11301558,36061534,11304769,9268369,10242841,3986261,2779631,3676263
2026-03-16,12331904,5515447,6250422,3379051,2072739,38061543,8643958,6663447,19068088,5269902,7733817,4451501,6497176,5633203,8263658,13466941,3596438,12810131,5407950,9003167,17495421,4684181,14787320,11302622,36064928,11305833,9269241,10243805,3986636,2779893,3676609
2026-03-17,12362090,5528941,6265710,3387319,2077809,38154675,8665096,6679749,19114732,5282798,7752745,4462395,6513062,5646983,8283886,13499883,3605226,12841487,5421184,9025189,17538217,4695647,14823512,11330286,36153172,11333497,9291913,10268869,3996386,2786705,3685605
2026-03-18,12385310,5539321,6277470,3393679,2081709,38226315,8681356,6692289,19150612,5292718,7767305,4470775,6525282,5657583,8299446,13525223,3611986,12865607,5431364,9042129,17571137,4704467,14851352,11351566,36221052,11354777,9309353,10288149,4003886,2791945,3692525
2026-03-19,12355124,5525827,6262182,3385411,2076639,38133183,8660218,6675987,19103942,5279822,7748377,4459881,6509396,5643803,8279218,13492281,3603198,12834251,5418130,9020107,17528315,4693001,14815160,11323902,36132808,11327113,9286681,10263085,3994136,2785133,3683529
2026-03-20,12143180,5431003,6154716,3328205,2040929,37480151,8511602,6561419,18776204,5225158,7713329,4383357,6397816,5549881,8160014,13260811,3541414,12614197,5313864,8865497,17442581,4713319,14561058,11129704,35512942,11132797,9222841,10087069,3925704,2821091,3621519
2026-03-23,12143180,5431003,6154716,3328205,2040929,37480151,8511602,6561419,18776204,5225158,7713329,4383357,6397816,5549881,8160014,13260811,3541414,12614197,5313864,8865497,17442581,4713319,14561058,11129704,35512942,11132797,9222841,10087069,3925704,2821091,3621519
2026-03-24,12165030,5440769,6165793,3334190,2044596,37547601,8526916,6573218,18809986,5234563,7727218,4391242,6409330,5559875,8174701,13284675,3547779,12636902,5323421,8881457,17473969,4721793,14587259,11149730,35576858,11152823,9239447,10105214,3932772,2826164,3628036
2026-03-25,12176530,5445909,6171623,3337340,2046526,37583101,8534976,6579428,18827766,5239513,7734528,4395392,6415390,5565135,8182431,13297235,3551129,12648852,5328451,8889857,17490489,4726253,14601049,11160270,35610498,11163363,9248187,10114764,3936492,2828834,3631466
2026-03-26,12155830,5436657,6161129,3331670,2043052,37519201,8520468,6568250,18795762,5230603,7721370,4387922,6404482,5555667,8168517,13274627,3545099,12627342,5319397,8874737,17460753,4718225,14576227,11141298,35549946,11144391,9232455,10097574,3929796,2824028,3625292
2026-03-27,12142030,5430489,6154133,3327890,2040736,37476601,8510796,6560798,18774426,5224663,7712598,4382942,6397210,5549355,8159241,13259555,3541079,12613002,5313361,8864657,17440929,4712873,14559679,11128650,35509578,11131743,9221967,10086114,3925332,2820824,3621176
2026-03-30,12216780,5463899,6192028,3348365,2053281,37707351,8563186,6601163,18889996,5256838,7760113,4409917,6436600,5583545,8209486,13341195,3562854,12690677,5346056,8919257,17548309,4741863,14649314,11197160,35728173,11200253,9278777,10148189,3949512,2838179,3643471
2026-03-31,12131680,5425863,6148886,3325055,2038999,37444651,8503542,6555209,18758424,5220208,7706019,4379207,6391756,5544621,8152284,13248251,3538064,12602247,5308834,8857097,17426061,4708859,14547268,11119164,35479311,11122257,9214101,10077519,3921984,2818421,3618089
2026-04-01,12166180,5441283,6166376,3334505,2044789,37551151,8527722,6573839,18811764,5235058,7727949,4391657,6409936,5560401,8175474,13285931,3548114,12638097,5323924,8882297,17475621,4722239,14588638,11150784,35580231,11153877,9240321,10106169,3933144,2826431,3628379
2026-04-02,12166180,5441283,6166376,3334505,2044789,37551151,8527722,6573839,18811764,5235058,7727949,4391657,6409936,5560401,8175474,13285931,3548114,12638097,5323924,8882297,17475621,4722239,14588638,11150784,35580231,11153877,9240321,10106169,3933144,2826431,3628379
2026-04-06,12286930,5495253,6227591,3367580,2065054,37923901,8612352,6639044,18998454,5287033,7804704,4435232,6473566,5615631,8256639,13417811,3583289,12763572,5376739,8970497,17649081,4769069,14733433,11261454,35933451,11264547,9332091,10206444,3972204,2854466,3664394
2026-04-07,12323730,5511701,6246247,3377660,2071230,38037501,8638144,6658916,19055350,5302873,7828096,4448512,6492958,5632463,8281375,13458003,3594009,12801812,5392835,8997377,17701945,4783341,14777561,11295182,36041099,11298275,9360059,10237004,3984108,2863010,3675370
2026-04-08,12347880,5522516,6258490,3384275,2075283,38112072,8655070,6671978,19092709,5313268,7843447,4457227,6505684,5643509,8297608,13484379,3601065,12826907,5403398,9015017,17736658,4792728,14806541,11317316,36111743,11320430,9378413,10257080,3991920,2868617,3682573
2026-04-09,12444480,5565776,6307462,3410735,2091495,38410356,8722774,6724226,19242145,5354848,7904851,4492087,6556588,5687693,8362540,13589883,3629289,12927287,5445650,9085577,17875426,4830276,14922461,11405852,36394319,11409050,9451829,10337384,4023168,2891045,3711385
2026-04-10,12449080,5567836,6309794,3411995,2092267,38424560,8725998,6726714,19249261,5356828,7907775,4493747,6559012,5689797,8365632,13594907,3630633,12932067,5447662,9088937,17882034,4832064,14927981,11410068,36407775,11413270,9455325,10341208,4024656,2892113,3712757
2026-04-13,12437580,5562686,6303964,3408845,2090337,38389050,8717938,6720494,19231471,5351878,7900465,4489597,6552952,5684537,8357902,13582347,3627273,12920117,5442632,9080537,17865514,4827594,14914191,11399528,36374135,11402720,9446585,10331648,4020936,2889443,3709327
2026-04-14,12413430,5551871,6291721,3402230,2086284,38314479,8701012,6707432,19194112,5341483,7885114,4480882,6540226,5673491,8341669,13555971,3620217,12895022,5432069,9062897,17830822,4818207,14885232,11377394,36303491,11380565,9428231,10311572,4013124,2883836,3702124
