date,dgx_shares,amgn_shares,bmy_shares,mck_shares,cvs_shares,crl_shares,solv_shares,mdt_shares,iqv_shares,isrg_shares,syk_shares,hca_shares,vrtx_shares,a_shares,mtd_shares,algn_shares,unh_shares,wst_shares,cor_shares,regn_shares,gild_shares,dhr_shares,tmo_shares,vtrs_shares,mrna_shares,tech_shares,jnj_shares,bdx_shares,coo_shares,incy_shares,wat_shares,gehc_shares,rvty_shares,mrk_shares,cnc_shares,uhs_shares,hum_shares,ew_shares,podd_shares,abt_shares,zts_shares,ste_shares,hsic_shares,rmd_shares,dxcm_shares,elv_shares,dva_shares,lly_shares,pfe_shares,abbv_shares,cah_shares,idxx_shares,biib_shares,ci_shares,lh_shares,bax_shares,bsx_shares,zbh_shares
2025-11-26,800319,3852938,14567201,890174,9077153,352202,1054737,9169762,1216691,2565522,2462471,1172247,1834915,2032966,147428,482473,6481721,514617,1387557,729060,8880159,4560902,2702476,8343878,2478272,1121967,17235928,2051314,1427852,1173912,426014,3267468,830718,17876055,3339224,403573,860779,4201742,503803,12456125,3171780,704911,737671,1047874,2806532,1611567,255835,5689828,40690307,12642842,1708951,572582,1049324,1910363,594739,3675826,10604544,1417717
2025-11-28,798471,3844022,14533481,888110,9056141,351386,1052301,9148534,1213871,2559582,2456771,1169535,1830667,2028262,147092,481357,6466721,513429,1384341,727368,8859603,4550342,2696224,8324558,2472536,1119375,17196028,2046562,1424552,1171200,425030,3259908,828798,17834667,3331496,402637,858787,4192010,502639,12427289,3164436,703279,735967,1045450,2800040,1607835,255247,5676652,40596107,12613574,1704991,571262,1046900,1905935,593359,3667318,10579992,1414429
2025-12-01,800319,3852938,14567201,890174,9077153,352202,1054737,9169762,1216691,2565522,2462471,1172247,1834915,2032966,147428,482473,6481733,514617,1387557,729060,8880159,4560902,2702476,8343878,2478272,1121967,17235928,2051314,1427852,1173912,426014,3267468,830718,17876055,3339224,403573,860779,4201742,503803,12456125,3171780,704911,737671,1047874,2806532,1611567,255835,5689828,40690307,12642842,1708951,572582,1049324,1910363,594739,3675826,10604544,1417717
2025-12-02,801397,3858139,14586871,891378,9089410,352678,1056158,9182145,1218336,2568987,2465796,1173829,1837393,2035710,147624,483124,6490490,515310,1389433,730047,8892150,4567062,2706123,8355148,2481618,1123479,17259203,2054086,1429777,1175494,426588,3271878,831838,17900198,3343732,404119,861941,4207419,504482,12472946,3176064,705863,738665,1049288,2810319,1613744,256178,5697514,40745257,12659915,1711261,573352,1050738,1912946,595544,3680789,10618866,1419635
2025-12-03,806325,3881915,14676791,896882,9145442,354854,1062654,9238753,1225856,2584827,2480996,1181061,1848721,2048254,148520,486100,6530522,518478,1398009,734559,8946966,4595222,2722795,8406668,2496914,1130391,17365603,2066758,1438577,1182726,429212,3292038,836958,18010566,3364340,406615,867253,4233371,507586,12549842,3195648,710215,743209,1055752,2827631,1623696,257746,5732650,40996457,12737963,1721821,576872,1057202,1924754,599224,3703477,10684338,1428403
2025-12-04,806633,3883401,14682411,897226,9148944,354990,1063060,9242291,1226326,2585817,2481946,1181513,1849429,2049038,148576,486286,6533024,518676,1398545,734841,8950392,4596982,2723837,8409888,2497870,1130823,17372253,2067550,1439127,1183178,429376,3293298,837278,18017464,3365628,406771,867585,4234993,507780,12554648,3196872,710487,743493,1056156,2828713,1624318,257844,5734846,41012157,12742841,1722481,577092,1057606,1925492,599454,3704895,10688430,1428951
2025-12-05,806479,3882658,14679601,897054,9147193,354922,1062857,9240522,1226091,2585322,2481471,1181287,1849075,2048646,148548,486193,6531773,518577,1398277,734700,8948679,4596102,2723316,8408278,2497392,1130607,17368928,2067154,1438852,1182952,429294,3292668,837118,18014015,3364984,406693,867419,4234182,507683,12552245,3196260,710351,743351,1055954,2828172,1624007,257795,5733748,41004307,12740402,1722151,576982,1057404,1925123,599339,3704186,10686384,1428677
2025-12-08,806171,3881172,14673979,896710,9143691,354786,1062449,9236984,1225621,2584332,2480521,1180835,1848367,2047862,148492,486007,6529271,518379,1397741,734418,8945253,4594342,2722274,8405058,2496436,1130175,17362276,2066362,1438302,1182498,429130,3291408,836798,18007117,3363696,406537,867087,4232560,507489,12547439,3195036,710079,743067,1055550,2827088,1623385,257697,5731552,40988605,12735524,1721491,576762,1057000,1924385,599109,3702768,10682292,1428129
2025-12-09,803091,3866312,14617759,893270,9108671,353426,1058369,9201604,1220921,2574432,2471021,1176315,1841287,2040022,147932,484147,6504251,516399,1392381,731598,8910993,4576742,2711854,8372858,2486876,1125855,17295756,2058442,1432782,1177958,427490,3278808,833598,17938137,3350816,404977,863767,4216340,505549,12499379,3182796,707359,740227,1051510,2816248,1617165,256717,5709592,40831585,12686724,1714891,574562,1052960,1917005,596809,3688588,10641372,1422649
2025-12-10,806941,3884912,14688059,897570,9152471,355126,1063469,9245854,1226796,2586807,2482896,1181965,1850137,2049822,148632,486472,6535526,518874,1399081,735123,8953843,4598742,2724904,8413133,2498826,1131280,17378931,2068342,1439682,1183633,429540,3294583,837598,18024412,3366941,406927,867917,4236615,507974,12559479,3198096,710759,743777,1056560,2829798,1624940,257942,5737042,41027960,12747749,1723141,577337,1058035,1926230,599684,3706338,10692547,1429499
2025-12-11,809097,3895328,14727427,899978,9176999,356078,1066325,9270634,1230086,2593737,2489546,1185129,1855093,2055310,149024,487774,6553040,520260,1402833,737097,8977839,4611062,2732212,8435687,2505518,1134318,17425509,2073886,1443546,1186811,430688,3303417,839838,18072726,3375971,408019,870241,4247969,509332,12593135,3206664,712663,745765,1059388,2837386,1629294,258628,5752414,41137930,12781923,1727761,578891,1060877,1931396,601294,3716278,10721205,1433335
2025-12-12,807865,3889376,14704931,898602,9162983,355534,1064693,9256474,1228206,2589777,2485746,1183321,1852261,2052174,148800,487030,6543032,519468,1400689,735969,8964127,4604022,2728036,8422799,2501694,1132582,17398893,2070718,1441338,1184995,430032,3298369,838558,18045118,3370811,407395,868913,4241481,508556,12573903,3201768,711575,744629,1057772,2833050,1626806,258236,5743630,41075090,12762395,1725121,578003,1059253,1928444,600374,3710598,10704829,1431143
2025-12-15,807095,3885656,14690871,897742,9154223,355194,1063673,9247624,1227031,2587302,2483371,1182191,1850491,2050214,148660,486565,6536777,518973,1399349,735264,8955557,4599622,2725426,8414744,2499304,1131497,17382258,2068738,1439958,1183860,429622,3295214,837758,18027863,3367586,407005,868083,4237426,508071,12561883,3198708,710895,743919,1056762,2830340,1625251,257991,5738140,41035815,12750190,1723471,577448,1058238,1926599,599799,3707048,10694594,1429773
2025-12-16,803707,3869288,14629007,893958,9115679,353698,1059185,9208684,1221861,2576412,2472921,1177219,1842703,2041590,148044,484519,6509255,516795,1393453,732162,8917849,4580262,2713942,8379302,2488788,1126723,17309064,2060026,1433886,1178866,427818,3281332,834238,17951941,3353396,405289,864431,4219584,505937,12508995,3185244,707903,740795,1052318,2818416,1618409,256913,5713984,40863005,12696510,1716211,575006,1053772,1918481,597269,3691428,10649560,1423745
2025-12-17,802002,3861104,14598053,892066,9096396,352950,1056941,9189203,1219276,2570956,2467685,1174733,1838809,2037267,147736,483496,6495483,515706,1390505,730611,8898984,4570571,2708200,8361570,2483519,1124336,17272445,2055670,1430850,1176369,426916,3274391,832478,17913958,3346301,404431,862605,4210652,504870,12482529,3178501,706407,739233,1050096,2812454,1614988,256374,5701895,40776556,12669648,1712581,573785,1051539,1914422,596004,3683618,10627032,1420731
2025-12-18,798902,3846224,14541773,888626,9061336,351590,1052861,9153783,1214576,2561036,2458165,1170213,1831729,2029407,147176,481636,6470443,513726,1385145,727791,8864684,4552951,2697760,8329330,2473939,1119996,17205865,2047750,1425330,1171829,425276,3261771,829278,17844898,3333401,402871,859285,4194412,502930,12434409,3166241,703687,736393,1046056,2801614,1608768,255394,5679915,40619376,12620808,1705981,571565,1047479,1907042,593704,3669418,10586072,1415251
2025-12-19,800917,3855896,14578355,890862,9084125,352474,1055513,9176806,1217631,2567484,2464353,1173151,1836331,2034516,147540,482845,6486719,515013,1388629,729624,8886979,4564404,2704546,8350286,2480166,1122817,17249142,2052898,1428918,1174780,426342,3269974,831358,17889787,3341786,403885,861443,4204968,504191,12465687,3174210,705455,738239,1048682,2808660,1612811,256031,5694202,40721543,12652554,1710271,573008,1050118,1911839,595199,3678648,10612696,1418813
2025-12-22,790173,3824724,14459563,876666,9016565,349526,1047169,9110198,1209635,2517928,2444661,1134595,1802099,2013668,145112,473897,6433983,510973,1377065,715824,8812359,4465212,2668590,8180794,2469714,1106741,17112802,2035906,1412082,1171336,422834,3235422,805306,17629311,3316594,392313,854271,4121788,499663,12350891,3130114,697159,710735,1036770,2770184,1578523,250767,5640486,40384455,12553454,1687627,567172,1042010,1897359,588819,3651180,10529516,1407613
2025-12-23,787377,3811332,14408923,873626,8984917,348294,1043473,9078194,1205395,2509112,2436101,1130571,1795819,2006584,144590,472289,6411439,509197,1372233,713328,8781447,4449580,2659214,8152134,2460994,1102881,17052778,2028702,1407206,1167264,421386,3224126,802438,17567587,3305014,390989,851287,4107364,497895,12307567,3119222,694719,708223,1033122,2760472,1572995,249891,5620742,40242979,12509394,1681655,565172,1038338,1890703,586763,3638440,10492588,1402737
2025-12-24,786761,3808360,14397683,872946,8977909,348022,1042657,9071110,1204455,2507156,2434201,1129687,1794419,2005020,144478,471921,6406435,508801,1371161,712772,8774595,4446108,2657138,8145774,2459074,1102021,17039474,2027118,1406110,1166352,421058,3221610,801810,17553883,3302434,390685,850623,4104160,497507,12297967,3116790,694179,707671,1032314,2758320,1571767,249695,5616358,40211583,12499634,1680343,564732,1037526,1889227,586307,3635600,10484404,1401641
2025-12-26,786145,3805388,14386443,872266,8970901,347750,1041841,9064026,1203515,2505200,2432301,1128803,1793019,2003456,144366,471553,6401431,508405,1370089,712216,8767743,4442636,2655062,8139414,2457154,1101161,17026170,2025534,1405014,1165440,420730,3219094,801182,17540179,3299854,390381,849959,4100956,497119,12288367,3114358,693639,707119,1031506,2756168,1570539,249499,5611974,40180187,12489874,1679031,564292,1036714,1887751,585851,3632760,10476220,1400545
2025-12-29,787377,3811332,14408923,873626,8984917,348294,1043473,9078194,1205395,2509112,2436101,1130571,1795819,2006584,144590,472289,6411431,509197,1372233,713328,8781447,4449580,2659214,8152134,2460994,1102881,17052778,2028702,1407206,1167264,421386,3224126,802438,17567587,3305014,390989,851287,4107364,497895,12307567,3119222,694719,708223,1033122,2760472,1572995,249891,5620742,40242979,12509394,1681655,565172,1038338,1890703,586763,3638440,10492588,1402737
2025-12-30,786299,3806124,14389246,872436,8972646,347818,1042045,9065797,1203750,2505689,2432776,1129024,1793369,2003847,144394,471645,6402674,508504,1370357,712355,8769456,4443504,2655581,8141004,2457634,1101376,17029489,2025930,1405281,1165668,420812,3219723,801339,17543598,3300499,390457,850125,4101757,497216,12290760,3114966,693767,707257,1031708,2756699,1570846,249548,5613063,40188022,12492314,1679359,564402,1036917,1888120,585965,3633470,10478259,1400819
2025-12-31,786299,3806124,14389246,872436,8972646,347818,1042045,9065797,1203750,2505689,2432776,1129024,1793369,2003847,144394,471645,6402674,508504,1370357,712355,8769456,4443504,2655581,8141004,2457634,1101376,17029489,2025930,1405281,1165668,420812,3219723,801339,17543598,3300499,390457,850125,4101757,497216,12290760,3114966,693767,707257,1031708,2756699,1570846,249548,5613063,40188022,12492314,1679359,564402,1036917,1888120,585965,3633470,10478259,1400819
2026-01-02,785991,3804636,14383624,872096,8969140,347682,1041637,9062255,1203280,2504711,2431826,1128582,1792669,2003065,144338,471461,6400172,508306,1369821,712077,8766030,4441768,2654543,8137824,2456674,1100946,17022835,2025138,1404731,1165212,420648,3218465,801025,17536744,3299209,390305,849793,4100155,497022,12285958,3113748,693495,706981,1031304,2755621,1570232,249450,5610869,40172320,12487434,1678703,564182,1036511,1887382,585737,3632050,10474165,1400271
2026-01-06,790611,3826956,14467961,877196,9021730,349722,1047757,9115392,1210330,2519411,2446076,1135212,1803169,2014802,145178,474221,6437702,511276,1377861,716247,8817427,4467808,2670113,8185531,2471074,1107396,17122652,2037018,1412981,1172052,423108,3237335,805735,17639561,3318559,392585,854773,4124192,499932,12357995,3132018,697575,711121,1037364,2771791,1579442,250920,5643779,40407864,12560641,1688543,567482,1042601,1898452,589164,3653350,10535582,1408491
2026-01-07,802623,3884988,14687297,890456,9158464,355026,1063669,9253608,1228660,2557631,2483126,1152450,1830469,2045378,147362,481397,6535280,518998,1398765,727089,8951119,4535512,2710595,8309629,2508514,1124166,17382236,2067906,1434431,1189836,429504,3286397,817981,17906945,3368869,398513,867721,4186748,507498,12545351,3179520,708183,721885,1053120,2813833,1603388,254742,5729345,41020398,12751039,1714127,576062,1058435,1927234,598134,3708730,10695326,1429863
2026-01-08,807243,3907308,14771657,895556,9211054,357066,1069789,9306768,1235710,2572331,2497376,1159080,1840969,2057138,148202,484157,6572810,521968,1406805,731259,9002539,4561552,2726165,8357359,2522914,1130616,17482076,2079786,1442681,1196676,431964,3305267,822691,18009785,3388219,400793,872701,4210808,510408,12617411,3197790,712263,726025,1059180,2830003,1612598,256212,5762255,41255988,12824269,1723967,579362,1064525,1938304,601584,3730030,10756766,1438083
2026-01-09,807705,3909540,14780093,896066,9216313,357270,1070401,9312084,1236415,2573801,2498801,1159743,1842019,2058314,148286,484433,6576563,522265,1407609,731676,9007681,4564156,2727722,8362132,2524354,1131261,17492060,2080974,1443506,1197360,432210,3307154,823162,18020069,3390154,401021,873199,4213214,510699,12624617,3199617,712671,726439,1059786,2831620,1613519,256359,5765546,41279547,12831592,1724951,579692,1065134,1939411,601929,3732160,10762910,1438905
2026-01-12,809399,3917724,14811025,897936,9235596,358018,1072645,9331576,1239000,2579191,2504026,1162174,1845869,2062626,148594,485445,6590324,523354,1410557,733205,9026535,4573704,2733431,8379633,2529634,1133626,17528668,2085330,1446531,1199868,433112,3314073,824889,18057777,3397249,401857,875025,4222036,511766,12651039,3206316,714167,727957,1062008,2837549,1616896,256898,5777613,41365930,12858443,1728559,580902,1067367,1943470,603194,3739970,10785438,1441919
2026-01-13,810631,3923676,14833521,899296,9249620,358562,1074277,9345752,1240880,2583111,2507826,1163942,1848669,2065762,148818,486181,6600332,524146,1412701,734317,9040247,4580648,2737583,8392361,2533474,1135346,17555292,2088498,1448731,1201692,433768,3319105,826145,18085201,3402409,402465,876353,4228452,512542,12670255,3211188,715255,729061,1063624,2841861,1619352,257290,5786389,41428754,12877971,1731183,581782,1068991,1946422,604114,3745650,10801822,1444111
2026-01-14,809091,3916236,14805401,897596,9232090,357882,1072237,9328032,1238530,2578211,2503076,1161732,1845169,2061842,148538,485261,6587822,523156,1410021,732927,9023107,4571968,2732393,8376451,2528674,1133196,17522012,2084538,1445981,1199412,432948,3312815,824575,18050921,3395959,401705,874693,4220432,511572,12646235,3205098,713895,727681,1061604,2836471,1616282,256800,5775419,41350224,12853561,1727903,580682,1066961,1942732,602964,3738550,10781342,1441371
2026-01-15,809861,3919956,14819461,898446,9240855,358222,1073257,9336892,1239705,2580661,2505451,1162837,1846919,2063802,148678,485721,6594077,523651,1411361,733622,9031677,4576308,2734988,8384406,2531074,1134271,17538652,2086518,1447356,1200552,433358,3315960,825360,18068061,3399184,402085,875523,4224442,512057,12658245,3208143,714575,728371,1062614,2839166,1617817,257045,5780904,41389489,12865766,1729543,581232,1067976,1944577,603539,3742100,10791582,1442741
2026-01-16,814481,3942276,14903821,903546,9293445,360262,1079377,9390052,1246755,2595361,2519701,1169467,1857419,2075562,149518,488481,6631607,526621,1419401,737792,9083097,4602348,2750558,8432136,2545474,1140721,17638492,2098398,1455606,1207392,435818,3334830,830070,18170901,3418534,404365,880503,4248502,514967,12730305,3226413,718655,732511,1068674,2855336,1627027,258515,5813814,41625079,12938996,1739383,584532,1074066,1955647,606989,3763400,10853022,1450961
2026-01-20,813095,3935580,14878513,902007,9277659,359650,1077541,9374104,1244640,2590951,2515426,1167478,1854260,2072034,149266,487653,6620348,525730,1416989,736541,9067671,4594536,2745887,8417817,2541154,1138786,17608540,2094834,1453131,1205340,435080,3329169,828657,18140040,3412729,403681,879009,4241284,514094,12708687,3220932,717431,731269,1066856,2850485,1624264,258074,5803941,41554384,12917018,1736431,583542,1072239,1952326,605954,3757010,10834590,1448495
2026-01-21,817329,3956324,14957007,906838,9326714,361578,1083225,9423637,1251175,2604561,2528782,1173599,1864111,2082966,150084,490285,6655360,528569,1424457,740460,9115486,4618785,2760386,8462249,2554655,1144801,17701570,2105850,1460706,1211628,437402,3346799,832954,18235891,3430674,405777,883655,4263526,516851,12775871,3237821,721087,735167,1072458,2865504,1632831,259403,5834559,41773923,12985321,1745619,586692,1077802,1962635,609089,3776841,10891819,1456049
2026-01-22,817637,3957812,14962635,907180,9330224,361714,1083633,9427183,1251645,2605541,2529734,1174041,1864813,2083750,150140,490469,6657864,528767,1424993,740738,9118916,4620523,2761424,8465433,2555617,1145231,17708230,2106642,1461256,1212084,437566,3348059,833268,18242753,3431964,405929,883987,4265130,517045,12780679,3239039,721359,735443,1072862,2866582,1633445,259501,5836755,41789641,12990207,1746275,586912,1078208,1963373,609319,3778263,10895917,1456597
2026-01-23,815635,3948140,14926053,904957,9307409,360830,1080981,9404134,1248590,2599171,2523546,1171168,1860250,2078654,149776,489273,6641588,527480,1421509,738931,9096621,4609226,2754677,8444737,2549364,1142436,17664940,2101494,1457681,1209120,436500,3339869,831227,18198150,3423579,404941,881829,4254704,515784,12749427,3231122,719591,733649,1070236,2859575,1629454,258864,5822481,41687474,12958448,1742011,585482,1075569,1958576,607824,3769020,10869280,1453035
2026-01-26,813479,3937724,14886657,902563,9282839,359878,1078125,9379312,1245300,2592311,2516882,1168074,1855336,2073166,149384,487985,6624060,526094,1417757,736985,9072611,4597060,2747411,8422449,2542630,1139426,17618306,2095950,1453831,1205928,435352,3331049,829029,18150116,3414535,403877,879505,4243476,514426,12715771,3222596,717687,731717,1067408,2852029,1625156,258178,5807109,41577434,12924246,1737419,583942,1072727,1953410,606214,3759066,10840594,1449199
2026-01-27,813671,3938434,14889425,902741,9284627,359942,1078317,9381064,1245528,2592771,2517330,1168312,1855714,2073482,149408,488001,6625274,526174,1418021,737107,9074279,4597922,2747931,8424063,2543068,1139594,17621542,2096358,1454081,1206172,435428,3331689,829215,18153450,3415243,404025,879693,4244270,514512,12718061,3223176,717815,731841,1067604,2852551,1625462,258180,5808193,41585206,12926658,1737761,584042,1073021,1953752,606344,3759844,10842594,1449451
2026-01-28,813517,3937689,14886609,902570,9282871,359874,1078113,9379290,1245292,2592281,2516854,1168091,1855363,2073090,149380,487909,6624021,526074,1417753,736968,9072563,4597053,2747411,8422470,2542587,1139378,17618210,2095962,1453806,1205944,435346,3331059,829058,18150017,3414597,403949,879527,4243467,514415,12715656,3222566,717679,731703,1067402,2852012,1625155,258131,5807095,41577342,12924214,1737432,583932,1072818,1953383,606229,3759133,10840544,1449177
2026-01-29,812439,3932474,14866897,901373,9270579,359398,1076685,9366872,1243640,2588851,2513522,1166544,1852906,2070346,149184,487265,6615250,525374,1415877,735995,9060551,4590970,2743771,8411319,2539220,1137873,17594886,2093190,1451881,1204348,434772,3326649,827959,18125986,3410075,403417,878365,4237846,513736,12698821,3218296,716727,730737,1065988,2848239,1623006,257788,5799409,41522294,12907106,1735129,583162,1071397,1950800,605424,3754156,10826194,1447259
2026-01-30,813209,3936199,14880977,902228,9279359,359738,1077705,9375742,1244820,2591301,2515902,1167649,1854661,2072306,149324,487725,6621515,525874,1417217,736690,9069131,4595315,2746371,8419284,2541625,1138953,17611546,2095170,1453256,1205488,435182,3329799,828744,18143151,3413305,403797,879195,4241861,514221,12710846,3221346,717407,731427,1066998,2850934,1624541,258033,5804899,41561614,12919326,1736774,583712,1072412,1952645,605999,3757711,10836444,1448629
2026-02-02,812901,3934709,14875345,901886,9275847,359602,1077297,9372194,1244348,2590321,2514950,1167207,1853959,2071522,149268,487541,6619009,525674,1416681,736412,9065699,4593577,2745331,8416098,2540663,1138523,17604882,2094378,1452706,1205032,435018,3328539,828430,18136285,3412013,403645,878863,4240255,514027,12706036,3220126,717135,731151,1066594,2849856,1623927,257935,5802703,41545886,12914438,1736116,583492,1072006,1951907,605769,3756289,10832344,1448081
2026-02-03,814903,3944394,14911953,904109,9298675,360486,1079949,9395256,1247416,2596691,2521138,1170080,1858522,2076618,149632,488737,6635298,526974,1420165,738219,9088007,4604874,2752091,8436807,2546916,1141318,17648198,2099526,1456281,1207996,436084,3336729,830471,18180914,3420411,404633,881021,4250694,515288,12737301,3228056,718903,732945,1069220,2856863,1627918,258572,5816977,41648118,12946210,1740393,584922,1074645,1956704,607264,3765532,10858994,1451643
2026-02-04,818599,3962274,14979537,908213,9340819,362118,1084845,9437832,1253080,2608451,2532562,1175384,1866946,2086026,150304,490945,6665370,529374,1426597,741555,9129191,4625730,2764571,8475039,2558460,1146478,17728166,2109030,1462881,1213468,438052,3351849,834239,18263306,3435915,406457,885005,4269966,517616,12795021,3242696,722167,736257,1074068,2869799,1635286,259748,5843329,41836854,13004866,1748289,587562,1079517,1965560,610024,3782596,10908194,1458219
2026-02-05,819985,3968979,15004881,909752,9356623,362730,1086681,9453798,1255204,2612861,2536846,1177373,1870105,2089554,150556,491773,6676647,530274,1429009,742806,9144635,4633551,2769251,8489376,2562789,1148413,17758154,2112594,1465356,1215520,438790,3357519,835652,18294203,3441729,407141,886499,4277193,518489,12816666,3248177,723391,737499,1075886,2874650,1638049,260189,5853211,41907630,13026862,1751250,588552,1081344,1968881,611059,3788995,10926644,1460685
2026-02-06,822757,3982389,15055569,912830,9388231,363954,1090353,9485730,1259452,2621681,2545414,1181351,1876423,2096610,151060,493429,6699201,532074,1433833,745308,9175523,4649193,2778611,8518050,2571447,1152283,17818130,2119722,1470306,1219624,440266,3368859,838478,18355997,3453357,408509,889487,4291647,520235,12859956,3259139,725839,739983,1079522,2884352,1643575,261071,5872975,42049182,13070854,1757172,590532,1084998,1975523,613129,3801793,10963544,1465617
2026-02-09,821525,3976429,15033041,911462,9374183,363410,1088721,9471538,1257564,2617761,2541606,1179583,1873615,2093474,150836,492693,6689177,531274,1431689,744196,9161795,4642241,2774451,8505306,2567599,1150563,17791474,2116554,1468106,1217800,439610,3363819,837222,18328533,3448189,407901,888159,4285223,519459,12840716,3254267,724751,738879,1077906,2880040,1641119,260679,5864191,41986270,13051302,1754540,589652,1083374,1972571,612209,3796105,10947144,1463425
2026-02-10,819985,3968979,15004881,909752,9356623,362730,1086681,9453798,1255204,2612861,2536846,1177373,1870105,2089554,150556,491773,6676647,530274,1429009,742806,9144635,4633551,2769251,8489376,2562789,1148413,17758154,2112594,1465356,1215520,724715,3357519,835652,18294203,3441729,407141,886499,4277193,518489,12816666,3248177,723391,737499,1075886,2874650,1638049,260189,5853211,41907630,13026862,1751250,588552,1081344,1968881,611059,3788995,10926644,1460685
2026-02-11,819215,3965249,14990771,908897,9347823,362390,1085661,9444908,1254024,2610406,2534461,1176268,1868345,2087589,150416,491313,6670367,529774,1427664,742106,9136035,4629196,2766646,8481391,2560379,1147333,17741454,2110609,1463976,1214375,724300,3354364,834867,18277003,3438494,406756,885664,4273173,517999,12804616,3245122,722711,736804,1074876,2871945,1636509,259944,5847706,41868225,13014612,1749605,587997,1080329,1967031,610484,3785430,10916369,1459310
2026-02-12,813671,3938429,14889395,902741,9284607,359942,1078317,9381044,1245528,2592766,2517325,1168312,1855709,2073477,149408,488001,6625259,526210,1418016,737102,9074259,4597912,2747926,8424043,2543063,1139593,17621502,2096353,1454076,1206167,721348,3331684,829215,18153415,3415238,404020,879688,4244265,514507,12718036,3223198,717815,731836,1067604,2852541,1625457,258180,5808178,41585157,12926628,1737761,584037,1073021,1953747,606344,3759834,10842569,1449446
2026-02-13,811669,3928744,14852787,900518,9261779,359058,1075665,9357982,1242460,2586396,2511137,1165439,1851146,2068381,149044,486805,6608970,524923,1414532,735295,9051951,4586615,2741166,8403334,2536810,1136798,17578186,2091205,1450501,1203203,719580,3323494,827174,18108786,3406840,403032,877530,4233826,513246,12686771,3215281,716047,730042,1064978,2845534,1621466,257543,5793904,41482938,12894856,1733484,582607,1070382,1948950,604849,3750591,10815919,1445884
2026-02-17,815827,3948859,14928819,905135,9309191,360894,1081173,9405880,1248832,2599626,2523989,1171406,1860623,2078965,149800,489289,6642801,527623,1421768,739048,9098283,4610078,2755206,8446345,2549797,1142603,17668150,2101897,1457926,1209359,723252,3340504,831413,18201477,3424282,405084,882012,4255507,515865,12751706,3231724,719719,733768,1070432,2860087,1629755,258866,5823550,41695266,12960844,1742367,585577,1075863,1958913,607954,3769788,10871269,1453282
2026-02-18,816751,3953329,14945721,906161,9319733,361302,1082397,9416530,1250248,2602572,2526845,1172732,1862729,2081317,149968,489841,6650319,528223,1423376,739882,9108585,4615298,2758326,8455909,2552683,1143899,17688154,2104279,1459576,1210727,724068,3344284,832355,18222081,3428158,405540,883008,4260325,516447,12766142,3235384,720535,734596,1071644,2863327,1631603,259160,5830144,41742468,12975520,1744341,586237,1077081,1961133,608644,3774054,10883575,1454926
2026-02-19,815211,3945879,14917551,904451,9302163,360622,1080357,9398780,1247888,2597662,2522085,1170522,1859219,2077397,149688,488921,6637789,527223,1420696,738492,9091415,4606598,2753126,8439969,2547873,1141739,17654814,2100309,1456826,1208447,722708,3337984,830785,18187741,3421698,404780,881348,4252295,515477,12742082,3229284,719175,733216,1069624,2857927,1628523,258670,5819154,41663788,12951060,1741051,585137,1075051,1957433,607494,3766944,10863065,1452186
2026-02-20,814133,3940664,14897832,903254,9289864,360146,1078929,9386355,1246236,2594225,2518753,1168975,1856762,2074653,149492,488277,6629018,526523,1418820,737519,9079396,4600508,2749486,8428811,2544506,1140227,17631476,2097530,1454901,1206851,721756,3333574,829686,18163703,3417176,404248,880186,4246674,514798,12725240,3225014,718223,732250,1068210,2854147,1626367,258327,5811461,41608712,12933938,1738748,584367,1073630,1954843,606689,3761967,10848708,1450268
2026-02-23,812901,3934704,14875296,901886,9275808,359602,1077297,9372155,1244348,2590297,2514945,1167207,1853954,2071517,149268,487541,6618994,525723,1416676,736407,9065660,4593548,2745326,8416059,2540658,1138499,17604804,2094354,1452701,1205027,720668,3328534,828430,18136231,3412008,403640,878858,4240250,514022,12705992,3220134,717135,731146,1066594,2849827,1623903,257935,5802669,41545768,12914370,1736116,583487,1072006,1951883,605769,3756279,10832300,1448076
2026-02-24,815365,3946624,14920368,904622,9303920,360690,1080561,9400555,1248124,2598153,2522561,1170743,1859570,2077789,149716,489013,6639042,527323,1420964,738631,9093132,4607468,2753646,8441563,2548354,1141955,17658148,2100706,1457101,1208675,722844,3338614,830942,18191191,3422344,404856,881514,4253098,515574,12744488,3229894,719311,733354,1069826,2858467,1628831,258719,5820253,41671656,12953506,1741380,585247,1075254,1957803,607609,3767655,10865116,1452460
2026-02-25,817705,3958234,14964338,907292,9331290,361370,1082601,9428205,1251884,2605823,2530001,1174193,1865040,2083909,150156,490533,6658612,528843,1425164,740821,9119902,4621068,2761726,8466403,2555864,1144115,17710188,2106976,1461351,1212255,724204,3348414,833412,18244731,3432404,406016,884094,4265628,517104,12782048,3239394,721471,734734,1072966,2866967,1633631,259209,5837403,41794336,12991666,1746470,586947,1078384,1963583,609399,3774765,10897126,1456800
2026-02-26,820785,3973154,15020718,910712,9366450,362730,1086681,9463725,1256604,2615643,2539541,1178613,1872060,2091769,150716,492373,6683692,530843,1430524,743621,9154262,4638468,2772126,8498303,2565484,1148435,17776908,2114916,1466851,1216815,726924,3361034,836552,18313451,3445324,407536,887434,4281688,519044,12830188,3251594,724191,737514,1077006,2877767,1639791,260189,5859383,41951776,13040606,1753050,589167,1082444,1970983,611699,3789005,10938166,1462280
