date,pool_shares,tjx_shares,azo_shares,gm_shares,nvr_shares,tpr_shares,len_shares,rost_shares,phm_shares,mgm_shares,gpc_shares,wynn_shares,f_shares,cvna_shares,bkng_shares,rl_shares,grmn_shares,nclh_shares,sbux_shares,dash_shares,expe_shares,cmg_shares,ccl_shares,aptv_shares,dhi_shares,yum_shares,mar_shares,nke_shares,dpz_shares,hd_shares,has_shares,deck_shares,mcd_shares,bby_shares,lulu_shares,lvs_shares,rcl_shares,tsla_shares,dri_shares,tsco_shares,abnb_shares,orly_shares,ulta_shares,low_shares,ebay_shares,wsm_shares,amzn_shares,hlt_shares
2025-12-29,182871,6208834,92804,5204215,15845,1141721,1203654,1814367,1087381,1144354,776085,470997,21833269,788973,179814,216218,912034,2539761,6342517,2085529,652739,7376687,6057518,1205438,1527780,1548982,1242547,6634866,173430,3971568,743776,813089,3526736,1090064,602016,1697336,1414921,11211584,648859,2947813,2372610,4709040,250110,3128717,2521621,679439,24149809,1296721
2025-12-30,182736,6204256,92735,5200378,15833,1140878,1202766,1813029,1086580,1143511,775512,470649,21817171,788391,179682,216059,911362,2537889,6337840,2083990,652259,7371248,6053051,1204550,1526655,1547839,1241632,6629973,173301,3968640,743227,812489,3524135,1089260,601572,1696085,1413877,11203319,648382,2945641,2370861,4705569,249927,3126410,2519761,678938,24132004,1295764
2025-12-31,183141,6217990,92942,5211889,15869,1143407,1205430,1817043,1088983,1146040,777231,471693,21865465,790137,180078,216536,913378,2543505,6351871,2088607,653699,7387565,6066452,1207214,1530030,1551268,1244377,6644652,173688,3977424,744874,814289,3531938,1091672,602904,1699838,1417009,11228114,649813,2952157,2376108,4715982,250476,3133331,2525341,680441,24185419,1298635
2026-01-02,183366,6225620,93057,5218284,15889,1144812,1206910,1819273,1090318,1147445,778186,472273,21892295,791107,180298,216801,914498,2546625,6359666,2091172,654499,7396630,6073897,1208694,1531905,1553173,1245902,6652807,173903,3982304,745789,815289,3536273,1093012,603644,1701923,1418749,11241889,650608,2955777,2379023,4721767,250781,3137176,2528441,681276,24215094,1300230
2026-01-06,181971,6178314,92344,5178635,15765,1136101,1197734,1805447,1082041,1138734,772265,468677,21725949,785093,178934,215158,907554,2527281,6311337,2075269,649539,7340427,6027738,1199518,1520280,1541362,1236447,6602246,172570,3952048,740116,809089,3509396,1084704,599056,1688996,1407961,11156484,645679,2933333,2360950,4685900,248890,3113337,2509221,676099,24031109,1290341
2026-01-07,179676,6100488,91171,5113406,15561,1121770,1182638,1782701,1068424,1124403,762524,462761,21452283,775199,176690,212455,896130,2495457,6231828,2049106,641379,7247964,5951799,1184422,1501155,1521931,1220892,6519065,170377,3902272,730783,798889,3465179,1071036,591508,1667729,1390213,11015979,637570,2896409,2331217,4626893,245779,3074118,2477601,667582,23728424,1274072
2026-01-08,179451,6092858,91056,5107011,15541,1120365,1181158,1780471,1067089,1122998,761569,462181,21425453,774229,176470,212190,895010,2492337,6224033,2046541,640579,7238899,5944354,1182942,1499280,1520026,1219367,6510910,170162,3897392,729868,797889,3460844,1069696,590768,1665644,1388473,11002204,636775,2892789,2328302,4621108,245474,3070273,2474501,666747,23698749,1272477
2026-01-09,179181,6084033,90928,5099694,15517,1118679,1179382,1777795,1065487,1121312,760423,461485,21393257,773124,176213,211872,893666,2488593,6215077,2043606,639619,7228021,5935420,1181166,1497030,1517740,1217620,6501653,169904,3891731,728770,796689,3455828,1068088,589880,1663142,1386486,10986150,635821,2888445,2324804,4614486,245108,3065836,2470781,665745,23664164,1270661
2026-01-12,178461,6059617,90560,5079230,15453,1114183,1174646,1770659,1061215,1116816,757367,459629,21307401,770020,175509,211024,890082,2478609,6190133,2035398,637059,7199013,5911596,1176430,1491030,1511644,1212740,6475557,169216,3876115,725842,793489,3441956,1063800,587512,1656470,1380918,10942070,633277,2876861,2315476,4595974,244132,3053532,2460861,663073,23569204,1265557
2026-01-13,178101,6047409,90376,5068998,15421,1111935,1172278,1767091,1059079,1114568,755839,458701,21264473,768468,175157,210600,888290,2473617,6177661,2031294,635779,7184509,5899684,1174062,1488030,1508596,1210300,6462509,168872,3868307,724378,791889,3435020,1061656,586328,1653134,1378134,10920030,632005,2871069,2310812,4586718,243644,3047380,2455901,661737,23521724,1263005
2026-01-14,177561,6029097,90100,5053650,15373,1108563,1168726,1761739,1055875,1111196,753547,457309,21200081,766140,174629,209964,885602,2466129,6158953,2025138,633859,7162753,5881816,1170510,1483530,1504024,1206640,6442937,168356,3856595,722182,789489,3424616,1058440,584552,1648130,1373958,10886970,630097,2862381,2303816,4572834,242912,3038152,2448461,659733,23450504,1259177
2026-01-15,178101,6047409,90376,5068998,15421,1111935,1172278,1767091,1059079,1114568,755839,458701,21264473,768468,175157,210600,888290,2473617,6177661,2031294,635779,7184509,5899684,1174062,1488030,1508596,1210300,6462509,168872,3868307,724378,791889,3435020,1061656,586328,1653134,1378134,10920030,632005,2871069,2310812,4586718,243644,3047380,2455901,661737,23521724,1263005
2026-01-16,176886,6006207,89755,5034465,15313,1104348,1164286,1755049,1051870,1106981,750682,455569,21119591,763230,173969,209169,882242,2456769,6135568,2017443,631459,7135558,5859481,1166070,1477905,1498309,1202065,6418472,167711,3841955,719437,786489,3411611,1054420,582332,1641875,1368738,10845645,627712,2851521,2295071,4555479,241997,3026617,2439161,657228,23361479,1254392
2026-01-20,176976,6009259,89801,5037023,15321,1104910,1164878,1755941,1052404,1107543,751064,455801,21130323,763618,174057,209275,882690,2458017,6138686,2018469,631779,7139184,5862459,1166662,1478655,1499071,1202675,6421734,167797,3843907,719803,786889,3413345,1054956,582628,1642709,1369434,10851155,628030,2852969,2296237,4557793,242119,3028155,2440401,657562,23373349,1255030
2026-01-21,177066,6012311,89847,5039581,15329,1105472,1165470,1756833,1052938,1108105,751446,456033,21141055,764006,174145,209381,883138,2459265,6141804,2019495,632099,7142810,5865437,1167254,1479405,1499833,1203285,6424996,167883,3845859,720169,787289,3415079,1055492,582924,1643543,1370130,10856665,628348,2854417,2297403,4560107,242241,3029693,2441641,657896,23385219,1255668
2026-01-22,176931,6008722,89802,5036531,15328,1104936,1164892,1755905,1052391,1107262,750873,455685,21129960,763546,174031,209222,882673,2457393,6138111,2018301,631747,7139043,5862443,1166366,1478601,1499068,1202536,6421120,167830,3843564,719620,786689,3413053,1054688,582638,1642292,1369315,10850215,627871,2852935,2296180,4557325,242058,3027879,2440382,657565,23371367,1254921
2026-01-23,176301,5987358,89480,5018625,15272,1101002,1160748,1749661,1048653,1103328,748199,454061,21054822,760830,173415,208480,879537,2448657,6116285,2011119,629507,7113661,5841597,1162222,1473337,1493734,1198266,6398286,167228,3829900,717058,783889,3400915,1050936,580566,1636454,1364443,10811631,625645,2842785,2288018,4541127,241204,3017113,2431702,655227,23288263,1250455
2026-01-26,176346,5988884,89503,5019904,15276,1101283,1161044,1750107,1048920,1103609,748390,454177,21060189,761024,173459,208533,879761,2449281,6117844,2011632,629667,7115474,5843086,1162518,1473713,1494115,1198571,6399917,167271,3830876,717241,784089,3401782,1051204,580714,1636871,1364791,10814387,625804,2843510,2288601,4542284,241265,3017882,2432322,655394,23294199,1250774
2026-01-27,176121,5981254,89388,5013509,15256,1099878,1159564,1747877,1047585,1102204,747435,453597,21033354,760054,173239,208268,878641,2446161,6110049,2009067,628867,7106409,5835641,1161038,1471833,1492210,1197046,6391762,167056,3825996,716326,783089,3397447,1049864,579974,1634786,1363051,10800607,625009,2839885,2285686,4536499,240960,3014037,2429222,654559,23264519,1249179
2026-01-28,176211,5984306,89434,5016067,15264,1100440,1160156,1748769,1048119,1102766,747817,453829,21044088,760442,173327,208374,879089,2447409,6113167,2010093,629187,7110035,5838619,1161630,1472585,1492972,1197656,6395024,167142,3827948,716692,783489,3399181,1050400,580270,1635620,1363747,10806119,625327,2841335,2286852,4538813,241082,3015575,2430462,654893,23276391,1249817
2026-01-29,176076,5979728,89365,5012230,15252,1099597,1159268,1747431,1047318,1101923,747244,453481,21027987,759860,173195,208215,878417,2445537,6108490,2008554,628707,7104596,5834152,1160742,1471457,1491829,1196741,6390131,167013,3825020,716143,782889,3396580,1049596,579826,1634369,1362703,10797851,624850,2839160,2285103,4535342,240899,3013268,2428602,654392,23258583,1248860
2026-01-30,176976,6010248,89825,5037810,15332,1105217,1165188,1756351,1052658,1107543,751064,455801,21135327,763740,174075,209275,882897,2458017,6139670,2018814,631907,7140856,5863932,1166662,1478977,1499449,1202841,6422751,167873,3844540,719803,786889,3413920,1054956,582786,1642709,1369663,10852971,628030,2853660,2296763,4558482,242119,3028648,2441002,657732,23377303,1255240
2026-02-02,177381,6023982,90032,5049321,15368,1107746,1167852,1760365,1055061,1110072,752783,456845,21183630,765486,174471,209752,884913,2463633,6153701,2023431,633347,7157173,5877333,1169326,1482361,1502878,1205586,6437430,168260,3853324,721450,788689,3421723,1057368,584118,1646462,1372795,10877775,629461,2860185,2302010,4568895,242668,3035569,2446582,659235,23430727,1258111
2026-02-03,176931,6008722,89802,5036531,15328,1104936,1164892,1755905,1052391,1107262,750873,455685,21129960,763546,174031,209222,882673,2457393,6138111,2018301,631747,7139043,5862443,1166366,1478601,1499068,1202536,6421120,167830,3843564,719620,786689,3413053,1054688,582638,1642292,1369315,10850215,627871,2852935,2296180,4557325,242058,3027879,2440382,657565,23371367,1254921
2026-02-04,176436,5991936,89549,5022462,15284,1101845,1161636,1750999,1049454,1104171,748772,454409,21070923,761412,173547,208639,880209,2450529,6120962,2012658,629987,7119100,5846064,1163110,1474465,1494877,1199181,6403179,167357,3832828,717607,784489,3403516,1051740,581010,1637705,1365487,10819899,626122,2844960,2289767,4544598,241387,3019420,2433562,655728,23306071,1251412
2026-02-05,175941,5975150,89296,5008393,15240,1098754,1158380,1746093,1046517,1101080,746671,453133,21011886,759278,173063,208056,877745,2443665,6103813,2007015,628227,7099157,5829685,1159854,1470329,1490686,1195826,6385238,166884,3822092,715594,782289,3393979,1048792,579382,1633118,1361659,10789583,624373,2836985,2283354,4531871,240716,3010961,2426742,653891,23240775,1247903
2026-02-06,175401,5956838,89020,4993045,15192,1095382,1154828,1740741,1043313,1097708,744379,451741,20947482,756950,172535,207420,875057,2436177,6085105,2000859,626307,7077401,5811817,1156302,1465817,1486114,1192166,6365666,166368,3810380,713398,779889,3383575,1045576,577606,1628114,1357483,10756511,622465,2828285,2276358,4517987,239984,3001733,2419302,651887,23169543,1244075
2026-02-09,172386,5854596,87479,4907352,14924,1076555,1134996,1710859,1025424,1078881,731582,443969,20587893,743952,169587,203869,860049,2394369,5980652,1966488,615587,6955930,5712054,1136470,1440625,1460587,1171731,6256389,163487,3744988,701137,766489,3325486,1027620,567690,1600175,1334167,10571859,611745,2779710,2237297,4440401,235897,2950210,2377762,640698,22771831,1222702
2026-02-10,172746,5866804,87681,4917584,14966,1078803,1137364,1714427,1027560,1081129,733110,444897,20630829,745504,169939,204293,861841,2399361,5993124,1970592,616867,6970434,5723966,1138838,1443633,1463635,1174171,6269437,163831,3752796,702601,768089,3332422,1029764,568874,1603511,1336951,10593907,613025,2785510,2241961,4449665,236385,2956362,2382722,642034,22819319,1225254
2026-02-11,173286,5885116,87957,4932932,15014,1082175,1140916,1719779,1030764,1084501,735402,446289,20695233,747832,170467,204929,864529,2406849,6011832,1976748,618787,6992190,5741834,1142390,1448145,1468207,1177831,6289009,164347,3764508,704797,770489,3342826,1032980,570650,1608515,1341127,10626979,614945,2794210,2248957,4463561,237117,2965590,2390162,644038,22890551,1229082
2026-02-12,173106,5879012,87865,4927816,14998,1081051,1139732,1717995,1029696,1083377,734638,445825,20673765,747056,170291,204717,863633,2404353,6005596,1974696,618147,6984938,5735878,1141206,1446641,1466683,1176611,6282485,164175,3760604,704065,769689,3339358,1031908,570058,1606847,1339735,10615955,614305,2791310,2246625,4458929,236873,2962514,2387682,643370,22866807,1227806
2026-02-13,172296,5852241,87461,4905405,14926,1075993,1134404,1710193,1024890,1078319,731559,443737,20579924,743674,169499,203763,859601,2393121,5978272,1965757,615267,6952304,5709076,1136348,1440107,1460048,1171231,6253945,163401,3743459,701141,766466,3324161,1027084,567394,1600042,1333656,10567584,611658,2778260,2236131,4438661,235775,2949024,2376522,640364,22762592,1222242
2026-02-17,172296,5852760,87472,4905839,14931,1076280,1134692,1710193,1024890,1078319,731559,444069,20579924,743674,169514,203763,859783,2393121,5978808,1965757,615267,6953864,5710381,1136348,1440107,1460048,1171328,6253945,163401,3743790,701141,766466,3324459,1027703,567394,1600042,1333778,10568535,611658,2778959,2236618,4439064,235775,2949288,2377103,640364,22764632,1222356
2026-02-18,172206,5849706,87426,4903279,14923,1075718,1134100,1709301,1024356,1077757,731177,443837,20569186,743286,169426,203657,859335,2391871,5975688,1964731,614945,6950236,5707401,1135756,1439355,1459286,1170716,6250681,163315,3741836,700775,766066,3322725,1027167,567098,1599208,1333082,10563021,611338,2777509,2235452,4436748,235651,2947750,2375863,640030,22752754,1221718
2026-02-19,172296,5852760,87472,4905839,14931,1076280,1134692,1710193,1024890,1078319,731559,444069,20579924,743674,169514,203763,859783,2393121,5978808,1965757,615267,6953864,5710381,1136348,1440107,1460048,1171328,6253945,163401,3743790,701141,766466,3324459,1027703,567394,1600042,1333778,10568535,611658,2778959,2236618,4439064,235775,2949288,2377103,640364,22764632,1222356
2026-02-20,172161,5848179,87403,4901999,14919,1075437,1133804,1708855,1024089,1077476,730986,443721,20563817,743092,169382,203604,859111,2391246,5974128,1964218,614784,6948422,5705911,1135460,1438979,1458905,1170410,6249049,163272,3740859,700592,765866,3321858,1026899,566950,1598791,1332734,10560264,611178,2776784,2234869,4435590,235589,2946981,2375243,639863,22746815,1221399
2026-02-23,172116,5846652,87380,4900719,14915,1075156,1133508,1708409,1023822,1077195,730795,443605,20558448,742898,169338,203551,858887,2390621,5972568,1963705,614623,6946608,5704421,1135164,1438603,1458524,1170104,6247417,163229,3739882,700409,765666,3320991,1026631,566802,1598374,1332386,10557507,611018,2776059,2234286,4434432,235527,2946212,2374623,639696,22740876,1221080
2026-02-24,173646,5898570,88162,4944239,15051,1084710,1143572,1723573,1032900,1086749,737289,447549,20741028,749494,170834,205353,866503,2411871,6025608,1981147,620097,7008284,5755081,1145228,1451387,1471478,1180508,6302905,164691,3773100,706631,772466,3350469,1035743,571834,1612552,1344218,10651245,616458,2800709,2254142,4473804,237635,2972358,2395703,645374,22942802,1231926
2026-02-25,174681,5934227,88691,4973679,15143,1091173,1150380,1734145,1039361,1093212,741682,450217,20868263,754096,171868,206688,871655,2427898,6062036,1993310,623800,7050006,5789351,1152036,1460296,1480505,1187546,6341567,165680,3795910,710840,777066,3370727,1041907,575442,1622143,1352348,10715640,620138,2817384,2267574,4500850,239061,2990331,2409963,649433,23081503,1239263
2026-02-26,174366,5923538,88530,4964719,15115,1089206,1148308,1731023,1037492,1091245,740345,449405,20830673,752738,171560,206317,870087,2423523,6051116,1989719,622673,7037308,5778921,1149964,1457664,1477838,1185404,6330143,165379,3789071,709559,775666,3364658,1040031,574406,1619224,1349912,10696341,619018,2812309,2263486,4492744,238627,2984948,2405623,648264,23039930,1237030
2026-02-27,174726,5935754,88714,4974959,15147,1091454,1150676,1734591,1039628,1093493,741873,450333,20873633,754290,171912,206741,871879,2428523,6063596,1993823,623961,7051820,5790841,1152332,1460672,1480886,1187852,6343199,165723,3796887,711023,777266,3371594,1042175,575590,1622560,1352696,10718397,620298,2818109,2268158,4502008,239123,2991100,2410583,649600,23087442,1239582
2026-03-02,174861,5940335,88783,4978799,15159,1092297,1151564,1735929,1040429,1094336,742446,450681,20889743,754872,172044,206900,872551,2430398,6068276,1995362,624444,7057262,5795311,1153220,1461800,1482029,1188770,6348095,165852,3799818,711572,777866,3374195,1042979,576034,1623811,1353740,10726668,620778,2820284,2269910,4505482,239309,2993407,2412443,650101,23105262,1240539
2026-03-03,176076,5981564,89404,5013359,15267,1099884,1159556,1747971,1047638,1101923,747603,453813,21034733,760110,173232,208331,878599,2447273,6110396,2009213,628791,7106240,5835541,1161212,1471952,1492316,1197032,6392159,167013,3826197,716513,783266,3397604,1050215,580030,1635070,1363136,10801107,625098,2839859,2285678,4536748,240983,3014197,2429183,654610,23265642,1249152
2026-03-04,175491,5963320,89122,4998516,15215,1096607,1155708,1742655,1044167,1098270,745120,452305,20970585,757795,172719,207642,876018,2439148,6091750,2003075,626994,7085222,5818291,1157351,1467451,1487764,1193452,6372658,166454,3814512,714134,780666,3387265,1046731,578106,1629636,1358978,10768175,623272,2831463,2278851,4522923,240257,3004999,2421995,652439,23194662,1245448
2026-03-05,177156,6019856,89973,5045876,15363,1107004,1166660,1759157,1054083,1108704,752187,456597,21169349,764973,174347,209603,884306,2462273,6149507,2022056,632951,7152377,5873421,1168340,1481363,1501861,1204774,6433042,168045,3850661,720905,788066,3419381,1056647,583582,1645102,1371854,10870258,629192,2858288,2300459,4565806,242551,3033489,2444935,658618,23414516,1257251
2026-03-06,177741,6039720,90272,5062516,15415,1110657,1170508,1764955,1057567,1112370,754670,458105,21239185,767495,174919,210292,887218,2470398,6169800,2028725,635044,7175972,5892791,1172201,1486251,1506814,1208752,6454258,168604,3863362,723284,790666,3430665,1060131,585506,1650536,1376378,10906125,631272,2867713,2308051,4580873,243357,3043499,2452995,660789,23491762,1261398
2026-03-09,176976,6013744,89881,5040739,15347,1105880,1165476,1757356,1053011,1107576,751423,456133,21147827,764197,174171,209391,883410,2459773,6143263,2020004,632307,7145100,5867444,1167152,1479859,1500337,1203550,6426497,167873,3846753,720173,787266,3415909,1055575,582990,1643430,1370462,10859222,628552,2855371,2298123,4561170,242303,3030409,2442438,657950,23390714,1255975
2026-03-10,176976,6015709,89881,5043255,15347,1105880,1165476,1758250,1053011,1107576,751423,456133,21147827,764197,174237,209391,883410,2459773,6145626,2020004,632307,7145100,5867444,1167152,1479859,1500337,1204122,6426497,167873,3847903,720173,787266,3416960,1055575,582990,1643430,1371121,10861878,628552,2855371,2298123,4563241,242303,3031488,2442438,657950,23396415,1255975
2026-03-11,176976,6015709,89881,5043255,15347,1105880,1165476,1758250,1053011,1107576,751423,456133,21147827,764197,174237,209391,883410,2459773,6145626,2020004,632307,7145100,5867444,1167152,1479859,1500337,1204122,6426497,167873,3847903,720173,787266,3416960,1055575,582990,1643430,1371121,10861878,628552,2855371,2298123,4563241,242303,3031488,2442438,657950,23396415,1255975
2026-03-12,177021,6017237,89904,5044536,15351,1106161,1165772,1758697,1053279,1107858,751614,456249,21153201,764391,174281,209444,883634,2460398,6147187,2020517,632468,7146916,5868935,1167449,1480235,1500718,1204428,6428130,167916,3848880,720356,787466,3417828,1055843,583138,1643848,1371469,10864637,628712,2856097,2298707,4564400,242365,3032258,2443059,658117,23402359,1256294
2026-03-13,176796,6009592,89789,5038131,15331,1104756,1164292,1756462,1051939,1106448,750659,455669,21126321,763421,174061,209179,882509,2457273,6139377,2017952,631663,7137836,5861480,1165964,1478355,1498813,1202898,6419960,167701,3843990,719441,786466,3413488,1054503,582398,1641758,1369729,10850832,627912,2852467,2295787,4558605,242055,3028408,2439954,657282,23372629,1254699
2026-03-16,176841,6011121,89812,5039413,15335,1105037,1164588,1756909,1052207,1106730,750850,455785,21131697,763615,174105,209232,882734,2457898,6140939,2018466,631824,7139652,5862972,1166261,1478731,1499194,1203204,6421594,167744,3844968,719624,786666,3414356,1054771,582546,1642176,1370077,10853593,628072,2853193,2296371,4559765,242117,3029178,2440575,657449,23378576,1255018
2026-03-17,177066,6018766,89927,5045818,15355,1106442,1166068,1759144,1053547,1108140,751805,456365,21158577,764585,174325,209497,883859,2461023,6148749,2021036,632629,7148732,5870432,1167746,1480611,1501099,1204734,6429764,167959,3849858,720539,787666,3418696,1056111,583286,1644266,1371817,10867398,628872,2856823,2299291,4565565,242427,3033028,2443680,658284,23408311,1256613
2026-03-18,177516,6034056,90157,5058638,15395,1109252,1169028,1763614,1056227,1110960,753715,457525,21212337,766525,174765,210027,886109,2467273,6164369,2026176,634239,7166892,5885352,1170716,1484371,1504909,1207794,6446104,168389,3859638,722369,789666,3427376,1058791,584766,1648446,1375297,10895008,630472,2864083,2305131,4577165,243047,3040728,2449890,659954,23467781,1259803
2026-03-19,177471,6032527,90134,5057356,15391,1108971,1168732,1763167,1055959,1110678,753524,457409,21206961,766331,174721,209974,885884,2466648,6162807,2025662,634078,7165076,5883860,1170419,1483995,1504528,1207488,6444470,168346,3858660,722186,789466,3426508,1058523,584618,1648028,1374949,10892247,630312,2863357,2304547,4576005,242985,3039958,2449269,659787,23461834,1259484
2026-03-20,176572,5981493,89252,4869193,15054,1090556,1162246,1742223,1034958,1033509,749311,454749,21107510,761762,173630,208222,880596,2452217,6136796,2013620,630261,7015454,6195177,1145950,1451230,1495573,1184681,6417948,167422,3909038,718116,764606,3128130,1049644,574992,1628564,1355180,11043515,620199,2846230,2281555,4534903,238947,3021538,2434682,643033,24451115,1235074
2026-03-23,176572,5981493,89252,4869193,15054,1090556,1162246,1742223,1034958,1033509,749311,454749,21107510,761762,173630,208222,880596,2452217,6136796,2013620,630261,7015454,6195177,1145950,1451230,1495573,1184681,6417948,167422,3909038,718116,764606,3128130,1049644,574992,1628564,1355180,11043515,620199,2846230,2281555,4534903,238947,3021538,2434682,643033,24451115,1235074
2026-03-24,177787,6022209,89846,4902322,15162,1097981,1170157,1754076,1042005,1040556,754414,457854,21251166,766946,174818,209626,886590,2468903,6178565,2027336,634554,7063190,6237351,1153753,1461112,1505752,1192754,6461634,168556,3935633,723003,769817,3149406,1056799,578907,1639661,1364414,11118683,624411,2865589,2297080,4565764,240567,3042112,2451260,647407,24617516,1243471
2026-03-25,176617,5983001,89274,4870420,15058,1090831,1162539,1742662,1035219,1033770,749500,454864,21112820,761954,173674,208274,880818,2452835,6138343,2014128,630420,7017222,6196739,1146239,1451596,1495950,1184980,6419566,167464,3910023,718297,764799,3128892,1049909,575137,1628975,1355522,11046299,620355,2846947,2282130,4536046,239007,3022300,2435296,643195,24457252,1235385
2026-03-26,175537,5946809,88746,4840972,14962,1084231,1155507,1732126,1028955,1027506,744964,452104,20985116,757346,172618,207026,875490,2438003,6101215,2001936,626604,6974790,6159251,1139303,1442812,1486902,1177804,6380734,166456,3886383,713953,760167,3109956,1043549,571657,1619111,1347314,10979483,616611,2829739,2268330,4508614,237567,3004012,2420560,639307,24309316,1227921
2026-03-27,175357,5940777,88658,4836064,14946,1083131,1154335,1730370,1027911,1026462,744208,451644,20963832,756578,172442,206818,874602,2435531,6095027,1999904,625968,6967718,6153003,1138147,1441348,1485394,1176608,6374262,166288,3882443,713229,759395,3106800,1042489,571077,1617467,1345946,10968347,615987,2826871,2266030,4504042,237327,3000964,2418104,638659,24284660,1226677
2026-03-30,174952,5928417,88460,4826080,14910,1080951,1151698,1726798,1025562,1024113,742507,450609,20920919,755037,172085,206350,872827,2429969,6082399,1995791,624711,6953472,6140565,1135546,1438425,1482349,1174191,6361135,165910,3874354,711600,757658,3100373,1040104,569772,1613768,1343183,10945443,614583,2820418,2261378,4494742,236787,2994742,2413168,637201,24233965,1224139
2026-03-31,173017,5863573,87514,4773319,14738,1069126,1139099,1707921,1014339,1012890,734380,445664,20692116,746781,170193,204114,863281,2403395,6015878,1973947,617874,6877448,6073399,1123119,1422687,1466138,1161334,6291561,164104,3831999,703817,749359,3066446,1028709,563537,1596095,1328477,10825731,607875,2789587,2236653,4445593,234207,2961976,2386766,630235,23968913,1210766
2026-04-01,170722,5789423,86392,4712958,14557,1055607,1125027,1686323,1001808,999579,725343,439799,20430461,737337,168041,201462,852365,2371877,5939803,1948985,610060,6790474,5996580,1109298,1404697,1447599,1146648,6212000,161962,3783540,694586,739516,3027669,1015194,556594,1576434,1311677,10688831,600343,2755067,2208368,4389375,231311,2924519,2356583,622450,23665806,1195455
2026-04-02,170722,5789423,86392,4712958,14557,1055607,1125027,1686323,1001808,999579,725343,439799,20430461,737337,168041,201462,852365,2371877,5939803,1948985,610060,6790474,5996580,1109298,1404697,1447599,1146648,6212000,161962,3783540,694586,739516,3027669,1015194,556594,1576434,1311677,10688831,600343,2755067,2208368,4389375,231311,2924519,2356583,622450,23665806,1195455
2026-04-06,170947,5796968,86507,4719098,14577,1056982,1126492,1688518,1003113,1000884,726288,440374,20457076,738297,4206470,201727,853475,2374967,5947543,1951525,610855,6799319,6004390,1110743,1406527,1449484,1148143,6220095,162172,3788470,695491,740481,3031614,1016519,557319,1578489,1313387,10702756,601123,2758657,2211243,4395095,231611,2928329,2359653,623260,23696641,1197010
2026-04-07,171082,5801495,86576,4722782,14589,1057807,1127371,1689835,1003896,1001667,726855,440719,20473045,738873,4209755,201886,854141,2376821,5952187,1953049,611332,6804626,6009076,1111610,1407625,1450615,1149040,6224952,162298,3791428,696034,741060,3033981,1017314,557754,1579722,1314413,10711111,601591,2760811,2212968,4398527,231791,2930615,2361495,623746,23715139,1197943
2026-04-08,173027,5859405,87450,4769446,14752,1068257,1138505,1706517,1013814,1012688,734037,445573,20675319,746169,4252096,204009,862577,2402676,6011577,1972353,617374,6871848,6068432,1122592,1421533,1464941,1160529,6286474,164028,3829243,703569,749101,3064280,1028381,563264,1595340,1327554,10817989,607519,2788095,2234818,4441999,234071,2959872,2384827,629902,23951761,1209761
2026-04-09,173207,5865441,87542,4774358,14768,1069357,1139677,1708273,1014858,1013732,734793,446033,20696611,746937,4256476,204221,863465,2405148,6017769,1974385,618010,6878924,6074680,1123748,1422997,1466449,1161725,6292950,164196,3833187,704293,749873,3067436,1029441,563844,1596984,1328922,10829129,608143,2790967,2237118,4446575,234311,2962920,2387283,630550,23976425,1211005
2026-04-10,172712,5848842,87289,4760850,14724,1066332,1136454,1703444,1011987,1010861,732714,444768,20638058,744825,4244431,203638,861023,2398350,6000741,1968797,616261,6859465,6057498,1120569,1418971,1462302,1158436,6275141,163734,3822341,702302,747750,3058757,1026526,562249,1592463,1325160,10798494,606427,2783069,2230793,4433991,233651,2954538,2380529,628768,23908599,1207584
2026-04-13,172397,5838279,87128,4752254,14696,1064407,1134403,1700371,1010160,1009034,731391,443963,20600797,743481,4236766,203267,859469,2394024,5989905,1965241,615148,6847082,6046564,1118546,1416409,1459663,1156343,6263808,163440,3815439,701035,746399,3053234,1024671,561234,1589586,1322766,10778999,605335,2778043,2226768,4425983,233231,2949204,2376231,627634,23865430,1205407
2026-04-14,172307,5835261,87082,4749798,14688,1063857,1133817,1699493,1009638,1008512,731013,443733,20590151,743097,4234576,203161,859025,2392788,5986809,1964225,614830,6843544,6043440,1117968,1415677,1458909,1155745,6260570,163356,3813467,700673,746013,3051656,1024141,560944,1588764,1322082,10773429,605023,2776607,2225618,4423695,233111,2947680,2375003,627310,23853096,1204785
2026-04-15,172172,5830734,87013,4746114,14676,1063032,1132938,1698176,1008855,1007729,730446,443388,20574182,742521,4231291,203002,858359,2390934,5982165,1962701,614353,6838237,6038754,1117101,1414579,1457778,1154848,6255713,163230,3810509,700130,745434,3049289,1023346,560509,1587531,1321056,10765074,604555,2774453,2223893,4420263,232931,2945394,2373161,626824,23834595,1203852
