date,mco_shares,pfg_shares,fisv_shares,aig_shares,ntrs_shares,fitb_shares,aiz_shares,ndaq_shares,syf_shares,all_shares,gl_shares,hig_shares,schw_shares,gpn_shares,tfc_shares,hood_shares,cof_shares,rf_shares,mtb_shares,bro_shares,fis_shares,msci_shares,pru_shares,pypl_shares,brk_b_shares,rjf_shares,cfg_shares,cboe_shares,ajg_shares,cb_shares,wrb_shares,acgl_shares,blk_shares,kkr_shares,bk_shares,erie_shares,v_shares,pnc_shares,jpm_shares,cinf_shares,ares_shares,eg_shares,bac_shares,fds_shares,ma_shares,bx_shares,pgr_shares,ivz_shares,coin_shares,jkhy_shares,cpay_shares,usb_shares,xyz_shares,ms_shares,ice_shares,aon_shares,met_shares,afl_shares,key_shares,axp_shares,stt_shares,ibkr_shares,wfc_shares,gs_shares,spgi_shares,cme_shares,l_shares,trv_shares,c_shares,amp_shares,apo_shares,ben_shares,trow_shares,wtw_shares,mrsh_shares,hban_shares
2026-03-11,999404,1302540,3504371,3515342,1232294,5861740,325988,2938864,2346648,1704723,518529,1815157,10882305,1542365,8334441,5123439,4141794,5713027,1001209,1912886,3374085,489725,2280494,6096142,11947059,1148550,2798405,681570,1673074,2384638,1956049,2352849,939903,4471842,4543410,165463,10995067,2555122,17735846,1016317,1342273,273306,43771172,244103,5342202,4811378,3820678,2899712,1486428,471696,455900,10127319,3568000,7869413,3714536,1400468,3605856,3073272,6052636,3500703,1819681,2901588,20451414,1954075,2019925,2349488,1104266,1453344,11657698,605032,3024937,2002403,1422135,623552,3191997,13247470
2026-03-12,989522,1289730,3469967,3480755,1220216,5804095,322694,2909950,2323590,1687887,513405,1797223,10775250,1527176,8252457,5073114,4100985,5656846,991327,1894037,3340962,484967,2257985,6036118,11829573,1137204,2770955,674799,1656604,2361214,1936834,2329791,930570,4427922,4498758,163816,10886914,2530051,17561264,1006252,1329097,270561,43340573,241724,5289681,4763981,3783163,2871164,1471788,467121,451325,10027584,3532864,7792004,3677936,1386743,3570354,3043077,5993161,3466299,1801747,2873040,20250114,1934860,1999978,2326430,1093469,1439070,11542957,598993,2995108,1982639,1408227,617330,3160521,13117174
2026-03-13,1005236,1310100,3524675,3535754,1239422,5895760,327932,2955928,2360256,1714659,521553,1825741,10945485,1551329,8382825,5153139,4165878,5746183,1007041,1924010,3393633,492533,2293778,6131566,12016395,1155246,2814605,685566,1682794,2398462,1967389,2366457,945411,4497762,4569762,166435,11058895,2569918,17838878,1022257,1350049,274926,44025587,245507,5373198,4839350,3842818,2916560,1495068,474396,458600,10186179,3588736,7915097,3736136,1408568,3626808,3091092,6087736,3521007,1830265,2918436,20570214,1965415,2031697,2363096,1110638,1461768,11725414,608596,3042541,2014067,1430343,627224,3210573,13324366
2026-03-16,1019708,1328860,3575059,3586406,1257110,5980180,332756,2998272,2394024,1739315,529057,1852005,11102265,1573573,8502889,5226839,4225642,5828459,1021513,1951614,3442141,499501,2326742,6219470,12188451,1171862,2854805,695482,1706914,2432766,1995529,2400493,959079,4562082,4635154,168847,11217283,2606634,18094550,1036997,1369345,278946,44656459,248991,5450114,4908762,3897758,2958368,1516508,481096,465300,10332239,3640192,8028461,3789736,1428668,3678800,3135312,6174836,3571391,1856529,2960244,20865014,1993555,2060909,2396864,1126450,1482672,11893450,617440,3086225,2043011,1450711,636336,3256669,13515182
2026-03-17,1035098,1348810,3628639,3640271,1275920,6069955,337886,3043302,2429934,1765535,537037,1879935,11268990,1597228,8630569,5305499,4289197,5915954,1036903,1980969,3493726,506911,2361797,6312950,12371421,1189532,2897555,706027,1732564,2469246,2025454,2436688,973614,4630482,4704694,171412,11385718,2645679,18366440,1052672,1389865,283221,45327349,252696,5531909,4982577,3956183,3002828,1539308,488221,472425,10487564,3694912,8149016,3846736,1450043,3734090,3182337,6267461,3624971,1884459,3004704,21178514,2023480,2091974,2432774,1143265,1504902,12072145,626845,3132680,2073791,1472371,646026,3305689,13718102
2026-03-18,1035476,1349300,3629955,3641594,1276382,6072160,338012,3044408,2430816,1766179,537233,1880621,11273085,1597809,8633705,5307431,4290758,5918103,1037281,1981690,3494993,507093,2362658,6315246,12375922,1189966,2898605,706286,1733194,2470142,2026189,2437577,973971,4632162,4706402,171475,11389855,2646638,18373118,1053057,1390369,283326,45343827,252787,5533918,4984390,3957618,3003920,1539868,488396,472600,10491379,3696256,8151977,3848136,1450568,3735448,3183492,6269743,3626287,1885145,3005796,21186214,2024215,2092737,2433656,1143678,1505448,12076534,627076,3133821,2074547,1472903,646264,3306893,13723086
2026-03-19,1031912,1344680,3617547,3629120,1272026,6051370,336824,3033980,2422500,1760107,535385,1874153,11234475,1592331,8604137,5289215,4276040,5897841,1033717,1974892,3483047,505377,2354540,6293598,12333484,1185874,2888705,703844,1727254,2461694,2019259,2429195,970605,4616256,4690298,170881,11350849,2637596,18310154,1049427,1385617,282336,45188463,251929,5514976,4967296,3944088,2993624,1534588,486746,470950,10455409,3683584,8124059,3834936,1445618,3722644,3172602,6248227,3613879,1878677,2995500,21113614,2017285,2085543,2425340,1139784,1500300,12035152,624898,3123063,2067419,1467887,644020,3295541,13676094
2026-03-20,1025254,1321990,3594117,3585637,1245124,6014671,334578,3000954,2322866,1737383,531969,1863847,11161892,1590283,8436522,5281302,4177300,5800459,1014579,1956451,3460593,490995,2325459,6152470,12254042,1172160,2839955,699305,1717197,2430638,1991124,2388773,964208,4586982,4599077,169558,11234025,2699122,18017464,1042642,1376586,272038,44341777,247938,5442267,5003088,3916559,2967092,1490415,482371,467275,10387553,3659813,8039631,3795036,1433326,3678426,3119447,6261817,3578856,1864971,2976121,20666384,2004223,2044827,2409711,1129064,1445048,11677700,610154,3102855,2051543,1460768,635302,3235104,13564189
2026-03-23,1025254,1321990,3594117,3585637,1245124,6014671,334578,3000954,2322866,1737383,531969,1863847,11161892,1590283,8436522,5281302,4177300,5800459,1014579,1956451,3460593,490995,2325459,6152470,12254042,1172160,2839955,699305,1717197,2430638,1991124,2388773,964208,4586982,4599077,169558,11234025,2699122,18017464,1042642,1376586,272038,44341777,247938,5442267,5003088,3916559,2967092,1490415,482371,467275,10387553,3659813,8039631,3795036,1433326,3678426,3119447,6261817,3578856,1864971,2976121,20666384,2004223,2044827,2409711,1129064,1445048,11677700,610154,3102855,2051543,1460768,635302,3235104,13564189
2026-03-24,1062136,1369117,3723204,3714041,1289519,6230499,346872,3108185,2406192,1799536,551093,1930781,11562130,1646972,8739091,5470493,4326877,6008091,1050778,2026800,3584899,508753,2408785,6373079,12693211,1214506,2941722,724576,1778667,2518062,2062156,2474148,999041,4751585,4763680,175705,11636312,2796108,18662899,1080207,1425762,281600,45930435,256817,5637605,5182034,4056574,3073640,1543689,499446,484350,10759788,3790949,8327857,3930953,1484551,3810245,3231459,6486524,3707260,1931905,3082669,21406756,2075938,2117908,2495769,1169361,1496956,12096379,632010,3214184,2125307,1513359,657841,3351214,14050485
2026-03-25,1059598,1365874,3714321,3705205,1286464,6215647,346026,3100806,2400458,1795259,549777,1926175,11534588,1643071,8718270,5457474,4316584,5993803,1048287,2021959,3576345,507531,2403051,6357898,12662990,1211592,2934719,722837,1774437,2512046,2057268,2468273,996644,4740258,4752353,175282,11608629,2789434,18618484,1077622,1422378,280942,45821113,256206,5624163,5169720,4046939,3066308,1540023,498271,483175,10734173,3781925,8308023,3921600,1481026,3801174,3223751,6471061,3698424,1927299,3075337,21355808,2071003,2112879,2489847,1166588,1493384,12067568,630506,3206523,2120231,1509740,656290,3343224,14017021
2026-03-26,1054522,1359388,3696555,3687533,1280354,6185943,344334,3086048,2388990,1786705,547145,1916963,11479504,1635269,8676628,5431436,4295998,5965227,1043305,2012277,3559237,505087,2391583,6327536,12602548,1205764,2920713,719359,1765977,2500014,2047492,2456523,991850,4717604,4729699,174436,11553263,2776086,18529654,1072452,1415610,279626,45602469,254984,5597279,5145092,4027669,3051644,1532691,495921,480825,10682943,3763877,8268355,3902894,1473976,3783032,3208335,6440135,3680752,1918087,3060673,21253912,2061133,2102821,2478003,1161042,1486240,12009946,627498,3191201,2110079,1502502,653188,3327244,13950093
2026-03-27,1047070,1349866,3670473,3661589,1271384,6142335,341850,3064382,2372154,1774147,543281,1903439,11398636,1623815,8615494,5393210,4265776,5923275,1035991,1998063,3534121,501499,2374747,6282962,12513814,1197208,2900151,714253,1753557,2482350,2033140,2439273,984812,4684346,4696441,173194,11471981,2756490,18399244,1064862,1405674,277694,45281481,253190,5557811,5108936,3999379,3030116,1521927,492471,477375,10607733,3737381,8210119,3875432,1463626,3756398,3185703,6394733,3654808,1904563,3039145,21104320,2046643,2088055,2460615,1152900,1475752,11925352,623082,3168707,2095175,1491876,648634,3303784,13851837
2026-03-30,1039456,1340137,3643824,3635081,1262219,6097779,339312,3042245,2354952,1761316,539333,1889621,11316010,1612112,8553031,5354153,4234897,5880411,1028518,1983540,3508459,497833,2357545,6237419,12423151,1188466,2879142,709036,1740867,2464302,2018476,2421648,977621,4650365,4662460,171925,11388932,2736468,18265999,1057107,1395522,275720,44953515,251357,5517485,5071853,3970474,3008120,1510929,488946,473850,10530888,3710309,8150617,3847373,1453051,3729185,3162579,6348344,3628300,1890745,3017149,20951476,2031838,2072968,2442849,1144581,1465036,11838919,618570,3145724,2079947,1481019,643981,3279814,13751445
2026-03-31,1048852,1352143,3676710,3667793,1273529,6152763,342444,3069563,2376180,1777150,544205,1906673,11417974,1626554,8630113,5402351,4273003,5933307,1037740,2001462,3540127,502357,2378773,6293621,12535033,1199254,2905068,715474,1756527,2486574,2036572,2443398,986495,4692299,4704394,173491,11491418,2761176,18430429,1066677,1408050,278156,45358239,253619,5567249,5117441,4006144,3035264,1524501,493296,478200,10625718,3743717,8224045,3881999,1466101,3762767,3191115,6405590,3661012,1907797,3044293,21140092,2050108,2091586,2464773,1154847,1478260,11945581,624138,3174086,2098739,1494417,649723,3309394,13875333
2026-04-01,1056250,1361596,3702603,3693549,1282434,6196055,344910,3091072,2392894,1789617,548041,1920099,11498256,1637925,8690804,5440300,4303006,5974955,1045001,2015573,3565061,505919,2395487,6337872,12623124,1207748,2925481,720543,1768857,2504110,2050820,2460523,993482,4725316,4737411,174724,11572248,2780630,18559894,1074212,1417914,280074,45677038,255400,5606431,5153472,4034366,3056636,1535187,496721,481625,10700383,3770021,8281859,3909262,1476376,3789208,3213583,6450663,3686768,1921223,3065665,21288600,2064493,2106245,2482035,1162930,1488672,12029562,628522,3196417,2113535,1504966,654244,3332684,13972877
2026-04-02,1056250,1361596,3702603,3693549,1282434,6196055,344910,3091072,2392894,1789617,548041,1920099,11498256,1637925,8690804,5440300,4303006,5974955,1045001,2015573,3565061,505919,2395487,6337872,12623124,1207748,2925481,720543,1768857,2504110,2050820,2460523,993482,4725316,4737411,174724,11572248,2780630,18559894,1074212,1417914,280074,45677038,255400,5606431,5153472,4034366,3056636,1535187,496721,481625,10700383,3770021,8281859,3909262,1476376,3789208,3213583,6450663,3686768,1921223,3065665,21288600,2064493,2106245,2482035,1162930,1488672,12029562,628522,3196417,2113535,1504966,654244,3332684,13972877
2026-04-06,1054472,1359753,3696620,3687813,1280679,6186003,344164,3086493,2389060,1786940,547125,1916893,11480114,1635624,8676983,5431981,4296313,5965767,1043610,2012132,3559207,504977,2391853,6327691,12603263,1205534,2920878,719204,1766187,2499854,2047832,2456948,991685,4717789,4730284,174581,11554118,2775956,18530952,1072327,1415930,279736,45605569,254989,5597349,5145711,4028284,3051604,1532961,496046,480810,10683668,3764097,8268725,3903209,1474251,3783237,3208475,6440300,3680892,1918117,3061033,21255405,2061438,2103136,2478393,1161257,1486180,12010551,627498,3191356,2111759,1502447,653493,3327394,13950713
2026-04-07,1057010,1362996,3705503,3696649,1283734,6200855,345010,3093919,2394794,1791217,548441,1921499,11507656,1639572,8697804,5445000,4306606,5980102,1046101,2016973,3567761,506199,2397587,6342872,12633484,1208448,2927881,720943,1770417,2505870,2052767,2462823,994082,4729116,4741658,175004,11581848,2782630,18575414,1074912,1419314,280394,45715032,255600,5610791,5158072,4037966,3058936,1536627,497221,481985,10709283,3773121,8288559,3912562,1477776,3792308,3216183,6455763,3689728,1922723,3068365,21306400,2066373,2108165,2484362,1164030,1489752,12039362,629002,3199017,2116835,1506066,655044,3335384,13984177
2026-04-08,1059548,1366239,3714386,3705485,1286789,6215707,345856,3101345,2400528,1795494,549757,1926105,11535198,1643520,8718625,5458019,4316899,5994437,1048592,2021814,3576315,507421,2403321,6358053,12663705,1211362,2934884,722682,1774647,2511886,2057702,2468698,996479,4740443,4753032,175427,11609578,2789304,18619876,1077497,1422698,281052,45824495,256211,5624233,5170433,4047648,3066268,1540293,498396,483160,10734898,3782145,8308393,3921915,1481301,3801379,3223891,6471226,3698564,1927329,3075697,21357395,2071308,2113194,2490331,1166803,1493324,12068173,630506,3206678,2121911,1509685,656595,3343374,14017641
2026-04-09,1062626,1370172,3725159,3716201,1290494,6233719,346882,3110351,2407482,1800681,551353,1931691,11568600,1648308,8743876,5473808,4329382,6011822,1051613,2027685,3586689,508903,2410275,6376464,12700356,1214896,2943377,724791,1779777,2519182,2063687,2475823,999386,4754180,4766826,175940,11643208,2797398,18673798,1080632,1426802,281850,45957191,256952,5640535,5185424,4059390,3075160,1544739,499821,484585,10765963,3793089,8332447,3933258,1485576,3812380,3233239,6489979,3709280,1932915,3084589,21419240,2077293,2119293,2497570,1170166,1497656,12103114,632330,3215969,2128067,1514074,658476,3353064,14058225
2026-04-10,1054958,1360374,3698321,3689505,1281264,6188847,344326,3087915,2390158,1787759,547377,1917775,11485388,1636380,8680970,5434474,4298284,5968512,1044087,2013059,3560845,505211,2392951,6330598,12608908,1206092,2922219,719537,1766997,2501006,2048777,2458073,992144,4719958,4732462,174662,11559428,2777234,18539466,1072822,1416578,279862,45626473,255106,5599923,5148078,4030138,3053008,1533663,496271,481035,10688431,3765825,8272523,3905000,1474926,3784974,3209951,6443261,3682584,1918999,3062437,21265170,2062383,2104099,2479536,1161788,1486864,12016068,627786,3192823,2112731,1503140,653790,3328924,13957121
2026-04-13,1063328,1371069,3727616,3718645,1291339,6237827,347116,3112405,2409068,1801864,551717,1932965,11576218,1649400,8749635,5477409,4332229,6015787,1052302,2029024,3589055,509241,2411861,6380663,12708728,1215702,2945314,725272,1780947,2520846,2065052,2477448,1000049,4757313,4769972,176057,11650878,2799244,18686096,1081347,1427738,282032,45987468,257121,5644253,5188843,4062068,3077188,1545753,500146,484910,10773061,3795585,8337933,3935845,1486551,3814889,3235371,6494256,3711724,1934189,3086617,21433345,2078658,2120684,2499221,1170933,1498644,12111083,632746,3218088,2129471,1515075,658905,3355274,14067481
