date,lkq_price,expe_price,grmn_price,azo_price,rl_price,nke_price,yum_price,dhi_price,tsco_price,rost_price,mhk_price,dpz_price,tjx_price,mgm_price,tpr_price,hlt_price,phm_price,sbux_price,wsm_price,dash_price,rcl_price,ulta_price,nvr_price,dri_price,has_price,gm_price,lvs_price,ebay_price,amzn_price,kmx_price,abnb_price,nclh_price,wynn_price,bkng_price,orly_price,len_price,low_price,cmg_price,mcd_price,f_price,deck_price,ccl_price,mar_price,tsla_price,pool_price,bby_price,gpc_price,hd_price,aptv_price,lulu_price,xly_calculated_price,cvna_price
2025-07-18,37.12,184.93,227.89,3713.93,289.49,72.47,148.96,131.80,56.58,129.94,111.17,465.95,122.17,37.19,103.42,272.68,108.66,93.80,170.39,239.17,350.10,493.30,7422.83,209.54,77.81,53.22,48.67,78.14,226.13,62.62,139.34,23.59,106.77,5702.90,92.34,109.57,219.16,53.93,297.07,11.16,101.91,29.55,272.58,329.65,298.86,67.55,122.91,359.40,68.20,229.77,222.66,
2025-07-24,31.73,190.48,231.71,3841.50,295.35,75.42,145.83,144.70,59.34,136.44,116.00,476.34,126.26,37.36,108.43,267.57,116.03,93.70,180.54,243.69,349.36,513.55,7789.39,202.80,75.05,52.34,50.79,82.45,232.23,60.22,141.62,23.50,108.45,5650.00,98.16,113.51,225.56,45.74,294.48,11.26,104.94,29.78,272.88,305.30,326.34,67.29,133.21,373.09,70.46,218.69,221.87,
2025-07-25,32.17,187.34,235.63,3820.91,298.23,76.27,146.70,145.32,59.33,138.33,120.90,485.53,126.44,38.44,108.34,273.65,116.35,94.42,181.71,249.92,352.80,514.95,7792.93,204.48,74.98,53.40,52.41,81.43,231.44,60.72,141.31,23.82,109.44,5632.27,97.66,115.33,226.80,46.76,298.47,11.47,116.85,29.75,279.11,316.06,324.90,67.44,133.70,375.34,70.91,219.43,223.23,
2025-07-28,31.49,187.16,236.36,3796.56,301.72,79.24,144.29,146.20,58.11,140.82,120.00,474.32,125.39,38.56,110.42,270.57,116.82,93.67,188.23,246.44,352.00,519.27,7845.30,203.11,76.30,53.45,52.49,79.00,232.79,60.26,142.16,23.88,111.27,5678.75,97.33,116.14,229.99,44.86,299.22,11.28,112.39,29.73,275.79,325.59,321.48,67.79,133.07,377.23,69.87,216.59,225.53,
2025-07-29,30.47,182.81,239.30,3873.85,300.81,78.33,145.18,147.35,58.59,139.56,121.31,470.05,126.37,37.41,107.40,273.06,117.06,92.96,187.11,243.20,334.37,513.63,7821.05,202.73,76.30,52.11,52.34,78.50,231.01,59.07,136.84,23.41,109.38,5590.77,98.90,115.86,230.04,44.38,302.67,11.08,112.11,29.70,273.47,321.20,316.48,66.44,133.46,377.34,68.24,214.04,224.47,
2025-07-30,30.12,179.79,221.49,3843.11,303.21,76.68,146.99,143.31,57.83,138.48,117.23,475.38,125.81,37.88,108.20,273.29,113.36,92.76,190.53,248.00,331.15,517.43,7633.40,203.20,76.00,52.11,52.97,77.56,230.19,58.00,134.75,23.40,109.53,5612.91,99.38,112.37,227.43,43.76,303.61,10.87,110.60,30.14,270.04,319.04,312.24,65.79,132.03,372.08,66.68,206.47,223.08,
2025-07-31,29.47,180.22,218.76,3768.38,298.75,74.69,144.15,142.84,56.95,136.54,114.51,463.21,124.53,36.45,108.03,268.08,112.92,89.16,187.05,250.25,317.87,515.01,7549.49,201.67,75.16,53.34,52.40,91.75,234.11,56.61,132.41,25.56,109.03,5504.06,98.32,112.18,223.57,42.88,300.07,11.07,106.17,29.77,263.83,308.27,308.14,65.06,128.88,367.51,68.64,200.53,221.63,
2025-08-01,29.64,178.06,218.73,3858.86,293.77,74.62,145.36,150.30,57.63,137.01,116.68,466.17,126.00,35.75,106.31,260.84,116.75,86.86,187.67,248.35,314.25,507.73,7760.68,203.49,74.63,52.53,52.26,91.74,214.75,55.98,128.02,24.50,107.93,5386.29,99.12,115.98,226.40,42.52,302.89,10.82,103.35,29.07,255.35,302.63,308.67,64.12,128.30,373.66,65.65,193.33,212.44,
2025-08-04,29.52,184.99,225.53,3967.76,304.45,74.82,147.00,153.28,59.50,141.97,119.29,467.98,129.22,35.51,111.89,262.42,119.36,89.78,200.52,258.02,315.70,514.99,7871.02,204.81,76.89,52.77,52.40,92.86,211.65,54.66,130.96,25.34,107.05,5476.09,101.37,118.77,233.81,42.88,304.23,10.95,105.13,29.72,259.13,309.26,309.81,66.22,131.26,380.82,64.86,196.45,219.31,
2025-08-05,29.96,181.84,228.25,4011.25,299.24,74.38,139.50,154.83,59.77,141.79,120.53,447.13,128.77,34.97,111.49,260.15,121.02,90.20,203.78,255.28,311.36,510.17,7906.91,204.24,76.97,52.58,52.20,91.28,213.75,56.10,129.96,25.00,107.72,5457.86,102.23,120.10,237.46,42.63,298.77,11.06,105.91,29.28,259.72,308.72,311.98,66.98,132.57,385.41,64.78,195.07,219.25,
