date,intu_price,it_price,qcom_price,ntap_price,aapl_price,on_price,intc_price,nxpi_price,swks_price,tel_price,now_price,lrcx_price,klac_price,keys_price,mpwr_price,gddy_price,mu_price,crwd_price,avgo_price,crm_price,jbl_price,snps_price,akam_price,csco_price,msi_price,orcl_price,epam_price,fico_price,nvda_price,cdns_price,cdw_price,tdy_price,trmb_price,wday_price,zbra_price,ibm_price,smci_price,fslr_price,vrsn_price,ftnt_price,adsk_price,mchp_price,amat_price,pltr_price,amd_price,hpe_price,adi_price,rop_price,ptc_price,wdc_price,glw_price,msft_price,dell_price,ffiv_price,ter_price,acn_price,anet_price,aph_price,ctsh_price,hpq_price,panw_price,tyl_price,txn_price,gen_price,ddog_price,stx_price,adbe_price,xlk_calculated_price,app_price,q_price,sndk_price
2025-07-25,785.95,356.64,158.40,104.94,213.88,56.92,20.70,223.29,71.53,208.06,968.79,96.96,902.09,166.45,714.68,165.97,111.26,467.92,290.18,269.11,222.55,601.55,80.75,68.69,428.00,245.12,170.74,1532.52,173.50,332.19,181.14,555.89,85.24,241.74,335.69,259.72,54.47,185.32,305.79,104.82,303.28,69.21,185.69,158.80,166.47,20.73,227.82,563.03,204.51,68.82,55.36,513.71,131.22,299.37,90.15,283.15,114.28,105.02,76.67,25.68,203.27,556.46,184.99,30.61,149.84,150.89,370.74,262.26,,,
2025-07-28,798.73,352.47,161.05,106.91,214.05,58.66,20.68,228.49,71.32,209.34,985.75,98.62,923.15,166.60,738.55,166.04,111.25,472.18,294.30,270.25,224.79,592.63,79.71,67.92,429.97,247.71,169.36,1513.73,176.75,333.76,181.78,556.96,85.07,238.04,334.69,263.21,60.05,183.58,305.98,104.88,304.47,70.53,190.27,157.88,173.66,20.88,230.77,559.03,204.00,68.99,55.41,512.50,133.86,301.63,91.14,277.04,117.55,106.70,75.42,25.85,204.50,556.46,189.25,30.52,150.77,150.46,369.47,264.19,,,
2025-07-29,806.34,350.40,162.08,106.09,211.27,58.38,20.41,226.74,71.94,209.17,993.20,98.94,916.09,167.01,724.37,165.04,111.96,465.51,297.42,267.39,230.38,635.81,79.49,67.96,433.95,249.98,168.51,1505.06,175.51,366.26,182.18,552.48,84.69,239.63,331.60,262.41,58.63,181.82,277.47,104.77,306.61,70.68,188.41,156.24,177.44,20.85,230.75,563.06,204.19,70.61,61.98,512.57,133.51,299.24,90.55,278.90,118.62,105.31,74.91,25.67,193.84,552.50,191.38,30.27,150.27,152.68,370.70,264.44,,,
2025-07-30,807.39,343.80,159.06,104.70,209.05,58.05,20.34,220.94,71.33,206.68,977.48,99.09,924.99,167.55,730.54,163.88,114.74,463.15,302.62,264.81,226.42,645.35,78.06,68.28,436.07,250.60,163.97,1527.80,179.27,371.03,179.94,550.59,85.19,237.68,332.39,260.26,60.71,179.13,266.98,101.71,308.14,70.29,189.39,158.61,179.51,20.89,231.11,552.34,202.51,71.43,62.61,513.24,133.54,298.99,107.65,274.00,122.09,105.49,73.53,25.10,183.03,554.67,189.52,29.84,148.88,147.42,364.00,263.63,,,
2025-07-31,785.13,338.65,146.76,104.13,207.57,56.36,19.80,213.77,68.54,205.75,943.12,94.84,879.03,163.91,711.24,161.58,109.14,454.57,293.70,258.33,223.17,633.47,76.31,68.08,438.98,253.77,157.71,1436.72,177.87,364.57,174.38,551.02,83.89,229.38,339.02,253.15,58.97,174.73,268.87,99.90,303.11,67.59,180.06,158.35,176.31,20.69,224.63,550.40,214.81,78.69,63.24,533.50,132.69,313.42,107.43,267.10,123.22,106.51,71.76,24.80,173.60,584.56,181.06,29.49,139.98,157.01,357.69,262.41,,,
2025-08-01,776.15,328.54,148.19,101.10,202.38,56.82,19.31,209.92,67.69,201.93,914.37,96.37,886.64,158.68,785.62,156.47,104.88,446.66,288.64,250.74,218.56,618.65,74.38,67.11,436.71,244.42,150.99,1381.07,173.72,356.97,168.86,544.69,82.64,222.22,335.24,250.05,56.64,183.97,265.37,97.36,297.02,66.36,179.99,154.27,171.70,19.81,221.71,542.11,212.11,76.55,62.05,524.11,127.32,307.43,104.16,255.37,117.57,104.31,70.59,24.45,172.88,581.65,180.86,28.79,135.60,154.81,347.80,257.50,,,
2025-08-04,784.87,336.71,147.51,103.23,203.35,47.97,19.50,211.99,67.94,204.00,923.00,98.41,915.62,161.72,830.63,158.15,107.77,454.86,297.72,252.32,222.29,636.02,75.50,68.49,439.97,252.53,153.30,1360.99,180.00,364.88,172.14,552.26,84.25,225.12,341.36,251.98,58.23,183.42,268.29,98.55,302.50,66.59,182.82,160.66,176.78,20.02,222.40,546.42,216.41,77.29,63.49,535.64,130.23,321.00,105.72,258.78,120.35,108.63,71.26,24.97,171.00,602.99,182.73,28.98,139.13,154.81,338.85,261.97,,,
2025-08-05,769.27,243.93,146.71,102.01,202.92,47.24,20.19,208.47,67.63,201.53,905.12,96.68,883.41,161.32,802.78,153.43,109.06,441.75,292.93,247.49,219.61,628.50,73.65,67.52,434.05,255.67,149.33,1343.12,178.26,360.50,165.24,552.16,82.70,224.98,302.60,250.67,57.26,186.84,268.23,96.21,299.20,67.13,179.15,173.27,174.31,19.87,220.68,537.93,214.79,75.84,63.17,527.75,130.48,318.78,106.93,247.07,118.12,107.93,69.90,25.05,169.09,608.68,185.40,28.58,132.94,151.74,338.74,259.70,,,
2025-08-06,779.47,243.71,145.84,103.33,213.25,46.98,20.41,205.92,67.52,200.05,912.31,95.94,888.28,160.75,805.85,154.82,108.78,451.69,301.67,249.17,220.68,625.88,74.48,69.21,442.12,256.43,151.31,1393.61,179.42,360.16,165.51,548.96,84.13,229.08,308.31,252.28,46.79,185.01,273.22,96.58,305.18,66.17,178.14,179.54,163.12,20.13,220.69,541.84,215.71,73.78,63.98,524.94,128.14,321.23,104.88,247.54,138.78,109.50,70.89,25.01,172.89,611.76,185.91,28.69,136.96,147.27,345.62,263.04,,,
2025-08-07,761.61,229.69,145.90,103.85,220.03,47.59,19.77,205.91,68.55,199.92,874.12,99.15,912.06,161.25,797.94,150.25,111.87,425.00,303.76,240.88,220.49,620.33,74.76,69.90,445.10,249.39,157.74,1333.62,180.77,354.33,161.88,550.13,82.52,220.98,316.01,250.16,46.67,185.60,273.99,75.30,292.99,66.22,183.15,182.20,172.40,20.40,223.12,536.71,206.15,74.44,64.76,520.84,133.93,317.23,106.46,241.72,139.28,108.55,69.12,25.35,168.10,600.19,185.91,28.27,136.38,148.10,338.27,262.91,,,
