date,nxpi_shares,hpq_shares,amat_shares,ctsh_shares,klac_shares,cdw_shares,adbe_shares,crm_shares,mchp_shares,wday_shares,txn_shares,fico_shares,qcom_shares,ntap_shares,msft_shares,ffiv_shares,ftnt_shares,cohr_shares,acn_shares,jbl_shares,cien_shares,wdc_shares,it_shares,mu_shares,q_shares,now_shares,adi_shares,nvda_shares,app_shares,lite_shares,tyl_shares,crwd_shares,lrcx_shares,mpwr_shares,vrsn_shares,intu_shares,pltr_shares,msi_shares,panw_shares,avgo_shares,trmb_shares,swks_shares,gen_shares,fslr_shares,dell_shares,sndk_shares,zbra_shares,rop_shares,ter_shares,ibm_shares,glw_shares,gddy_shares,smci_shares,ptc_shares,tdy_shares,stx_shares,aapl_shares,intc_shares,epam_shares,anet_shares,ddog_shares,tel_shares,hpe_shares,adsk_shares,amd_shares,orcl_shares,akam_shares,cdns_shares,on_shares,keys_shares,aph_shares,snps_shares,csco_shares
2025-12-29,2006240,7451137,6350599,3847531,1047394,1037820,3336906,7588977,4308230,1729805,7243202,188978,8537628,1591281,22701091,459831,5038899,,4943484,851683,,2725524,574543,8947959,1669576,8269838,3921736,74220769,2157787,,342994,2000493,10012605,381889,665049,2222515,18209930,1327721,5452468,14423722,1896585,1185241,4473820,855411,2402617,1109838,403886,858018,1248385,7451354,6219450,1077290,3997431,954927,374300,1736844,45132129,35743250,440396,8231633,2594343,2345172,10518140,1697972,12978175,13407988,1146902,2169894,3207539,1369918,9757805,1480744,31413972
2025-12-30,2003588,7441294,6342218,3842448,1046017,1036443,3332503,7578947,4302535,1727527,7233631,188723,8526357,1589173,22671103,459219,5032235,,4936956,850561,,2721920,573778,8936144,1667366,8258907,3916551,74122730,2154931,,342535,1997858,9999379,381379,664165,2219574,18185875,1325970,5445260,14404665,1894086,1183677,4467904,854289,2399438,1108376,403359,856879,1246736,7441511,6211239,1075862,3992144,953669,373807,1734549,45072510,35696041,439818,8220753,2590909,2342078,10504251,1695728,12961039,13390274,1145389,2167021,3203306,1368116,9744919,1478789,31372475
2025-12-31,2001248,7432609,6334823,3837963,1044802,1035228,3328618,7570097,4297510,1725517,7225186,188498,8516412,1587313,22644643,458679,5026355,,4931196,849571,,2718740,573103,8925719,1665416,8249262,3911976,74036225,2152411,,342130,1995533,9987709,380929,663385,2216979,18164650,1324425,5438900,14387850,1891881,1182297,4462684,853299,2396633,1107086,402894,855874,1245281,7432826,6203994,1074602,3987479,952559,373372,1732524,45019905,35654386,439308,8211153,2587879,2339348,10491996,1693748,12945919,13374644,1144054,2164486,3199571,1366526,9733549,1477064,31335860
2026-01-02,1996880,7416397,6321019,3829591,1042534,1032960,3321366,7553577,4288130,1721765,7209422,188078,8497848,1583841,22595251,457671,5015379,,4920444,847723,,2712804,571843,8906259,1661776,8231258,3903436,73874749,2147707,,341374,1991193,9965925,380089,661929,2212135,18125030,1321541,5427028,14356462,1887765,1179721,4452940,851451,2391397,1104678,402026,853998,1242565,7416614,6190470,1072250,3978771,950487,372560,1728744,44921709,35576630,438356,8193233,2582223,2334252,10469120,1690052,12917695,13345468,1141562,2159754,3192599,1363558,9712325,1473844,31267512
2026-01-06,2000032,7427840,6330670,3835474,1044111,1034637,3326489,7565307,4294825,1724443,7220593,188413,8510889,1586349,22630119,458403,5023143,,4928072,849045,,2717008,572768,8919874,1664286,8243989,3909421,73988658,2151083,,341953,1994268,9981351,380719,663013,2215596,18152985,1323572,5435436,14378679,1890664,1181485,4459756,852773,2395076,1106340,402593,855377,1244514,7428057,6199981,1073978,3984958,951945,373093,1731339,44990998,35631409,439034,8205913,2586257,2337846,10485309,1692656,12937501,13366102,1143275,2163107,3197532,1365660,9727211,1476079,31315809
2026-01-07,1998784,7423208,6326718,3833082,1043463,1033989,3324417,7560587,4292145,1723371,7216089,188293,8505577,1585357,22616007,458115,5020007,,4925000,848517,,2715312,572408,8914314,1663246,8238845,3906981,73942514,2149739,,341737,1993028,9975127,380479,662597,2214212,18141665,1322748,5432044,14369711,1889488,1180749,4456972,852245,2393580,1105652,402345,854841,1243738,7423425,6196117,1073306,3982470,951353,372861,1730259,44962934,35609185,438762,8200793,2584641,2336390,10478773,1691600,12929429,13357766,1142563,2161755,3195540,1364812,9721147,1475159,31296281
2026-01-08,2002996,7438841,6340056,3841155,1045650,1036176,3331410,7576517,4301190,1726989,7231290,188698,8523505,1588705,22663635,459087,5030591,,4935368,850299,,2721036,573623,8933079,1666756,8256206,3915216,74098250,2154275,,342466,1997213,9996133,381289,664001,2218883,18179870,1325529,5443492,14399978,1893457,1183233,4466368,854027,2398629,1107974,403182,856650,1246357,7439058,6209158,1075574,3990867,953351,373644,1733904,45057650,35684191,439680,8218073,2590095,2341304,10500832,1695164,12956672,13385900,1144966,2166318,3202263,1367674,9741613,1478264,31362188
2026-01-09,2002528,7437104,6338574,3840258,1045407,1035933,3330633,7574747,4300185,1726587,7229601,188653,8521513,1588333,22658343,458979,5029415,,4934216,850101,,2720400,573488,8930994,1666366,8254277,3914301,74080946,2153771,,342385,1996748,9993799,381199,663845,2218364,18175625,1325220,5442220,14396615,1893016,1182957,4465324,853829,2398068,1107716,403089,856449,1246066,7437321,6207709,1075322,3989934,953129,373557,1733499,45047126,35675857,439578,8216153,2589489,2340758,10498381,1694768,12953645,13382774,1144699,2165811,3201516,1367356,9739339,1477919,31354865
2026-01-12,2004556,7444631,6344996,3844145,1046460,1036986,3334000,7582417,4304540,1728329,7236920,188848,8530145,1589945,22681275,459447,5034511,,4939208,850959,,2723156,574073,8940029,1668056,8262636,3918266,74155930,2155955,,342736,1998763,10003913,381589,664521,2220613,18194020,1326559,5447732,14411188,1894927,1184153,4469848,854687,2400499,1108834,403492,857320,1247327,7444848,6213988,1076414,3993977,954091,373934,1735254,45092730,35711971,440020,8224473,2592115,2343124,10509002,1696484,12966762,13396320,1145856,2168008,3204753,1368734,9749193,1479414,31386598
2026-01-13,1996132,7413365,6318320,3827999,1042086,1032612,3320014,7550557,4286450,1721093,7206518,188038,8494289,1583249,22586019,457503,5013343,,4918472,847395,,2711708,571643,8902499,1661036,8227914,3901796,73844404,2146883,,341278,1990393,9961901,379969,661713,2211271,18117610,1320997,5424836,14350654,1886989,1179185,4451056,851123,2390401,1104190,401818,853702,1242089,7413582,6187906,1071878,3977183,950095,372368,1727964,44903298,35561959,438184,8189913,2581207,2333296,10464830,1689356,12912276,13340052,1141050,2158882,3191307,1363010,9708261,1473204,31254730
2026-01-14,2003452,7440520,6341550,3842054,1045891,1036457,3332189,7578307,4302125,1727423,7232953,188743,8525569,1589029,22668999,459203,5031783,,4936552,850465,,2721648,573788,8935274,1667186,8258169,3916121,74115909,2154763,,342533,1997688,9998411,381359,664133,2219416,18184085,1325832,5444816,14403379,1893904,1183525,4467416,854193,2399216,1108260,403253,856837,1246654,7440837,6210641,1075758,3991778,953625,373753,1734339,45068458,35692669,439714,8220013,2590697,2341886,10503340,1695576,12959781,13389062,1145255,2166847,3203112,1367980,9743871,1478619,31369620
2026-01-15,2005948,7449784,6349454,3846838,1047187,1037753,3336333,7587747,4307485,1729567,7241961,188983,8536193,1591013,22697239,459779,5038055,,4942696,851521,,2725040,574508,8946410,1669266,8268457,3921001,74208213,2157451,,342965,2000184,10010859,381839,664965,2222184,18206725,1327480,5451600,14421315,1896256,1184997,4472984,855249,2402208,1109636,403749,857909,1248206,7450101,6218369,1077102,3996754,954809,374217,1736499,45124586,35737117,440258,8230253,2593929,2344798,10516428,1697688,12975925,13405734,1146679,2169551,3207096,1369676,9755999,1480459,31408692
2026-01-16,2005168,7446889,6346984,3845343,1046782,1037348,3335038,7584797,4305810,1728897,7239146,188908,8532873,1590393,22688414,459599,5036095,,4940776,851191,,2723980,574283,8942930,1668616,8265242,3919476,74179368,2156611,,342830,1999404,10006969,381689,664705,2221319,18199650,1326965,5449480,14415710,1895521,1184537,4471244,854919,2401273,1109206,403594,857574,1247721,7447206,6215954,1076682,3995199,954439,374072,1735824,45107046,35723227,440088,8227053,2592919,2343888,10512338,1697028,12970880,13400524,1146234,2168706,3205851,1369146,9752209,1479884,31396482
2026-01-20,2005168,7446889,6346984,3845343,1046782,1037348,3335038,7584797,4305810,1728897,7239146,188908,8532873,1590393,22688414,459599,5036095,,4940776,851191,,2723980,574283,8942930,1668616,8265242,3919476,74179368,2156611,,342830,1999404,10006969,381689,664705,2221319,18199650,1326965,5449480,14415710,1895521,1184537,4471244,854919,2401273,1109206,403594,857574,1247721,7447206,6215954,1076682,3995199,954439,374072,1735824,45107046,35723227,440088,8227053,2592919,2343888,10512338,1697028,12970880,13400524,1146234,2168706,3205851,1369146,9752209,1479884,31396482
2026-01-21,1999708,7426624,6329694,3834878,1043947,1034513,3325973,7564147,4294085,1724207,7219441,188383,8509633,1586053,22626639,458339,5022375,,4927336,848881,,2716560,572708,8918570,1664066,8242737,3908801,73977453,2150731,,341885,1993944,9979739,380639,662885,2215264,18150125,1323360,5434640,14376475,1890376,1181317,4459064,852609,2394728,1106196,402509,855229,1244326,7426941,6199049,1073742,3984314,951849,373057,1731099,44984266,35625997,438898,8204653,2585849,2337518,10483708,1692408,12935565,13364054,1143119,2162791,3197136,1365436,9725679,1475859,31311012
2026-01-22,1998928,7423729,6327224,3833383,1043542,1034108,3324678,7561197,4292410,1723537,7216626,188308,8506313,1585433,22617814,458159,5020415,,4925416,848551,,2715500,572483,8915090,1663416,8239522,3907276,73948608,2149891,,341750,1993164,9975849,380489,662625,2214399,18143050,1322845,5432520,14370870,1889641,1180857,4457324,852279,2393793,1105766,402354,854894,1243841,7424046,6196634,1073322,3982759,951479,372912,1730424,44966726,35612107,438728,8201453,2584839,2336608,10479618,1691748,12930520,13358844,1142674,2161946,3195891,1364906,9721889,1475284,31298802
2026-01-23,1994092,7405780,6311910,3824114,1041031,1031597,3316649,7542907,4282025,1719383,7199173,187843,8485729,1581589,22563099,457043,5008263,,4913512,846505,,2708928,571088,8893514,1659386,8219589,3897821,73769769,2144683,,340913,1988328,9951731,379559,661013,2209036,18099185,1319652,5419376,14336119,1885084,1178005,4446536,850233,2387996,1103100,401393,852817,1240834,7406097,6181661,1070718,3973118,949185,372013,1726239,44857978,35525989,437674,8181613,2578577,2330966,10454260,1687656,12899241,13326542,1139915,2156707,3188172,1361620,9698391,1471719,31223100
2026-01-26,1990036,7390726,6299066,3816340,1038925,1029491,3309915,7527567,4273315,1715899,7184535,187453,8468465,1578365,22517209,456107,4998071,,4903528,844789,,2703416,569918,8875418,1656006,8202871,3889891,73619775,2140315,,340211,1984272,9931503,378779,659661,2204538,18062395,1316974,5408352,14306973,1881262,1175613,4437488,848517,2383134,1100864,400587,851075,1238312,7391043,6169103,1068534,3965032,947261,371259,1722729,44766770,35453761,436790,8164973,2573325,2326234,10432992,1684224,12873007,13299450,1137601,2152313,3181698,1358864,9678683,1468729,31159608
2026-01-27,1988320,7384357,6293632,3813051,1038034,1028600,3307066,7521077,4269630,1714425,7178342,187288,8461161,1577001,22497794,455711,4993759,,4899304,844063,,2701084,569423,8867762,1654576,8195798,3886536,73556316,2138467,,339914,1982556,9922945,378449,659089,2202635,18046830,1315841,5403688,14294642,1879645,1174601,4433660,847791,2381077,1099918,400246,850338,1237245,7384674,6163790,1067610,3961611,946447,370940,1721244,44728182,35423203,436416,8157933,2571103,2324232,10423994,1682772,12861908,13287988,1136622,2150454,3178959,1357698,9670345,1467464,31132746
2026-01-28,1997368,7417939,6322284,3830393,1042732,1033298,3322088,7555297,4289060,1722197,7210996,188158,8499673,1584193,22600164,457799,5016495,,4921576,847891,,2713380,572033,8908130,1662116,8233092,3904226,73890918,2148211,,341480,1991604,9968069,380189,662105,2212669,18128900,1321815,5428280,14359660,1888171,1179937,4453844,851619,2391923,1104906,402044,854224,1242871,7418256,6191804,1072482,3979649,950739,372622,1729074,44931646,35584327,438388,8195053,2582819,2334788,10471438,1690428,12920430,13348424,1141784,2160256,3193401,1363846,9714309,1474134,31274382
2026-01-29,1995496,7410991,6316356,3826805,1041760,1032326,3318980,7548217,4285040,1720589,7204240,187978,8491705,1582705,22578984,457367,5011791,,4916968,847099,,2710836,571493,8899778,1660556,8225376,3900566,73821690,2146195,,341156,1989732,9958733,379829,661481,2210593,18111920,1320579,5423192,14346208,1886407,1178833,4449668,850827,2389679,1103874,401672,853420,1241707,7411308,6186008,1071474,3975917,949851,372274,1727454,44889550,35550991,437980,8187373,2580395,2332604,10461622,1688844,12908322,13335920,1140716,2158228,3190413,1362574,9705213,1472754,31245078
2026-01-30,1984732,7371040,6282270,3806174,1036171,1026737,3301109,7507507,4261925,1711343,7165393,186943,8445889,1574149,22457199,454883,4984743,,4890472,842545,,2696208,568388,8851754,1651586,8181009,3879521,73423629,2134603,,339293,1978968,9905051,377759,657893,2198656,18014285,1313472,5393936,14268859,1876264,1172485,4425656,846273,2376776,1097940,399533,848797,1235014,7371357,6152681,1065678,3954458,944745,370273,1718139,44647498,35359309,435634,8143213,2566457,2320046,10405180,1679736,12838701,13264022,1134575,2146567,3173232,1355260,9652911,1464819,31076580
2026-02-02,1985200,7372777,6283752,3807071,1036414,1026980,3301886,7509277,4262930,1711745,7167082,186988,8447881,1574521,22462494,454991,4985919,,4891624,842743,,2696844,568523,8853842,1651976,8182938,3880436,73440936,2135107,,339374,1979433,9907385,377849,658049,2199175,18018530,1313781,5395208,14272222,1876705,1172761,4426700,846471,2377337,1098198,399626,848998,1235305,7373094,6154130,1065930,3955391,944967,370360,1718544,44658022,35367643,435736,8145133,2567063,2320592,10407634,1680132,12841728,13267148,1134842,2147074,3173979,1355578,9655185,1465164,31083906
2026-02-03,1975528,7336879,6253124,3788533,1031392,1021958,3285828,7472697,4242160,1703437,7132176,186058,8406713,1566833,22353064,452759,4961615,,4867816,838651,,2683700,565733,8810690,1643916,8143072,3861526,73083196,2124691,,337700,1969761,9859149,375989,654825,2188449,17930738,1307395,5368920,14202720,1867591,1167057,4405124,842379,2365743,1092866,397704,844844,1229291,7337196,6124184,1060722,3936109,940379,368562,1710174,44440526,35195345,433628,8105453,2554539,2309308,10356918,1671948,12779170,13202544,1129324,2136596,3158541,1349006,9608127,1458034,30932502
2026-02-04,1969912,7316035,6235340,3777769,1028476,1019042,3276504,7451457,4230100,1698613,7111908,185518,8382809,1562369,22289524,451463,4947503,,4853992,836275,,2676068,564113,8785634,1639236,8119924,3850546,72875476,2118643,,336728,1964145,9831141,374909,652953,2182221,17879762,1303687,5353656,14162364,1862299,1163745,4392596,840003,2359011,1089770,396588,842432,1225799,7316352,6106796,1057698,3924913,937715,367518,1705314,44314238,35095301,432404,8082413,2547267,2302756,10327470,1667196,12742846,13165032,1126120,2130512,3149577,1345190,9580803,1453894,30844590
2026-02-05,1971828,7323304,6241574,3781458,1029447,1020033,3279673,7458847,4234385,1700187,7119001,185763,8391213,1564033,22311739,451939,4952415,,4858716,837101,,2678700,564728,8794390,1640866,8127997,3854401,72947746,2120811,,337105,1966221,9840899,375359,653685,2184404,17897538,1304940,5358920,14176375,1864116,1164857,4397024,840729,2361368,1090816,396929,843329,1226966,7323561,6112809,1058822,3928834,938529,367837,1706999,44358126,35130170,432778,8090453,2549789,2304958,10337768,1668848,12755545,13178054,1127199,2132691,3152616,1346456,9590352,1455319,30875252
2026-02-06,1976820,7341832,6257382,3791026,1032039,1022625,3287961,7477727,4245105,1704475,7137017,186243,8412461,1568001,22368219,453091,4964959,,4871004,839213,,2685484,566168,8816662,1645026,8148573,3864161,73132386,2126187,,337969,1971213,9865795,376319,655349,2189940,17942850,1308236,5372488,14212247,1868820,1167801,4408160,842841,2367352,1093568,397921,845473,1230070,7342089,6128265,1061510,3938786,940897,368765,1711319,44470382,35219098,433866,8110933,2556253,2310782,10363944,1673072,12787833,13211398,1130047,2138099,3160584,1349848,9614640,1458999,30953396
2026-02-09,1969220,7313557,6233232,3776451,1028094,1018700,3275326,7448877,4228730,1697925,7109442,185498,8379961,1561901,22281894,451351,4945859,,4852204,835963,641300,2675184,563963,8782662,1638676,8117138,3849236,72850236,2117947,,336654,1963553,9827745,374849,652769,2181495,17873650,1303221,5351788,14157422,1861645,1163301,4391160,839591,2358277,1089318,396386,842198,1225345,7313774,6104590,1057410,3923611,937347,367360,1704744,44298782,35083223,432216,8079633,2546403,2301832,10323994,1666612,12738508,13160468,1125622,2129794,3148359,1344698,9577565,1453404,30833946
2026-02-10,1963760,7293327,6215977,3765986,1025259,1015865,3266261,7428262,4217040,1693235,7089772,184973,8356791,1557596,22220259,450091,4932174,,4838764,833653,639515,2667799,562388,8758372,1634126,8094668,3838596,72648706,2112102,,335709,1958128,9800550,373799,650949,2175475,17824195,1299616,5336983,14118257,1856500,1160081,4379015,837281,2351767,1086308,395301,839853,1221950,7293544,6087685,1054470,3912761,934757,366345,1700019,44176212,34986168,431026,8057268,2539368,2295462,10295434,1661992,12703263,13124068,1122507,2123914,3139644,1340988,9551070,1449379,30748651
2026-02-11,1956204,7265249,6192134,3751537,1021288,1011934,3253692,7399723,4200806,1686701,7062610,184268,8324729,1551623,22134968,448335,4913233,,4820180,830387,636914,2657538,560213,8724778,1627896,8063606,3823892,72369697,2104025,,334412,1950623,9762923,372349,648457,2167143,17755732,1294603,5316510,14064028,1849303,1155689,4362218,834115,2342681,1082222,393800,836636,1217303,7265546,6064352,1050386,3897751,931183,364946,1693434,44006610,34851794,429392,8026279,2529617,2286680,10255818,1655580,12654506,13073668,1118268,2115786,3127645,1335782,9514363,1443794,30630513
2026-02-12,1950140,7242667,6172867,3739856,1018109,1008795,3243571,7376732,4187760,1681455,7040632,183703,8298832,1546786,22066090,446971,4897904,,4805184,827833,633845,2649210,558478,8697592,1622826,8038528,3812016,72144657,2097452,,333419,1944558,9732560,371219,646469,2160355,17700485,1290566,6161973,14020287,1843610,1152041,4348625,831461,2335447,1078788,392571,834043,1213460,7242924,6045475,1047190,3885561,928277,363795,1688169,43869753,34743388,428046,8001338,2521798,2279522,10223914,1650472,12615173,13032969,1114777,2109194,3117914,1331668,9484780,1439289,30535291
2026-02-13,1956805,7267478,6194023,3752670,1021592,1012235,3254708,7402016,4202122,1687217,7064755,184348,8327298,1552075,22141727,448519,4914674,,4821653,830671,636038,2658283,560413,8727391,1628373,8066091,3825088,72391950,2104633,,334580,1951223,9765928,372509,648705,2167751,17761158,1294995,6183086,14068361,1849931,1155997,4363546,834299,2343445,1082486,393904,836881,1217631,7267735,6066201,1050759,3898891,931459,365042,1693974,44020124,34862455,429508,8028772,2530441,2287348,10258959,1656148,12658431,13077646,1118604,2116418,3128621,1336226,9517288,1444234,30639953
2026-02-17,1963315,7291712,6214687,3765186,1024994,1015595,3265586,7426712,4216150,1692845,7088317,184978,8355102,1557241,22215605,450031,4931054,,4837739,833443,638180,2667145,562303,8756497,1633791,8093013,3837856,72633492,2111647,,335714,1957733,9798520,373769,650889,2174975,17820420,1299321,6203708,14115317,1856105,1159861,4378120,837071,2351257,1086098,395206,839653,1221705,7291969,6086445,1054245,3911911,934567,366260,1699644,44166998,34978753,430936,8055568,2538883,2294992,10293189,1661692,12700683,13121284,1122342,2123474,3139079,1340678,9549040,1449064,30742181
2026-02-18,1958665,7274402,6199927,3756246,1022564,1013195,3257816,7409072,4206130,1688825,7071487,184528,8335242,1553551,22162835,448951,4919354,,4826249,831463,636650,2660815,560953,8735707,1629921,8073783,3828736,72460962,2106637,,334904,1953083,9775240,372869,649329,2169815,17778090,1296231,6188978,14081777,1851695,1157101,4367710,835091,2345677,1083518,394276,837673,1218795,7274659,6071985,1051755,3902611,932347,365390,1695594,44062088,34895683,429916,8036428,2532853,2289532,10268739,1657732,12670503,13090114,1119672,2118434,3131609,1337498,9526360,1445614,30669161
2026-02-19,1959130,7276133,6201403,3757140,1022807,1013435,3258593,7410836,4207132,1689227,7073170,184573,8337228,1553920,22168112,449059,4920524,,4827398,831661,636803,2661448,561088,8737786,1630308,8075706,3829648,72478215,2107138,,334985,1953548,9777568,372959,649485,2170331,17782323,1296540,6190451,14085131,1852136,1157377,4368751,835289,2346235,1095549,394369,837871,1219086,7276390,6073431,1052004,3903541,932569,365477,1695999,44072579,34903993,430018,8038342,2533456,2290078,10271184,1658128,12673521,13093231,1119939,2118938,3132356,1337816,9528628,1445959,30676463
2026-02-20,1959285,7276710,6201895,3757438,1022888,1013515,3258852,7411424,4207466,1689361,7073731,184588,8337890,1554043,22169871,449095,4920914,,4827781,831727,636854,2661659,561133,8738479,1630437,8076347,3829952,72483966,2107305,,335012,1953703,9778344,372989,649537,2170503,17783734,1296643,6190942,14086249,1852283,1157469,4369098,835355,2346421,1148635,394400,837937,1219183,7276967,6073913,1052087,3903851,932643,365506,1696134,44076076,34906763,430052,8038980,2533657,2290260,10271999,1658260,12674527,13094270,1120028,2119106,3132605,1337922,9529384,1446074,30678897
2026-02-23,1960060,7279595,6204355,3758928,1023293,1013915,3260147,7414364,4209136,1690031,7076536,184663,8341195,1554658,22178666,449275,4922864,,4829696,832057,637109,2662714,561358,8741944,1631082,8079552,3831472,72512716,2108140,,335147,1954478,9782224,373139,649797,2171363,17790789,1297158,6193397,14091834,1853018,1157929,4370833,835685,2347351,1149090,394555,838267,1219668,7279852,6076323,1052502,3905401,933013,365651,1696809,44093556,34920608,430222,8042170,2534662,2291170,10276074,1658920,12679552,13099465,1120473,2119946,3133845,1338452,9533164,1446649,30691067
2026-02-24,1976490,7340757,6256507,3790516,1031879,1022395,3287601,7476692,4244540,1704235,7136002,186253,8411261,1567696,22365120,453091,4964204,,4870294,839053,642515,2685080,566128,8815402,1644756,8147498,3863696,73122216,2125842,,338009,1970908,9864480,376319,655309,2189595,17940355,1308076,6245443,14210236,1868600,1167681,4407615,842681,2367067,1158736,397841,845263,1229950,7341014,6127415,1061300,3938261,940857,368725,1711119,44464132,35214122,433826,8109798,2555968,2310462,10362464,1672912,12786082,13209599,1129907,2137754,3160133,1349688,9613300,1458839,30949071
2026-02-25,1961145,7283634,6207799,3761014,1023860,1014475,3261960,7418480,4211474,1690969,7080463,184768,8345822,1555519,22190979,449527,4925594,,4832377,832519,637466,2664191,561673,8746795,1631985,8084039,3833600,72552966,2109309,,335336,1955563,9787656,373349,650161,2172567,17800666,1297879,6196834,14099653,1854047,1158573,4373262,836147,2348653,1149727,394772,838729,1220347,7283891,6079697,1053083,3907571,933531,365854,1697754,44117929,34939991,430460,8046636,2536069,2292444,10281779,1659844,12686587,13106738,1121096,2121122,3135482,1339194,9538456,1447454,30708105
2026-02-26,1963470,7292289,6215179,3765484,1025075,1015675,3265845,7427300,4216484,1692979,7088878,184993,8355737,1557364,22217364,450067,4931444,,4838122,833509,638231,2667356,562348,8757190,1633920,8093654,3838160,72639216,2111814,,335741,1957888,9799296,373799,650941,2175147,17821831,1299424,6204199,14116408,1856252,1159953,4378467,837137,2351443,1151092,395237,839719,1221802,7292546,6086927,1054328,3912221,934641,366289,1699779,44170384,34981526,430970,8056206,2539084,2295174,10294004,1661824,12701662,13122323,1122431,2123642,3139217,1340784,9549796,1449179,30744615
2026-02-27,1962850,7289981,6213211,3764292,1024751,1015355,3264809,7424948,4215148,1692443,7086634,184933,8353093,1556872,22210328,449923,4929884,,4836590,833245,638027,2666512,562168,8754418,1633404,8091090,3836944,72616216,2111146,,335633,1957268,9796192,373679,650733,2174459,17816187,1299012,6202235,14111940,1855664,1159585,4377079,836873,2350699,1150728,395113,839455,1221414,7290238,6084999,1053996,3910981,934345,366173,1699239,44156396,34970450,430834,8053654,2538280,2294446,10290744,1661296,12697642,13118167,1122075,2122970,3138221,1340360,9546772,1448719,30734879
2026-03-02,1952930,7253053,6181723,3745220,1019567,1010235,3248233,7387316,4193772,1683867,7050730,183973,8310789,1549000,22097752,447619,4904924,,4812078,829021,634763,2653008,559288,8710066,1625148,8050066,3817488,72248216,2100458,,333905,1947348,9746528,371759,647405,2163451,17725883,1292420,6170811,14040452,1846256,1153697,4354871,832649,2338795,1144904,393129,835231,1215206,7253310,6054151,1048684,3891141,929609,364317,1690599,43932588,34793234,428658,8012822,2525416,2282798,10238584,1652848,12633322,13051671,1116379,2112218,3122285,1333576,9498388,1441359,30579103
2026-03-03,1959905,7279018,6203863,3758630,1023212,1013835,3259888,7413776,4208802,1689897,7075975,184648,8340534,1554535,22176907,449239,4922474,,4829313,831991,637058,2662503,561313,8741251,1630953,8078911,3831168,72506966,2107973,,335120,1954323,9781448,373109,649745,2171191,17789378,1297055,6192906,14090717,1852871,1157837,4370486,835619,2347165,1148999,394524,838201,1219571,7279275,6075841,1052419,3905091,932939,365622,1696674,44089953,34917839,430188,8041532,2534461,2290988,10275259,1658788,12678547,13098426,1120384,2119778,3133490,1338346,9532408,1446534,30688633
2026-03-04,1956650,7266901,6193531,3752372,1021511,1012155,3254449,7401428,4201788,1687083,7064194,184333,8326653,1551952,22139968,448483,4914284,,4821270,830605,635987,2658072,560368,8726698,1628244,8065450,3824784,72386216,2104466,,334553,1951068,9765152,372479,648653,2167579,17759747,1294892,6182595,14067260,1849784,1155905,4363199,834233,2343259,1147088,393873,836815,1217534,7267158,6065719,1050676,3898581,931385,365013,1693839,44016516,34859690,429474,8028134,2530240,2287166,10258144,1656016,12657442,13076607,1118515,2116250,3128261,1336120,9516532,1444119,30637519
2026-03-05,1962540,7288827,6212227,3763696,1024589,1015195,3264291,7423772,4214480,1692175,7085512,184903,8351771,1556626,22206810,449851,4929104,,4835824,833113,637925,2666090,562078,8753032,1633146,8089808,3836336,72604716,2110812,,335579,1956958,9794640,373619,650629,2174115,17813365,1298806,6201253,14109744,1855370,1159401,4376385,836741,2350327,1150546,395051,839323,1221220,7289084,6084035,1053830,3910361,934197,366115,1698969,44149402,34964912,430766,8052378,2537878,2294082,10289114,1661032,12695670,13116089,1121897,2122634,3137723,1340148,9545260,1448489,30730011
2026-03-06,1965950,7301521,6223051,3770252,1026371,1016955,3269989,7436708,4221828,1695123,7097854,185233,8366330,1559332,22245508,450643,4937684,,4844250,834565,639047,2670732,563068,8768278,1635984,8103910,3843024,72731238,2114486,,336173,1960368,9811712,374279,651773,2177899,17844407,1301072,6212055,14134340,1858604,1161425,4384019,838193,2354419,1152548,395733,840775,1223354,7301778,6094639,1055656,3917181,935825,366753,1701939,44226336,35025847,431514,8066414,2542300,2298086,10307044,1663936,12717802,13138947,1123855,2126330,3143201,1342480,9561892,1451019,30783559
2026-03-09,1951380,7247283,6176803,3742240,1018757,1009435,3245643,7381436,4190432,1682527,7045120,183823,8304102,1547770,22080162,447259,4901024,,4808248,828361,634253,2650898,558838,8703136,1623858,8043656,3814448,72190644,2098788,,333635,1945798,9738768,371459,646885,2161731,17711773,1291390,6165901,14029248,1844786,1152777,4351401,831989,2336935,1143994,392819,834571,1214236,7247540,6049331,1047854,3888041,928869,364027,1689249,43897618,34765467,428318,8006442,2523406,2280978,10230434,1651528,12623238,13041281,1115489,2110538,3119795,1332516,9490828,1440209,30554763
2026-03-10,1971220,7321139,6239779,3780384,1029125,1019675,3278795,7456700,4233184,1699679,7116928,185743,8388838,1563514,22305314,451867,4950944,,4857272,836809,640781,2677906,564598,8791840,1640370,8125704,3853360,72926772,2120164,,337091,1965638,9838096,375299,653541,2183747,17892381,1304574,6228749,14172352,1863602,1164553,4395817,840437,2360743,1155642,396787,843019,1226652,7321396,6111027,1058478,3927721,938341,367739,1706529,44345234,35120027,432670,8088106,2549134,2304274,10334754,1668424,12752006,13174273,1126881,2132042,3151667,1346084,9587596,1454929,30866315
