date,xom_shares,eog_shares,oke_shares,vlo_shares,mpc_shares,eqt_shares,cvx_shares,hal_shares,wmb_shares,fang_shares,dvn_shares,oxy_shares,ctra_shares,exe_shares,bkr_shares,apa_shares,trgp_shares,cop_shares,kmi_shares,tpl_shares,psx_shares,slb_shares
2026-02-20,60442082,11867543,13762369,6671088,6574632,13649448,35438472,18407827,23365896,4073440,13720154,15730180,16652550,5209097,21582447,7757169,4694951,23137114,42819987,1266541,8812539,32674597
2026-02-23,60486432,11876253,13772469,6675988,6579452,13659468,35464482,18421337,23383046,4076430,13730224,15741720,16664770,5212917,21598287,7762859,4698401,23154094,42851407,1267471,8819009,32698577
2026-02-24,60433212,11865801,13760349,6670108,6573668,13647444,35433270,18405125,23362466,4072842,13718140,15727872,16650106,5208333,21579279,7756031,4694261,23133718,42813703,1266355,8811245,32669801
2026-02-25,59958453,11772604,13652279,6617678,6521987,13540230,35154963,18260568,23178961,4040849,13610391,15604287,16519352,5167459,21409791,7695148,4657346,22952032,42477402,1256404,8742016,32413215
2026-02-26,60056067,11791766,13674499,6628458,6532613,13562274,35212185,18290290,23216691,4047427,13632545,15629697,16546236,5175863,21444639,7707666,4664936,22989388,42546548,1258450,8756250,32465971
2026-02-27,59780973,11737764,13611879,6598078,6502667,13500150,35050923,18206528,23110361,4028889,13570111,15558087,16470472,5152179,21346431,7672388,4643546,22884112,42351682,1252684,8716136,32317295
2026-03-02,60437649,11866672,13761359,6670598,6574151,13648446,35435871,18406476,23364181,4073141,13719147,15729027,16651328,5208715,21580863,7756600,4694606,23135416,42816846,1266448,8811892,32672199
2026-03-03,60939030,11965095,13875489,6725968,6628730,13761672,35729784,18559139,23557976,4106928,13832938,15859542,16789414,5251881,21759855,7820897,4733591,23327290,43172005,1276957,8885003,32943173
2026-03-04,61081014,11992967,13907809,6741648,6644186,13793736,35813016,18602371,23612856,4116496,13865162,15896502,16828518,5264105,21810543,7839105,4744631,23381626,43272581,1279933,8905707,33019909
2026-03-05,60887049,11954872,13863659,6720198,6623051,13749846,35699271,18543276,23537881,4103441,13821047,15845927,16775228,5247515,21741263,7814300,4729506,23307416,43135346,1275828,8877392,32915099
2026-03-06,61295257,12035004,13956579,6765278,6667487,13842030,35938655,18667572,23695665,4130949,13913691,15952187,16887656,5282659,21886995,7866652,4761246,23463724,43424506,1284384,8936916,33135807
2026-03-09,61233125,12022810,13942439,6758418,6660725,13828002,35902227,18648644,23671641,4126763,13899593,15936017,16870534,5277311,21864805,7858672,4756416,23439938,43380490,1283082,8927858,33102221
2026-03-10,61618879,12098503,14030269,6800988,6702714,13915068,36128293,18766160,23820769,4152680,13987174,16036382,16976843,5310517,22002560,7908282,4786351,23587555,43653742,1291201,8984059,33310738
2026-03-11,61627755,12100245,14032291,6801968,6703680,13917072,36133497,18768864,23824201,4153278,13989188,16038692,16979289,5311283,22005730,7909422,4787041,23590953,43660030,1291387,8985353,33315536
2026-03-12,61760925,12126405,14062621,6816668,6718170,13947132,36211587,18809424,23875681,4162248,14019428,16073342,17015979,5322773,22053280,7926522,4797391,23641923,43754380,1294177,9004763,33387536
2026-03-13,61834615,12140925,14079431,6824768,6726100,13963852,36254817,18831844,23904241,4167238,14036208,16092592,17036209,5329203,22079630,7935922,4803141,23670113,43806630,1295707,9015533,33427336
2026-03-16,61825733,12139181,14077409,6823788,6725134,13961846,36249609,18829140,23900807,4166640,14034192,16090280,17033763,5328437,22076458,7934782,4802451,23666713,43800338,1295521,9014239,33422534
2026-03-17,62141044,12201093,14149190,6858578,6759427,14033059,36434493,18925132,24022714,4187869,14105760,16172356,17120596,5355630,22189064,7975252,4826946,23787413,44023704,1302124,9060176,33593005
2026-03-18,61923484,12158365,14099651,6834568,6735760,13983912,36306897,18858884,23938581,4173218,14056368,16115712,17060669,5336863,22111350,7947322,4810041,23704113,43869550,1297567,9028473,33475356
2026-03-19,62229844,12218533,14169410,6868378,6769087,14053119,36486573,18952172,24057054,4193849,14125920,16195476,17145056,5363290,22220784,7986652,4833846,23821413,44086624,1303984,9073116,33640956
2026-03-20,59739019,12250808,14206835,6886453,6660537,14090144,35700423,18910122,23812879,4204874,14004370,16238176,17128581,5377340,22312384,8007752,4846621,23333463,44202874,1307399,9097091,33761406
2026-03-23,59739019,12250808,14206835,6886453,6660537,14090144,35700423,18910122,23812879,4204874,14004370,16238176,17128581,5377340,22312384,8007752,4846621,23333463,44202874,1307399,9097091,33761406
2026-03-24,59636819,12229776,14182463,6874757,6649083,14066180,35639329,18877736,23772115,4197796,13980362,16210382,17099323,5368178,22274228,7993976,4838247,23293509,44127268,1305195,9081561,33703726
2026-03-25,59486319,12198906,14146693,6857397,6632318,14030690,35549414,18830101,23712125,4187191,13945082,16169467,17056168,5354633,22218018,7973816,4826032,23234744,44015933,1301905,9058636,33618676
2026-03-26,60182919,12341790,14312257,6937749,6709916,14194958,35965592,19050583,23989793,4236277,14108378,16358845,17255914,5417327,22478190,8067128,4882570,23506742,44531255,1317133,9164746,34012336
2026-03-27,60674219,12442522,14429129,6994345,6764670,14310822,36259186,19206169,24185657,4449455,14223486,16492339,17396772,5461589,22661646,8133004,4922444,23698696,44894761,1327897,9239576,34290016
2026-03-30,61086635,12527098,14527241,7041865,6810654,14408070,36505618,19336729,24350009,4479695,14320158,16604467,17515044,5498741,22815726,8188300,4955948,23859784,45199945,1336921,9302360,34523104
2026-03-31,61301435,12571148,14578341,7066615,6834604,14458720,36633968,19404729,24435609,4495445,14370508,16662867,17576644,5518091,22895976,8217100,4973398,23943684,45358895,1341621,9335060,34644504
2026-04-01,60755843,12459261,14448547,7003750,6773771,14330069,36307959,19232009,24218185,4455440,14242619,16514531,17420180,5468942,22692141,8143948,4929075,23730578,44955162,1329683,9252002,34336148
2026-04-02,60755843,12459261,14448547,7003750,6773771,14330069,36307959,19232009,24218185,4455440,14242619,16514531,17420180,5468942,22692141,8143948,4929075,23730578,44955162,1329683,9252002,34336148
2026-04-06,59724803,12247821,14203267,6884950,6658811,14086949,35691879,18905609,23807305,4379840,14000939,16234211,17124500,5376062,22306941,8005708,4845315,23327858,44192202,1307123,9095042,33753428
2026-04-07,60064187,12317420,14284005,6924055,6696652,14166976,35894672,19013049,23942553,4404725,14080492,16326483,17221828,5406635,22433736,8051212,4872886,23460420,44443343,1314549,9146708,33945240
2026-04-08,58981595,12095408,14026461,6799315,6575944,13911700,35247788,18670329,23511129,4325345,13826728,16032147,16911364,5309111,22029528,7906060,4784938,23037564,43642235,1290861,8981900,33333384
2026-04-09,58930043,12084836,14014197,6793375,6570196,13899544,35216984,18654009,23490585,4321565,13814644,16018131,16896580,5304467,22010280,7899148,4780750,23017428,43604087,1289733,8974052,33304248
2026-04-10,58246979,11944757,13851699,6714670,6494035,13738477,34808831,18437769,23218377,4271480,13654531,15832419,16700692,5242934,21755244,7807564,4725259,22750626,43098626,1274787,8870066,32918196
2026-04-13,58513331,11999379,13915063,6745360,6523733,13801283,34967985,18522089,23324521,4291010,13716965,15904835,16777076,5266928,21854692,7843276,4746897,22854662,43295724,1280615,8910614,33068732
2026-04-14,59875163,12278656,14239037,6902275,6675576,14122404,35781724,18953209,23867225,4390865,14036184,16275091,17167620,5389607,22363160,8025868,4857530,23386588,44303467,1310413,9117932,33838408
2026-04-15,59939603,12291871,14254367,6909700,6682761,14137599,35820229,18973609,23892905,4395590,14051289,16292611,17186100,5395412,22387220,8034508,4862765,23411758,44351152,1311823,9127742,33874828
